,text_a,text_b,labels
122,"(AAO) Can I extend my period of study to fulfill the requirement of an additional major/minor, even if I have already taken the required 240 credits?","(AAO) Under normal circumstances, no. Since a second major and/or minors are only optional parts of your studies and not graduation requirements, you will not be permitted to extend the period of study to fulfill such requirements if you have already completed the graduation requirements.",1
123,(AAO) Should I select courses for the first semester or both semesters in August each year?,"(AAO) During semester 1, students should enroll on courses offered in both semester 1 and 2. However, students are advised to enroll on courses offered in semester 1 first, and then semester 2; During semester 2, students should enroll on courses offered in both semester 2 and summer semester. However, students are advised to enroll on courses offered in semester 2 first, then summer semester. In general, final year students cannot enroll on summer courses in the summer semester.",1
124,(AAO) Who will consider my course enrolment and when will I know if my course selection is approved/disapproved?,(AAO) It depends on the course approval nature which will be shown when students are adding a class. Students will also receive emails generated by the System notifying the status of their course enrollment. Students can also check their enrollment status under their SIS menu -> Enrollment -> Enrollment Status.,1
125,"(AAO) When the course selection status reads “pending”, what does it mean? When will I know the results?",(AAO) It means it is still pending for approval or pending for consideration by offering Faculty/Department. The results will vary from course to course and it depends very much on the course approval nature defined for each course.,1
126,(AAO) Where can I check the approval status of the courses I have selected?,(AAO) Under their SIS menu -> Enrollment -> Enrollment Status,1
127,(AAO) I cannot enroll on a course successfully because of an error “Class has been closed”. Will the class be opened again?,(AAO) It depends on whether there is any student who drops the class. Class will be opened again when there are students dropping the class.,1
128,"(AAO) I have enrolled on a course, but it has been dropped by the System automatically. What happened? What should I do?",(AAO) It depends on the course approval nature and especially when the student is not approved or has violated the regulations/requirements. The System may drop the class for the student and notify them via email so that they can enroll on other courses/classes as soon as possible.,1
129,(AAO) I dropped my course by mistake. What should I do …?,"(AAO) Students can re-enroll on the same class if it is still open (class will be closed if it is already full). If students cannot re-enroll on the same class when the class is still open, they can try login with another browser and enroll again.",1
130,(AAO) Can I change my course selection in SIS after the add/drop period?,"(AAO) Students are not allowed to change their course selection after the Add/Drop period. They can apply to their home Faculty for special approval and if it is approved, the Faculty will change their course selection manually in SIS.",1
131,(AAO) How should I declare major/minor in SIS?,"(AAO) Students can follow the steps stated in “Student’s Quick Reference Guide on Major / Minor Declaration” under the SIS website for Students. Declaration can only be done online by students at specified periods, i.e. during pre-enrollment period (starting from August 1 in general), course enrollment period and add/drop period*. For some majors which require applications, students should follow the instructions outlined in the Faculty/Department website.",1
132,(AAO) How can I change my major/minor in SIS?,(AAO) The steps are similar to those for declaring major/ minor. Please refer to “Student’s Quick Reference Guide on Major / Minor Declaration” in the SIS website for Students.,1
133,"(AAO) After I declare a particular major/minor, will I be given priority to enroll on their required courses (such as the pre-requisite / introductory courses)?","(AAO) There are different course approval natures which vary from course to course. Some of the courses adopt first-come-first-served, some of them adopt random balloting by system and some of them adopt manual balloting. So it is very much depended on the course approval nature defined for each individual course. Some of the courses have set up pre-requisite requirements which has nothing to do with priority. Once pre-requisite is set up in a course, it checks to see if students have met the pre-requisite requirements before allowing them to enroll to that course. If you have not met the pre-requisite requirements of the course(s), you could not enroll into them and an error message will pop up to inform you that course enrolment is unsuccessful due to unfulfillment of the pre-requisite requirements.",1
134,"(AAO) If I cannot complete the requirements of my declared second major/minor at the end, will SIS automatically count those courses as my free electives?","(AAO) If students have declared a second major or minor and they cannot fulfill those requirements, the courses done towards these programmes will be counted as free electives. However, for the degree audit report, these courses will not be treated as free electives automatically. You need to drop your second major or minor so that those courses can fall into the free electives section of the degree audit report.",1
135,"(AAO) If I have fulfilled the requirements (i.e., successfully completed all required courses) of a particular major/minor, but have not declared it at SIS, will SIS automatically “declare” it for me?","(AAO) In general, for programmes requiring a major for graduation, Faculties will define three periods for major/minor declaration and they are (i) allow to declare from; (ii) must declare by: and (iii) last term to access; These three periods vary from programme to programme but in general, students are allowed to declare a major starting from semester 1 of their second year of study. And they must declare their major by the first semester of their third year of study if they have not declared any major in their second year of study.
SIS will NOT declare the major/minor for students automatically.",1
136,"(AAO) Is there a limit on the number of major/minor that I can declare in SIS? For example, can I declare 3 minors?","(AAO) Please refer to the University Regulations for details of different major/ minor requirements. As for SIS, it is currently designed to allow students to declare a maximum of 2 majors and 2 minors online and checking of overloading is also in place during course selection period. You are advised to observe the University regulations for not exceeding the maximum curriculum study load. You may also seek advice from your home Faculties and seek assistance from them for individual concerns.",1
137,(AAO) When are exams held?,"(AAO) For most programmes, there are two exam periods: one in December for first semester courses and one in May for second semester and full-year courses.",1
138,(AAO) I was sick on the exam date. What should I do now?,"(AAO) According to UG 7 (b) of the Regulations for First Degree Curricula, if you are unable, because of illness, to be present at the written exam of any course, you may apply for permission to sit for a supplementary exam of the same course to be held before the beginning of the First Semester of the following academic year. You have to make your application to the Examinations Office of the University by submitting a completed Form of Medical Certificate and the original of a sick leave certificate issued by a doctor to the Examination Office within 7 calendar days of the exam you were unable to attend. For detailed arrangement, please consult your Faculty Office.",1
139,(AAO) When are exam results announced?,"(AAO) For most programmes, exam results are announced in January for first semester courses and June for second semester and full-year courses.",1
140,(AAO) What should I do if I know I will not be able to take a written exam on the scheduled date?,(AAO) Special arrangement will be made only under exceptional circumstances. You have to write at your earliest opportunity to the Examinations Office which will seek the recommendations from the Chief Examiner(s) concerned on your request. Approval MUST be sought before the original date of the exam.,1
141,(AAO) What should I do if I fail a course?,"(AAO) In general, you have to take course(s) to make up for the failed/outstanding credits immediately in the following semester, by either repeating the same course or taking another course with the required credits. For detailed arrangement, please consult your Faculty Office. In case you need to take more than 36 credits in a semester to make up the failed/outstanding credits, i.e. exceed the maximum semester study load as stipulated under the Regulations, you will have to seek approval from your Faculty for overloading first.",1
142,(AAO) Can I appeal for my exam results?,"(AAO) There are no appeals against the results of exams and all other forms of assessment. You may however request checking of assessment results on grounds of procedural irregularities. The application fee is HK$200 for each assessment result to be checked. For further information, please see the Procedures for Checking of Assessment Results of Taught Courses.",1
143,(AAO) Will my academic results be revealed to my parents without notifying me?,"(AAO) No. Students are protected by the Personal Data (Privacy) Ordinance. In this respect, parents/guardians have no automatic right to access the personal data of students, such as their academic records.",1
144,(AAO) Where can I find the past exam papers?,"(AAO) The Library has an “Exambase” (http://find.lib.hku.hk/record=HKU_IZ61512022570003414) which provides full text of some HKU past examination papers to facilitate your revision. For those subjects with “restricted access”, students need to contact the lecturer direct.",1
145,(AAO) Could I retake a course if the grade of my first attempt is not good?,"(AAO) No, as long as you have passed the course, even if you are not happy with the grade, you could not retake it.",1
146,(AAO) How are failed credits counted in my academic record?,"(AAO) All courses attempted will be recorded on the transcript, including failed courses. If you choose to repeat the failed course, the new grade obtained will be recorded in the semester in which you have retaken the course but the failed grades will still be included in the calculation of the Semester Grade Point Average (SGPA), Year GPA (YGPA), Cumulative GPA (CGPA), and Graduation GPA (GGPA). All failed grades will be taken into account when determining your honours classification.",1
147,(AAO) Will there be different weighting of courses taken in the calculation of my honours classification?,"(AAO) No. All courses carry equal weighting, regardless of the year in which they are offered and whether they are in the students’ major(s) in the calculation of honours classification.",1
148,(AAO) How will my honours classification be determined upon my graduation?,"(AAO) The classification of honours shall be determined by the Board of Examiners in accordance with the following Cumulative GPA (CGPA) scores, with all courses taken (including failed courses) carrying equal weighting:",1
149,(AAO) Will the selection of the Pass/ Fail grading for courses affect my honours classification?,"(AAO) To award honours to you, the University normally employs a ‘50% rule’, which mandates that at least half of the credits of your degree curriculum should be letter-graded. This means, if your programme requires 240 credits for graduation, you will normally be required to have at least 120 letter-graded credits in order to be awarded a honour. A student with fewer than half the total credits letter-graded will normally be awarded a pass degree with no honours classification. Therefore, we suggest you to think extremely carefully before opting for pass/fail grading, especially if you are in special situations such as senior-year entry or granted advanced standing. For further enquiries, please clarify with your Faculty. ",1
150,"(AAO) What are the differences between SGPA, YGPA, CGPA and GGPA?",(AAO) GPA is the abbreviation of Grade Point Average. Different calculations of GPA are listed as follows:,1
151,(AAO) Under what circumstances will I be discontinued from my studies?,"(AAO) According to UG 4 of the Regulations for First Degree Curricula, you will be required to discontinue your studies if you have:",1
152,(AAO) Will I be discontinued from studies if I have failed the same course for 3 times?,"(AAO) It depends. Some (not all) curriculums stipulate that the maximum number of attempts for a particular course or requirement is three. As such, students pursuing these curriculums might need to sit for the FRC/ COD if they have failed the same course for three times and might be at the risk of being discontinued from studies.",1
153,(AAO) Which units I should seek help from if my academic result in the first semester is not good or if I need to sit for the FRC or CoD?,"(AAO) If you have any study problems, you can always seek help from your Faculty Academic Advisers or from us, the advisers at the Academic Advising Office. You can make an appointment with us here.",1
154,(AAO) When should I start planning for exchange?,"(AAO) There are two main options for exchange: HKU Worldwide Undergraduate Student Exchange Programme (HKUWW) and the Faulty-level exchange programme. No matter which option you wish to go for, we usually suggest students to plan for exchange at least a year ahead. For example, if you are interested in going on exchange in year three, you should  plan for it in the beginning of year two. Please visit the website of the International Affairs Office (https://intlaffairs.hku.hk/) or your own Faculty for more details.",1
155,(AAO) Do I need to extend my study period if I go on exchange?,"(AAO) It depends on whether your host institution offers subjects in your major programme at HKU and whether you are able to transfer back enough number of credits to satisfy the requirements of your programme. AAO has a 3-min briefing on exchange planning. If you have further questions, consult IAO and your Faculty Office.",1
156,(AAO) Do I get credits for the courses I completed during exchange?,"(AAO) Yes. If you wish to transfer credits, you must apply for credit transfer in advance according to your Faculty’s regulations and requirement. However, the actual transfer of exchange credits happens when you return to HKU. Your Faculty is the final authority to decide on how your courses taken at the host institution will be credited towards your HKU degree.",1
157,"(AAO) If I go on exchange studies in the second semester but I have to take a full-year course in that academic year to fulfil the requirement(s) of a major/minor, what should I do?","(AAO) Since enrollment record of all courses (including any full-year courses) during the exchange period will be deleted, it is very important for you to consult your Faculty on how you could complete the outstanding requirements of your full-year course before you set off for exchange. ",1
158,(AAO) What are the application procedures and the documents required for credit transfer from exchange studies?,"(AAO) Before going on exchange, you have to consult the relevant Faculty/School(s)/Department(s) at HKU on which courses you can take in your host institution in order to transfer credits when you return. You are required to submit your application for credit transfer approval prior to your exchange trip. Different Faculties might adopt different procedures on this so please check this out. As for required documents, different Faculties might have different guidelines, but in general, supporting documents related to the dates of exchange semesters, study load and proposed courses for credit transfer should be submitted, such as course syllabuses and course outlines (with credit information and assessment methods, etc.). Please contact your Faculty for details.",1
159,(AAO) Is it necessary for me to transfer all the credits I have completed during exchange?,"(AAO) No, you can choose the courses for which you wish to apply for credit transfer.",1
160,(AAO) Will the courses approved for credit transfer affect my GPAs and honours classification?,"(AAO) Only the name of the host institution, course title(s) and the credits approved to be transferred, and each course fulfilment (for major/ minor/ free elective) will be shown on the academic transcript. The grades you earned overseas will not be included in the calculation of your GPA and honours classification.",1
161,(AAO) How will my credits be counted if the courses I take during exchange are not of 6 credits?,(AAO) Please contact your Faculty on this for their credit conversion policies on exchange studies.,1
162,(AAO) I want to exchange but my CGPA is not very good. Does that mean I have no chance to study abroad?,"(AAO) IAO offers a range of study abroad programmes, other than semester/year exchange, which vary in length, destination, funding source and CGPA requirements. Check out each programme at IAO website.",1
163,(AAO) I still have some questions about exchange which are not listed above. Where else can I find more information?,(AAO) The International Affairs Office has compiled a very comprehensive FAQ on exchange planning: https://intlaffairs.hku.hk/. Please take a look and hope you can find your answers there.,1
164,"(AAO) I want to find an internship, what should I do?",(AAO) You can contact the Careers and Placement Section of CEDARS for support and assistance at https://www.cedars.hku.hk/careers/home,1
165,(AAO) How important is GPA in job search?,(AAO) Please see advice from the Careers and Placement Section of CEDARS below: ,1
166,(AAO) I am stressed out and depressed. Is there any emotional support at the University?,"(AAO) Yes, counselling service and person enrichment workshops are available at the Counselling and Person Enrichment (CoPE) Section of CEDARS. You can visit their website for more information (http://cedars.hku.hk/cope) or make an appointment (https://www.cedars.hku.hk/cope/cps/appointment)",1
167,(AAO) What fees do I have to pay?,(AAO) You can find detailed information on “University Fee” at the website of the Academic Support and Examinations Section of Registry at http://www.ase.hku.hk/fees/ for details.,1
168,(AAO) Are there any bursaries or scholarships available?,"(AAO) For financial subsidies please contact the Campus Life Section of CEDARS (https://www.studentlife.hku.hk/) for information. They provide support on financial management and financial assistance. Please visit https://www.studentlife.hku.hk/financial-assistance for details. In each academic year, Scholarships Office offers a “General Round” of scholarship application which enables students to apply for over 40 scholarship schemes by filling out ONLY one online form. Details at: http://www.scholarships.hku.hk/news/detail/155.",1
169,"(AAO) If I need to defer my graduation for one semester and will only take 24 credits in semester 1, year 5, how much should I pay?","(AAO) If students have paid full composition fee for 8 semesters, they could apply for “pay-by-credit” from their Faculty for their tuition fee arrangements in their remaining semesters at HKU. If approved, tuition fee could be calculated on a pro-rata basis.",1
170,"(AAO) I still have other questions regarding the settlement of school fee. For example, if I have been approved to take leave, do I still need to pay the composition fee?",(AAO) You might try to look at the FAQ compiled by the Academic Support and Examinations Section of the Registry on university fee at http://www.ase.hku.hk/fees/faq.html. Maybe you can find your answers there.,1
171,(AAO) Are there scholarships that accept applications from non-local students?  Where could I get more information?,(AAO) Please visit the website of the Scholarships Office at https://www.scholarships.hku.hk/ for more information. They have also developed a comprehensive FAQ at https://www.scholarships.hku.hk/news/detail/164 for students’ reference.,1
172,(AAO) When and how do I apply for leave of absence?,"(AAO) You need to apply for leave of absence if you are unable to attend classes (lectures, tutorials, or any other scheduled teaching) due to exchange studies, medical or personal reasons. For instance, if you go on exchange studies, you have to apply for leave of absence for the semester(s) during which you will be away from HKU. You have to complete the form “Application for Leave of Absence” and submit it to the Faculty Office at the earliest opportunity, in any case BEFORE the commencement of the leave period. In the application, you have to explain clearly the reason(s) for taking leave (either for exchange studies, medical or personal reasons) and attach the relevant supporting document(s). Applications for leave retrospectively are normally not accepted.",1
173,(AAO) What is plagiarism and what happens if I am found to have committed plagiarism?,"(AAO) To put it simply, plagiarism is defined as the unacknowledged use, as one’s own, of work of another person, whether or not such work has been published. It also includes self-plagiarism, that is, the unacknowledged use of your own previous work(s), for example, your works/ papers for other courses. Any student who commits plagiarism is liable to disciplinary action which can result in very serious consequences – including expulsion from the University. Therefore, you are strongly advised to visit the website “What is Plagiarism” (https://tl.hku.hk/plagiarism/) so to learn thoroughly what plagiarism is, its consequences, how to avoid it, the learning resources and the relevant policies and regulations. More importantly, don’t hesitate to consult your teachers if you have any questions about how to avoid plagiarism.",1
174,(AAO) I have a question that isn’t answered here! Who can I contact for further help?,"(AAO) If you need further advice on some other study matters that are not listed above, please email us at aaoffice@hku.hk, call us at 3917 0128 or WhatsApp us at 9500 9880. We’ll be happy to help.",1
175,(HKDSE) How do I apply to HKU through JUPAS scheme?,(AAO) You can find detailed information on “University Fee” at the website of the Academic Support and Examinations Section of Registry at http://www.ase.hku.hk/fees/ for details.,0
176,(HKDSE) How do I apply to HKU through JUPAS scheme?,"(BSc 6901) You are not required to declare your Major in the first year. You may ""shop around"" in your first and second years and make the decision after your second year of study at the latest.",0
177,(HKDSE) What are the common mistakes as a JUPAS applicant?,(BSc 6901) Candidates who hold a recognised full-time Associate Degree (AD) or Higher Diploma (HD) in community colleges in Hong Kong (at least two years in duration) in a relevant discipline are eligible to apply for direct entry to the third year of the 4-year BSc degree programme.  Students in their second year of study of AD or HD programmes can also apply.  You may also visit the direct admissions scheme website for more information.,0
178,(HKDSE) What are the common mistakes as a JUPAS applicant?,(AAO) You can use the “What if” system in Degree Audit in SIS to check study loads if you choose different major/ minor combinations. (Navigation: HKU Portal -> My Page -> SIS Menu -> Academic Records -> My Degree Audit),0
179,(HKDSE) How can I apply to HKU as a HKDSE repeater?,(AAO) The steps are similar to those for declaring major/ minor. Please refer to “Student’s Quick Reference Guide on Major / Minor Declaration” in the SIS website for Students.,0
180,(HKDSE) How can I apply to HKU as a HKDSE repeater?,"(BSc 6901) You have only one degree — the BSc, as you are accepted to the Bachelor of Science degree when you are admitted.  The degree always goes with the first Major. But your Majors will be recorded on your transcript.",0
181,(HKDSE) What are the minimum university entrance requirements?,"(AAO) For financial subsidies please contact the Campus Life Section of CEDARS (https://www.studentlife.hku.hk/) for information. They provide support on financial management and financial assistance. Please visit https://www.studentlife.hku.hk/financial-assistance for details. In each academic year, Scholarships Office offers a “General Round” of scholarship application which enables students to apply for over 40 scholarship schemes by filling out ONLY one online form. Details at: http://www.scholarships.hku.hk/news/detail/155.",0
182,(HKDSE) What are the minimum university entrance requirements?,"(BSc 6901) Yes, in addition to the primary science Major for the BSc degree, you may take a second Major or a Minor in both Science and non-Science (arts, business, social sciences, engineering, etc) disciplines.  About 1/4 of BSc students take one Major and one Minor, and another 1/4 take two Majors.",0
183,(HKDSE) How is the admission score calculated?,(AAO) It depends on whether there is any student who drops the class. Class will be opened again when there are students dropping the class.,0
184,(HKDSE) How is the admission score calculated?,(BSc 6901) Candidates who hold a recognised full-time Associate Degree (AD) or Higher Diploma (HD) in community colleges in Hong Kong (at least two years in duration) in a relevant discipline are eligible to apply for direct entry to the third year of the 4-year BSc degree programme.  Students in their second year of study of AD or HD programmes can also apply.  You may also visit the direct admissions scheme website for more information.,0
185,"(HKDSE) Other than the HKDSE result, what are the factors being considered during the admission process?","(AAO) Yes, counselling service and person enrichment workshops are available at the Counselling and Person Enrichment (CoPE) Section of CEDARS. You can visit their website for more information (http://cedars.hku.hk/cope) or make an appointment (https://www.cedars.hku.hk/cope/cps/appointment)",0
186,"(HKDSE) Other than the HKDSE result, what are the factors being considered during the admission process?","(AAO) For support on English, please contact the Centre for Applied English Studies (CAES) at https://caescss.hku.hk/; For support on Chinese, please go to the School of Chinese at http://web.chinese.hku.hk/main/chinese-language-enhancement-program/",0
187,(HKDSE) Will I be advantaged if I put HKU programmes as Band A choices?,"(AAO) Under normal circumstances, FAA cannot be changed once assigned. However, if you have some very special reasons or concerns, please liaise with your home Faculty Office on this.",0
188,(HKDSE) Will I be advantaged if I put HKU programmes as Band A choices?,"(BSc 6901) There are several special features in the 6901 BSc curricula offered by the Faculty – 7 intensive majors, 6 accredited majors, 2 articulation pathways, and a Minor in Science Entrepreneurship, equipping outstanding undergraduate students with skills for versatile developments according to their aspirations, ability and interests. For more information, please click here.",0
189,"(HKDSE) If I am a non-Chinese speaking (NCS) student, can I apply to HKU with other qualifications in Chinese language apart from the HKDSE result?","(AAO) Students are not allowed to change their course selection after the Add/Drop period. They can apply to their home Faculty for special approval and if it is approved, the Faculty will change their course selection manually in SIS.",0
190,"(HKDSE) If I am a non-Chinese speaking (NCS) student, can I apply to HKU with other qualifications in Chinese language apart from the HKDSE result?","(AAO) Advanced standings are the credits granted to eligible non-JUPAS entrants in recognition of their studies completed successfully elsewhere before admission to HKU (e.g. IB, GCE A-level, community college, overseas university). You are not required to make up these “advanced credits” during your course of study at HKU so this might enable you to shorten your overall study period. However, no further advanced standing will be granted after admission to the programme or the  deadline stipulated by the Faculty. For enquiry and application, please contact your Faculty Office.",0
191,"(HKDSE) Can I use other public examination results such as IB, GCE and IGCSE to fulfill the JUPAS admission requirement?","(AAO) If you have any study problems, you can always seek help from your Faculty Academic Advisers or from us, the advisers at the Academic Advising Office. You can make an appointment with us here.",0
192,"(HKDSE) Can I use other public examination results such as IB, GCE and IGCSE to fulfill the JUPAS admission requirement?","(BSc 6901) Yes, but you may have to study the preparatory courses first to decide whether you can follow the Major.",0
193,(HKDSE) How is the score for applicants with more than one sitting in HKDSE examination calculated?,"(AAO) For most curriculums, University Regulation UG5 refers to the following University Graduation Requirements:",0
194,(HKDSE) How is the score for applicants with more than one sitting in HKDSE examination calculated?,(Hong Kong Sub-degrees (for senior year entry)) Applicants for senior-year places are only required to satisfy the Programme Requirements here. You are not required to provide additional language proficiency proof if you are not interested in admission as a first-year student and have not chosen any first-year programmes in your application. Only applicants who are interested in admission as a first-year student are required to fulfil the language requirements.,0
195,(HKDSE) Does HKU provide sports scholarship?,"(BSc 6901) No, if you can still meet the curriculum requirements within the years of studies. If not, you may have to spend an extra semester or a year, or even longer.",0
196,(HKDSE) Does HKU provide sports scholarship?,(BSc 6901) You may be invited to an interview in March.,0
197,(HKDSE) Will I be invited for an interview at HKU?,(AAO) The International Affairs Office has compiled a very comprehensive FAQ on exchange planning: https://intlaffairs.hku.hk/. Please take a look and hope you can find your answers there.,0
198,(HKDSE) Will I be invited for an interview at HKU?,"(AAO) Students are not allowed to change their course selection after the Add/Drop period. They can apply to their home Faculty for special approval and if it is approved, the Faculty will change their course selection manually in SIS.",0
199,(HKDSE) How are candidates selected for interviews?,"(AAO) Students can follow the steps stated in “Student’s Quick Reference Guide on Major / Minor Declaration” under the SIS website for Students. Declaration can only be done online by students at specified periods, i.e. during pre-enrollment period (starting from August 1 in general), course enrollment period and add/drop period*. For some majors which require applications, students should follow the instructions outlined in the Faculty/Department website.",0
200,(HKDSE) How are candidates selected for interviews?,"(BSc 6901) Enrolment in our flagship Summer Research Fellowship (SRF) Scheme to conduct research under the supervision of our professors in the first summer; A further SRF or Overseas Research Fellowship (ORF) in a foreign institution in subsequent years; International exchange study, visiting or summer study at world class universities overseas; Attendance in international scientific conference on frontier research Guidance from a research mentor individually from the start of the undergraduate study; Enrolment in our Frontiers of Science Honours Seminar to learn how our award-winning professors solve their research problems; An entrance scholarship ranging from HKD 20,000 to HKD 70,000; Stipends for all the aforesaid research activities",0
201,(HKDSE (Non-local)) What is the University’s application deadline?,"(AAO) In general, for programmes requiring a major for graduation, Faculties will define three periods for major/minor declaration and they are (i) allow to declare from; (ii) must declare by: and (iii) last term to access; These three periods vary from programme to programme but in general, students are allowed to declare a major starting from semester 1 of their second year of study. And they must declare their major by the first semester of their third year of study if they have not declared any major in their second year of study.
SIS will NOT declare the major/minor for students automatically.",0
202,(HKDSE (Non-local)) What is the University’s application deadline?,"(BSc 6901) Enrolment in our flagship Summer Research Fellowship (SRF) Scheme to conduct research under the supervision of our professors in the first summer; A further SRF or Overseas Research Fellowship (ORF) in a foreign institution in subsequent years; International exchange study, visiting or summer study at world class universities overseas; Attendance in international scientific conference on frontier research Guidance from a research mentor individually from the start of the undergraduate study; Enrolment in our Frontiers of Science Honours Seminar to learn how our award-winning professors solve their research problems; An entrance scholarship ranging from HKD 20,000 to HKD 70,000; Stipends for all the aforesaid research activities",0
203,(HKDSE (Non-local)) What is the University’s second language requirement?,"(AAO) During semester 1, students should enroll on courses offered in both semester 1 and 2. However, students are advised to enroll on courses offered in semester 1 first, and then semester 2; During semester 2, students should enroll on courses offered in both semester 2 and summer semester. However, students are advised to enroll on courses offered in semester 2 first, then summer semester. In general, final year students cannot enroll on summer courses in the summer semester.",0
204,(HKDSE (Non-local)) What is the University’s second language requirement?,"(BSc 6901) Yes, certainly. But first of all, the Faculty did some estimation and believes the number of students in each Major will not fluctuate too widely from that of the past. Secondly, it is also natural for the number of students in different Majors to go up and down according to demand. Thirdly, the market will have a natural mechanism of adjustment.",0
205,(HKDSE (Non-local)) Where should I submit my application?,"(AAO) If you cannot complete the second major or the minor at the end, these second majors/ minors would not be shown on your transcript. The courses that you have done towards these majors/ minors will be counted as free electives. In all cases, please double check with your Faculty Office if in doubt.",0
206,(HKDSE (Non-local)) Where should I submit my application?,"(BSc 6901) There are several special features in the 6901 BSc curricula offered by the Faculty – 7 intensive majors, 6 accredited majors, 2 articulation pathways, and a Minor in Science Entrepreneurship, equipping outstanding undergraduate students with skills for versatile developments according to their aspirations, ability and interests. For more information, please click here.",0
207,(HKDSE (Non-local)) How can I apply for a scholarship?,"(BSc 6901) English language: Level 3; Chinese language: Level 3; Mathematics: Level 2; Liberal Studies: Level 2; Elective subjects: Level 3 in two subjects, with at least one elective subject in Biology, Chemistry, Physics, Combined Science or Integrated Science",0
208,(HKDSE (Non-local)) How can I apply for a scholarship?,"(AAO) It depends on whether your host institution offers subjects in your major programme at HKU and whether you are able to transfer back enough number of credits to satisfy the requirements of your programme. AAO has a 3-min briefing on exchange planning. If you have further questions, consult IAO and your Faculty Office.",0
209,(HKDSE (Non-local)) How much is the tuition fee?,"(AAO) There are different course approval natures which vary from course to course. Some of the courses adopt first-come-first-served, some of them adopt random balloting by system and some of them adopt manual balloting. So it is very much depended on the course approval nature defined for each individual course. Some of the courses have set up pre-requisite requirements which has nothing to do with priority. Once pre-requisite is set up in a course, it checks to see if students have met the pre-requisite requirements before allowing them to enroll to that course. If you have not met the pre-requisite requirements of the course(s), you could not enroll into them and an error message will pop up to inform you that course enrolment is unsuccessful due to unfulfillment of the pre-requisite requirements.",0
210,(HKDSE (Non-local)) How much is the tuition fee?,(AAO) The International Affairs Office has compiled a very comprehensive FAQ on exchange planning: https://intlaffairs.hku.hk/. Please take a look and hope you can find your answers there.,0
211,(International) What is the University’s application deadline?,"(BSc 6901) HKU Science is the first university to implement this common admission since 2007;; All the 14 Science Majors and 7 Intensive Majors offered by the Faculty of Science are under this common admissions policy;; There is no quota for any of the 14 Science Majors and 7 Intensive Majors.  Students have complete freedom in choosing any Science Major;; Second Major and Minor are available in both Science and non-Science disciplines.  About 1/4 students take one Major and one Minor, and another 1/4 take two Majors in the BSc degree curriculum each year.",0
212,(International) What is the University’s application deadline?,"(AAO) The classification of honours shall be determined by the Board of Examiners in accordance with the following Cumulative GPA (CGPA) scores, with all courses taken (including failed courses) carrying equal weighting:",0
213,(International) Do I need Chinese to study at the University?,"(AAO) You can seek advice from your Faculty Academic Adviser and the advisers at the Academic Advising Office. You can also request a Temporary Academic Adviser (TAA) in SIS. TAAs are current teachers from specific programmes who specialize on helping students explore major/minor options and attend to questions for a particular subject area. Also, you can try to talk to some senior students who are from your interested majors/minors. If you are concerned about employment prospect of your interested major, you may talk to Careers Advisers at CEDARS (Career and Placement) to understand employers’ expectations and how to make career preparation.",0
214,(International) Do I need Chinese to study at the University?,"(AAO) All courses attempted will be recorded on the transcript, including failed courses. If you choose to repeat the failed course, the new grade obtained will be recorded in the semester in which you have retaken the course but the failed grades will still be included in the calculation of the Semester Grade Point Average (SGPA), Year GPA (YGPA), Cumulative GPA (CGPA), and Graduation GPA (GGPA). All failed grades will be taken into account when determining your honours classification.",0
215,(International) What is the University’s second language requirement?,(AAO) Please visit the website of the Scholarships Office at https://www.scholarships.hku.hk/ for more information. They have also developed a comprehensive FAQ at https://www.scholarships.hku.hk/news/detail/164 for students’ reference.,0
216,(International) What is the University’s second language requirement?,"(HKDSE) Starting from the academic year 2020/2021, HKU widely adopted the “Best 5 subjects” or “Best 6 subjects” selection principles for all programmes. It is then not compulsory to take the four core subjects into calculation of the admission scores, which provides a greater flexibility for students to choose their preferred programmes. In addition, HKU adopted a new scoring system by giving bonus points to students achieving Level 5, 5* or 5** in the HKDSE subjects. Under the HKU scoring system, the level to score conversion are as follows: Level 5**: 8.5; Level 5*: 7; Level 5: 5.5; and Level 1 – 4: 1 – 4. Please refer to https://www.hku.hk/dse for more details.",0
217,(International) Where should I submit my application?,(BASc) Please refer to here for the latest information: https://admissions.hku.hk/sites/default/files/2022-03/HKU%20JUPAS%20Admissions%202022_formula%20and%20scores.pdf,0
218,(International) Where should I submit my application?,"(AAO) In general, for programmes requiring a major for graduation, Faculties will define three periods for major/minor declaration and they are (i) allow to declare from; (ii) must declare by: and (iii) last term to access; These three periods vary from programme to programme but in general, students are allowed to declare a major starting from semester 1 of their second year of study. And they must declare their major by the first semester of their third year of study if they have not declared any major in their second year of study.
SIS will NOT declare the major/minor for students automatically.",0
219,(International) How can I apply for a scholarship?,"(BSc 6901) Yes, M1 or M2 is counted as an elective subject (but not a ""Science elective subject"" as specified in previous question).",0
220,(International) How can I apply for a scholarship?,"(BASc) This is a common concern among many students. However, as most university subjects are not offered in secondary school and the majority of students also have little exposure to the subjects they come across, the university curriculum is designed to allow students to start from introductory courses and advance further. In our BASc programme, each student can have access to their mentor and receive personal advice on designing the curriculum path that best fits them, which most current students appreciate.",0
221,(International) What are the requirements to get into the University?,"(AAO) You can check who your FAA is via the web link of https://ugaa.hku.hk/viewugadvisers.php. For enquiries and support, please call us at 39170128.",0
