,No.,Course Code,Title,Credit,Pre-requisite,Available in 2022-2023,Available in 2023-2024,Semester offered in 2022-2023,Exam held in 2022-2023,Quota,Course Coordinator,Disciplinary Core Course,Disciplinary Elective,Capstone - Disciplinary Core Course,Capstone - Disciplinary Elective,Teachers
140,141,EASC3403,Sedimentary environments,6,Pass in EASC2402 or EASC3402,Y,Y,2,May,---,"Dr N R McKenzie, Earth Sciences","Major in Geology (2022,2021,2020,2019,2018,2017,2016,2015)
Major in Geology (Intensive) (2022,2021,2020,2019,2018,2017,2016,2015)","Major in Earth System Science (2022,2021,2020,2019,2018,2017,2016,2015)
Minor in Earth Sciences (2022,2021,2020,2019,2018,2017,2016,2015)",,,"(Dr J King,Earth Sciences)
(Dr N R McKenzie,Earth Sciences)"
141,142,EASC3404,Structural geology,6,Pass in EASC2402 and EASC3402,Y,Y,1,Dec,40,"Dr J R Ali, Earth Sciences","Major in Geology (2022,2021,2020,2019,2018,2017,2016,2015)
Major in Geology (Intensive) (2022,2021,2020,2019,2018,2017,2016,2015)","Minor in Earth Sciences (2022,2021,2020,2019,2018,2017,2016,2015)",,,"(Dr A A G Webb,Earth Sciences)
(Dr J R Ali,Earth Sciences)"
142,143,EASC3405,Environmental remote sensing,6,Pass in EASC2404 or EASC2406 or EASC2407 or ENVS2002,Y,Y,2,No exam,54,"Dr J Michalski, Earth Sciences",,"Major in Earth System Science (2022,2021,2020,2019,2018,2017,2016,2015)
Major in Environmental Science (2022,2021,2020,2019,2018,2017,2016,2015)
Major in Geology (Intensive) (2022,2021,2020,2019,2018,2017,2016,2015)
Minor in Earth Sciences (2022,2021,2020,2019,2018,2017,2016,2015)
Minor in Environmental Science (2022,2021,2020,2019,2018,2017,2016,2015)",,,"(Dr J Michalski,Earth Sciences)
(Dr J Wu,Biological Sciences)"
143,144,EASC3408,Geophysics,6,Pass in EASC2401 or PHYS2250,Y,Y,2,No exam,---,"Dr B Zhang, Earth Sciences","Major in Geology (2022,2021,2020,2019,2018,2017,2016,2015)
Major in Geology (Intensive) (2022,2021,2020,2019,2018,2017,2016,2015)","Major in Earth System Science (2016,2015)
Minor in Earth Sciences (2022,2021,2020,2019,2018,2017,2016,2015)",,,"(Dr B Zhang,Earth Sciences)
(Prof L S Chan,Earth Sciences)"
144,145,EASC3409,Igneous and metamorphic petrogenesis,6,Pass in EASC3402,Y,Y,2,May,30,"Prof G Zhao, Earth Sciences","Major in Geology (2022,2021,2020,2019,2018,2017,2016,2015)
Major in Geology (Intensive) (2022,2021,2020,2019,2018,2017,2016,2015)","Minor in Earth Sciences (2022,2021,2020,2019,2018,2017,2016,2015)",,,"(Prof G Zhao,Earth Sciences)
(Prof M Sun,Earth Sciences)"
145,146,EASC3410,Hydrogeology,6,Pass in EASC2402,Y,Y,1,Dec,40,"Prof J J Jiao, Earth Sciences",,"Major in Earth System Science (2022,2021,2020,2019,2018,2017,2016,2015)
Major in Geology (2022,2021,2020,2019,2018,2017,2016,2015)
Major in Geology (Intensive) (2022,2021,2020,2019,2018,2017,2016,2015)
Minor in Earth Sciences (2022,2021,2020,2019,2018,2017,2016,2015)",,,"(Prof J J Jiao,Earth Sciences)"
146,147,EASC3413,Engineering geology,6,"Pass in EASC3410 and EASC3414, or already enrolled in these courses
This course is only for final year students.",Y,Y,2,May,35,"Dr L N Y Wong, Earth Sciences",,"Major in Geology (2022,2021,2020,2019,2018,2017,2016,2015)
Major in Geology (Intensive) (2022,2021,2020,2019,2018,2017,2016,2015)
Minor in Earth Sciences (2022,2021,2020,2019,2018,2017,2016,2015)",,,"(Dr L N Y Wong,Earth Sciences)
(Prof J J Jiao,Earth Sciences)"
147,148,EASC3414,Soil and rock mechanics,6,"Pass in EASC3410, or already enrolled in this course",Y,Y,2,May,40,"Prof J J Jiao, Earth Sciences",,"Major in Geology (2022,2021,2020,2019,2018,2017,2016,2015)
Major in Geology (Intensive) (2022,2021,2020,2019,2018,2017,2016,2015)
Minor in Earth Sciences (2022,2021,2020,2019,2018,2017,2016,2015)",,,"(Dr L N Y Wong,Earth Sciences)
(Prof J J Jiao,Earth Sciences)"
148,149,EASC3415,Meteorology,6,Pass in EASC2404,Y,Y,1,No exam,---,"Dr Jed Kaplan, Earth Sciences",,"Major in Earth System Science (2022,2021,2020,2019,2018,2017,2016,2015)
Minor in Earth Sciences (2022,2021,2020,2019,2018,2017,2016,2015)",,,"(Dr J O Kaplan,Earth Sciences)"
149,150,EASC3417,Earth through time,6,Pass in EASC3403,Y,Y,1,Dec,---,"Dr S C Chang, Earth Sciences","Major in Geology (Intensive) (2022,2021,2020,2019,2018,2017,2016,2015)","Major in Earth System Science (2022,2021,2020,2019,2018,2017,2016,2015)
Major in Geology (2022,2021,2020,2019,2018,2017,2016,2015)
Minor in Earth Sciences (2022,2021,2020,2019,2018,2017,2016,2015)",,,"(Dr N R McKenzie,Earth Sciences)
(Dr S C Chang,Earth Sciences)"
150,151,EASC3999,Directed studies in earth sciences,6,"Pass in at least 24 credits of advanced level (level 3 or 4) disciplinary core/elective courses in the Geology or Earth System Science Majors; and
Cumulative GPA of 2.5 or above.
This course is not a capstone course and students cannot use this course to fulfill the capstone requirement of the Earth System Science and Geology Majors.
The earliest that a student is allowed to take this course is their year 3 study.",Y,Y,0,No exam,---,"Prof Z H Liu, Earth Sciences",,"Major in Earth System Science (2022,2021,2020,2019,2018,2017,2016,2015)
Major in Geology (2022,2021,2020,2019,2018,2017,2016,2015)
Major in Geology (Intensive) (2022,2021,2020,2019,2018,2017,2016,2015)
Minor in Earth Sciences (2022,2021,2020,2019,2018,2017,2016,2015)",,,"(Various teachers in the Department,Earth Sciences)"
151,152,EASC4403,Biogeochemical cycles,6,Pass in EASC3403 or EASC3416 or ENVS3313,Y,Y,1,Dec,---,"Dr Y Li, Earth Sciences","Major in Earth System Science (2022,2021,2020,2019,2018,2017,2016,2015)","Major in Geology (2022,2021,2020,2019,2018,2017,2016,2015)
Major in Geology (Intensive) (2022,2021,2020,2019,2018,2017,2016,2015)
Minor in Earth Sciences (2022,2021,2020,2019,2018,2017,2016,2015)",,,"(Dr Y Li,Earth Sciences)"
152,153,EASC4406,Earth dynamics & global tectonics,6,Pass in EASC3403 or EASC3404 or EASC3408 or EASC3409,Y,Y,2,May,---,"Prof G Zhao, Earth Sciences","Major in Geology (2022,2021,2020,2019,2018,2017,2016,2015)
Major in Geology (Intensive) (2022,2021,2020,2019,2018,2017,2016,2015)","Minor in Earth Sciences (2022,2021,2020,2019,2018,2017,2016,2015)",,,"(Prof G Zhao,Earth Sciences)"
153,154,EASC4407,Regional geology,6,Pass in EASC3402; and (EASC3403 or EASC3404),Y,Y,1,No exam,40,"Dr A A G Webb, Earth Sciences","Major in Geology (Intensive) (2022,2021,2020,2019,2018,2017,2016,2015)","Major in Geology (2022,2021,2020,2019,2018,2017,2016,2015)
Minor in Earth Sciences (2022,2021,2020,2019,2018,2017,2016,2015)",,,"(Dr A A G Webb,Earth Sciences)
(Dr J R Ali,Earth Sciences)"
154,155,EASC4911,Earth system: contemporary issues,6,"Pass in at least 24 credits of advanced level (level 3 or 4) disciplinary core/elective courses in the Earth System Science Major including at least two of the following courses: EASC3410, EASC3415 or ENVS3313.
This capstone course is for Earth System Science Major students only.
The earliest that a student is allowed to take this capstone course is their year 3 study.",Y,Y,2,No exam,---,"Dr S C Chang, Earth Sciences",,"Major in Geology (Intensive) (2022,2021,2020,2019,2018,2017,2016,2015)
Minor in Earth Sciences (2022,2021,2020,2019,2018,2017,2016,2015)","Major in Earth System Science (2022,2021,2020,2019,2018,2017,2016,2015)",,"(Dr M C Cheung,Earth Sciences)
(Dr S C Chang,Earth Sciences)"
155,156,EASC4955,Integrated field studies,6,"Pass in at least 24 credits of advanced level (level 3 or 4) disciplinary core/elective courses in the Geology Major / Geology Major (Intensive).
This must include either a PASS in, or student must be already enrolled in EASC3403, EASC3404 and EASC3409.
This capstone course is for Geology Major/ Geology Major (Intensive) students only.
The earliest that a student is allowed to take this capstone course is their year 3 study.",Y,Y,2,No exam,35,"Dr N R McKenzie, Earth Sciences",,"Minor in Earth Sciences (2022,2021,2020,2019,2018,2017,2016,2015)","Major in Geology (2022,2021,2020,2019,2018,2017,2016,2015)
Major in Geology (Intensive) (2022,2021,2020,2019,2018,2017,2016,2015)",,"(Dr N R McKenzie,Earth Sciences)"
156,157,EASC4966,Earth sciences internship,6,"Pass in at least 24 credits of advanced level (level 3 or 4) disciplinary core/elective courses in the Geology or Earth System Science Majors.
This course is not a capstone course and students cannot use this course to fulfill the capstone requirement of the Earth System Science and Geology Majors.
The earliest that a student is allowed to take this course is their year 3 study.",Y,Y,"1, 2, S",No exam,---,"Dr M C Cheung, Earth Sciences",,"Major in Geology (Intensive) (2022,2021,2020,2019,2018,2017,2016,2015)
Minor in Earth Sciences (2022,2021,2020,2019,2018,2017,2016,2015)",,,"(Dr M C Cheung,Earth Sciences)"
157,158,EASC4999,Earth sciences project,12,"Pass in at least 24 credits of advanced level (level 3 or 4) disciplinary core/elective courses in the Geology or Earth System Science Majors; and
Cumulative GPA of 2.7 or above.
This course is not a capstone course and students cannot use this course to fulfill the capstone requirement of the Earth System Science and Geology Majors.
The earliest that a student is allowed to take this course is their year 3 study.",Y,Y,0,No exam,---,"Prof Z H Liu, Earth Sciences","Major in Geology (Intensive) (2022,2021,2020,2019,2018,2017,2016,2015)","Major in Earth System Science (2022,2021,2020,2019,2018,2017,2016,2015)
Major in Geology (2022,2021,2020,2019,2018,2017,2016,2015)
Minor in Earth Sciences (2022,2021,2020,2019,2018,2017,2016,2015)",,,"(Various teachers in the Department,Earth Sciences)"
158,159,ENVS1401,Introduction to environmental science,6,NIL,Y,Y,1,No exam,---,"Dr C Not, Earth Sciences","Major in Environmental Science (2022,2021,2020,2019,2018,2017,2016,2015)
Minor in Environmental Science (2022,2021,2020,2019,2018,2017,2016,2015)",,,,"(Dr C Not,Earth Sciences)"
159,160,ENVS3004,"Environment, society and economics",6,"Pass in one of the following courses: CHEM2041, EASC2404, ENVS2001 or ENVS2002",Y,Y,1,Dec,---,"Dr N Khan, Earth Sciences","Major in Environmental Science (2022,2021,2020,2019,2018,2017,2016,2015)
Minor in Environmental Science (2022,2021,2020,2019,2018,2017,2016,2015)",,,,"(Dr C Not,Earth Sciences)
(Dr N Khan,Earth Sciences)
(Dr T C Bonebrake,School of Biological Sciences)"
160,161,ENVS3042,Pollution,6,Pass in EASC2401 or CHEM2241 or BIOL2103 or ENVS2001,Y,Y,1,Dec,50,"Dr X Luo, Earth Sciences",,"Major in Environmental Science (2022,2021,2020,2019,2018,2017,2016,2015)
Minor in Environmental Science (2022,2021,2020,2019,2018,2017,2016,2015)",,,"(Dr X Luo,Earth Sciences)"
161,162,ENVS3313,Environmental oceanography,6,Pass in BIOL2306 or EASC2404 or ENVS2001 or ENVS2002,Y,Y,2,No exam,---,"Dr C Not, Earth Sciences","Minor in Marine Biology (2022,2021,2020,2019,2018,2017,2016,2015)","Major in Earth System Science (2022,2021,2020,2019,2018,2017,2016,2015)
Major in Environmental Science (2022,2021,2020,2019,2018,2017,2016,2015)
Major in Geology (Intensive) (2022,2021,2020,2019,2018,2017,2016,2015)
Minor in Environmental Science (2022,2021,2020,2019,2018,2017,2016,2015)",,,"(Dr C Not,Earth Sciences)"
162,163,ENVS3999,Directed studies in environmental science,6,"Pass in at least 24 credits of advanced level (level 3 or 4) disciplinary core/elective courses in Environmental Science Major.
This capstone course is for Environmental Science Major students only.
The earliest that a student is allowed to take this capstone course is their year 3 study.",Y,Y,"1, 2",No exam,---,"Dr N S Khan, Earth Sciences",,,,"Major in Environmental Science (2022,2021,2020,2019,2018,2017,2016,2015)","(Various teachers (ERS),Earth Sciences)
(Various teachers (SBS),Biological Sciences)"
163,164,ENVS4966,Environmental science internship,6,"Pass in at least 24 credits of advanced level (level 3 or 4) disciplinary core/elective courses in Environmental Science Major.
This capstone course is for Environmental Science Major students only.
The earliest that a student is allowed to take this capstone course is their year 3 study.",Y,Y,"1, 2, S",No exam,---,"Dr N S Khan, Earth Sciences",,,,"Major in Environmental Science (2022,2021,2020,2019,2018,2017,2016,2015)","(Dr N S Khan,Earth Sciences)"
164,165,ENVS4999,Environmental science project,12,"Pass in at least 24 credits of advanced level (level 3 or 4) disciplinary core/elective courses in Environmental Science Major; and
This capstone course is for Environmental Science Major students only.
The earliest that a student is allowed to take this capstone course is their year 3 study.",Y,Y,0,No exam,---,"Dr N S Khan, Earth Sciences",,,,"Major in Environmental Science (2022,2021,2020,2019,2018,2017,2016,2015)","(Various teachers (ERS),Earth Sciences)
(Various teachers (SBS),Biological Sciences)"
165,166,APAI4012,High-performance computing,6,"Passed MATH1013, MATH2014 and STAT2601.
For BASc(AppliedAI) students only.",Y,Y,1,Dec,,"Dr Z Zhang, Mathematics",,"Bachelor of Arts and Sciences in Applied Artificial Intelligence (2022,2021,2020,2019)",,,"(Dr Z Zhang,Mathematics)"
166,167,MATH1009,Basic mathematics for business and economics,6,"NIL
The course has no pre-requisite, but students are expected to have already achieved Level 2 or above in HKDSE Mathematics or equivalent. Not for students who have passed MATH1011 or MATH1013, or have already enrolled in these courses.
This course is exclusively for non-Science and non-Engineering students (i.e. not for students from the Faculty of Science or Engineering).",Y,Y,"1, 2","Dec, May",540,"Dr Y M Chan (1st sem); Dr K H Law (2nd sem), Mathematics",,,,,"(Dr K H Law,Mathematics)
(Dr Y M Chan,Mathematics)"
167,168,MATH1011,University mathematics I,6,"Not for students: (a) with Level 2 or above in M1 or M2 of HKDSE Math or equivalent; (b) have passed or already enrolled in any of following courses: MATH1009, 1013, 1821, 1851, PHYS1150, CHEM1044, level 2 or above math courses; (c) have passed MATH1853.",Y,Y,"1, 2","Dec, May",400,"Dr H Y Zhang, Mathematics",,"Major in Chemistry (Intensive) (2022,2021,2020,2019,2018,2017,2016,2015)
Major in Molecular Biology & Biotechnology (Intensive) (2022,2021,2020,2019,2018,2017,2016,2015)",,,"(Dr H Y Zhang,Mathematics)"
168,169,MATH1013,University mathematics II,6,"Level 2 or above in Module 1, or Module 2 of HKDSE Mathematics or equivalent, or
Pass in MATH1009 or MATH1011; and
Not for students who have passed MATH1821, or (MATH1851 and MATH1853), or have already enrolled in this course.",Y,Y,"1, 2","Dec, May",500,"Dr T W Ching, Mathematics","Bachelor of Arts and Sciences in Applied Artificial Intelligence (2022,2021,2020,2019)
Major in Decision Analytics (2022,2021,2020,2019,2018,2017,2016,2015)
Major in Mathematics (2022,2021,2020,2019,2018,2017,2016,2015)
Major in Mathematics (Intensive) (2022,2021,2020,2019,2018,2017,2016)
Major in Mathematics/Physics (2017,2016,2015)
Major in Risk Management (2022,2021,2020,2019,2018,2017,2016,2015)
Major in Statistics (2022,2021,2020,2019,2018,2017,2016,2015)
Minor in Computational & Financial Mathematics (2022,2021,2020,2019,2018,2017,2016,2015)
Minor in Mathematics (2022,2021,2020,2019,2018,2017,2016,2015)
Minor in Operations Research & Mathematical Programming (2022,2021,2020,2019,2018,2017,2016,2015)","Major in Chemistry (Intensive) (2022,2021,2020,2019,2018,2017,2016,2015)
Major in Molecular Biology & Biotechnology (Intensive) (2022,2021,2020,2019,2018,2017,2016,2015)
Major in Physics (Intensive) (2022,2021,2020,2019,2018,2017,2016)
Minor in Actuarial Studies (2022,2021,2020,2019,2018,2017,2016,2015)",,,"(Dr T W Ching,Mathematics)"
169,170,MATH1821,Mathematical methods for actuarial science I,6,"Level 4 or above in HKDSE Mathematics plus Module 1, or Level 4 or above in HKDSE Mathematics plus Module 2, or equivalent; and
Not for students who have passed MATH1013 or (MATH1851 and MATH1853), or have already enrolled in these courses.
For BSc(ActuarSc) students only.",Y,Y,1,Dec,---,"Dr K H Law, Mathematics","BSc in Actuarial Science (2022,2021,2020,2019,2018,2017,2016,2015)",,,,"(Dr K H Law,Mathematics)"
170,171,MATH1851,Calculus and ordinary differential equations,6,"Level 2 or above in Module 1, or Module 2 of HKDSE Mathematics or equivalent, or
Pass in MATH1011.
(This course is exclusively for Engineering students.)",Y,Y,"1, 2","Dec, May",700,"Prof Y K Lau (1st sem); Dr X Zhang (2nd sem), Mathematics",,,,,"(Dr L Xu,Mechanical Engineering)
(Dr X Zhang,Mathematics)
(Dr Y Chen,Mechanical Engineering)
(Prof K W Chow,Mechanical Engineering)
(Prof Y K Lau,Mathematics)"
171,172,MATH1853,"Linear algebra, probability and statistics",6,"Level 2 or above in Module 1, or Module 2 of HKDSE Mathematics or equivalent, or Pass in MATH1011, or take MATH1011 and MATH1853 concurrently in the same semester. (This course is exclusively for Engineering students.)",Y,Y,"1, 2","Dec, May",700,"Prof G Han, Mathematics",,,,,"(Dr N Wong,Electrical & Electronic Engineering)
(Dr S H Cheung,Civil Engineering)
(Prof G Han,Mathematics)
(Prof Z Q Yue,Civil Engineering)"
172,173,MATH2012,Fundamental concepts of mathematics,6,"Pass in MATH1013 or MATH1821 or (MATH1851 and MATH1853).
Students with good grades in HKDSE Math Module 1 or Math Module 2 (or other equivalent qualifications) and have strong interests in math may also apply for taking this course concurrently with its prerequisites courses (subject to the approval from Course Selection Advisors).",Y,Y,"1, 2","Dec, May",---,"Dr Y M Chan, Mathematics","Major in Mathematics (2022,2021,2020,2019,2018,2017,2016,2015)
Major in Mathematics (Intensive) (2022,2021,2020,2019,2018,2017,2016)","Minor in Computational & Financial Mathematics (2022,2021,2020,2019,2018,2017,2016,2015)
Minor in Mathematics (2022,2021,2020,2019,2018,2017,2016,2015)
Minor in Operations Research & Mathematical Programming (2022,2021,2020,2019,2018,2017,2016,2015)",,,"(Dr Y M Chan,Mathematics)"
173,174,MATH2014,Multivariable calculus and linear algebra,6,"Pass in MATH1013 or (MATH1851 and MATH1853).
Not for students who have passed MATH2822 or [(MATH2101 or MATH2102) and MATH2211], or have already enrolled in these courses.",Y,Y,"1, 2","Dec, May",---,"Dr H Y Zhang, Mathematics","Bachelor of Arts and Sciences in Applied Artificial Intelligence (2022,2021,2020,2019)
Major in Decision Analytics (2022,2021,2020,2019,2018,2017,2016,2015)
Major in Risk Management (2022,2021,2020,2019,2018,2017,2016,2015)
Major in Statistics (2022,2021,2020,2019,2018,2017,2016,2015)","Minor in Computational & Financial Mathematics (2022,2021,2020,2019,2018,2017,2016,2015)
Minor in Mathematics (2022,2021,2020,2019,2018,2017,2016,2015)
Minor in Operations Research & Mathematical Programming (2022,2021,2020,2019,2018,2017,2016,2015)",,,"(Dr H Y Zhang,Mathematics)"
174,175,MATH2101,Linear algebra I,6,Pass in MATH1013 or MATH1821 or (MATH1851 and MATH1853),Y,Y,"1, 2","Dec, May",---,"Dr C Y Hui (1st sem); Dr H Y Zhang (2nd sem), Mathematics","Major in Mathematics (2022,2021,2020,2019,2018,2017,2016,2015)
Major in Mathematics (Intensive) (2022,2021,2020,2019,2018,2017,2016)
Major in Mathematics/Physics (2017,2016,2015)","Minor in Computational & Financial Mathematics (2022,2021,2020,2019,2018,2017,2016,2015)
Minor in Mathematics (2022,2021,2020,2019,2018,2017,2016,2015)
Minor in Operations Research & Mathematical Programming (2022,2021,2020,2019,2018,2017,2016,2015)",,,"(Dr C Y Hui,Mathematics)
(Dr H Y Zhang,Mathematics)"
175,176,MATH2102,Linear algebra II,6,Pass in MATH2101 or (MATH1821 and MATH2822),Y,Y,2,May,---,"Dr Z Hua, Mathematics","Major in Mathematics (2022,2021,2020,2019,2018,2017,2016,2015)
Major in Mathematics (Intensive) (2022,2021,2020,2019,2018,2017,2016)",,,,"(Dr Z Hua,Mathematics)"
176,177,MATH2211,Multivariable calculus,6,Pass in MATH1013 or MATH1821 or (MATH1851 and MATH1853),Y,Y,"1, 2","Dec, May",---,"Dr T W Ching, Mathematics","Major in Mathematics (2022,2021,2020,2019,2018,2017,2016,2015)
Major in Mathematics (Intensive) (2022,2021,2020,2019,2018,2017,2016)
Major in Mathematics/Physics (2017,2016,2015)","Minor in Computational & Financial Mathematics (2022,2021,2020,2019,2018,2017,2016,2015)
Minor in Mathematics (2022,2021,2020,2019,2018,2017,2016,2015)
Minor in Operations Research & Mathematical Programming (2022,2021,2020,2019,2018,2017,2016,2015)",,,"(Dr T W Ching,Mathematics)"
177,178,MATH2241,Introduction to mathematical analysis,6,"Pass in MATH1013 or (MATH1851 and MATH1853) or MATH2822.
Students are strongly recommended to have taken MATH2012 if they wish to take this course.",Y,Y,"1, 2","Dec, May",---,"Prof M K P Ng, Mathematics","Major in Mathematics (2022,2021,2020,2019,2018,2017,2016,2015)
Major in Mathematics (Intensive) (2022,2021,2020,2019,2018,2017,2016)",,,,"(Prof M K P Ng,Mathematics)"
178,179,MATH2822,Mathematical methods for actuarial science II,6,"Pass in MATH1821.
For BSc(ActuarSc) students only.",Y,Y,2,May,---,"Dr K H Law, Mathematics","BSc in Actuarial Science (2022,2021,2020,2019,2018,2017,2016,2015)",,,,"(Dr K H Law,Mathematics)"
179,180,MATH3002,Mathematics seminar,6,"Pass in MATH2012, MATH2101, MATH2211 and MATH2241
Subject to approval by the Department.",Y,Y,2,No exam,12,"Dr X Zhang, Mathematics","Major in Mathematics (Intensive) (2022,2021,2020,2019,2018,2017,2016)","Major in Mathematics (2022,2021,2020,2019,2018,2017,2016,2015)
Major in Mathematics/Physics (2017,2016,2015)
Minor in Mathematics (2022,2021,2020,2019,2018,2017,2016,2015)",,,"(Dr X Zhang,Mathematics)"
180,181,MATH3301,Algebra I,6,Pass in MATH2101 and MATH2102.,Y,Y,1,Dec,---,"Prof Y K Lau, Mathematics","Major in Mathematics (Intensive) (2022,2021,2020,2019,2018,2017,2016)
Major in Mathematics/Physics (2017,2016,2015)","Major in Mathematics (2022,2021,2020,2019,2018,2017,2016,2015)
Minor in Mathematics (2022,2021,2020,2019,2018,2017,2016,2015)",,,"(Prof Y K Lau,Mathematics)"
181,182,MATH3303,Matrix theory and its applications,6,Pass in MATH2101 and MATH2102,Y,N,2,May,---,"Prof M K P Ng, Mathematics",,"Major in Mathematics (2022,2021,2020,2019,2018,2017,2016,2015)
Major in Mathematics/Physics (2017,2016,2015)
Minor in Mathematics (2022,2021,2020,2019,2018,2017,2016,2015)",,,"(Prof M K P Ng,Mathematics)"
182,183,MATH3304,Introduction to number theory,6,Pass in MATH2101 and MATH2211. MATH3301 recommended but not required.,Y,Y,2,May,---,"Dr B Kane, Mathematics",,"Major in Mathematics (2022,2021,2020,2019,2018,2017,2016,2015)
Major in Mathematics (Intensive) (2022,2021,2020,2019,2018,2017,2016)
Major in Mathematics/Physics (2017,2016,2015)
Minor in Mathematics (2022,2021,2020,2019,2018,2017,2016,2015)",,,"(Dr B Kane,Mathematics)"
183,184,MATH3401,Analysis I,6,Pass in MATH2211,Y,Y,1,Dec,---,"Prof W S Cheung, Mathematics","Major in Mathematics (2022,2021,2020,2019,2018,2017,2016,2015)
Major in Mathematics (Intensive) (2022,2021,2020,2019,2018,2017,2016)
Major in Mathematics/Physics (2017,2016,2015)","Minor in Mathematics (2022,2021,2020,2019,2018,2017,2016,2015)",,,"(Prof W S Cheung,Mathematics)"
184,185,MATH3403,Functions of a complex variable,6,Pass in MATH2211 and MATH2241,Y,Y,2,May,---,"Dr K K Wong, Mathematics","Major in Mathematics (Intensive) (2022,2021,2020,2019,2018,2017,2016)","Major in Mathematics (2022,2021,2020,2019,2018,2017,2016,2015)
Major in Mathematics/Physics (2017,2016,2015)
Minor in Mathematics (2022,2021,2020,2019,2018,2017,2016,2015)",,,"(Dr K K Wong,Mathematics)"
185,186,MATH3405,Differential equations,6,Pass in (MATH2101 and MATH2211) or MATH2014 or (MATH1821 and MATH2822),Y,Y,2,May,---,"Dr T K Wong, Mathematics","Major in Mathematics (Intensive) (2022,2021,2020,2019,2018,2017,2016)","Major in Mathematics (2022,2021,2020,2019,2018,2017,2016,2015)
Major in Mathematics/Physics (2017,2016,2015)
Minor in Mathematics (2022,2021,2020,2019,2018,2017,2016,2015)
Minor in Operations Research & Mathematical Programming (2022,2021,2020,2019,2018,2017,2016,2015)",,,"(Dr T K Wong,Mathematics)"
186,187,MATH3408,Computational methods and differential equations with applications,6,Pass in (MATH2101 and MATH2211) or MATH2014 or (MATH1821 and MATH2822),Y,Y,2,May,---,"Prof W K Ching, Mathematics",,"Major in Decision Analytics (2021,2020,2019,2018,2017,2016,2015)
Major in Environmental Science (2017,2016,2015)
Major in Mathematics (2022,2021,2020,2019,2018,2017,2016,2015)
Major in Mathematics/Physics (2017,2016,2015)
Minor in Computational & Financial Mathematics (2022,2021,2020,2019,2018,2017,2016,2015)
Minor in Mathematics (2022,2021,2020,2019,2018,2017,2016,2015)",,,"(Prof W K Ching,Mathematics)"
187,188,MATH3541,Introduction to topology,6,"Pass in MATH2101, MATH2102 and MATH2241.
Students are recommended to have passed or already enrolled in MATH3301 and MATH3401.",Y,Y,1,Dec,---,"Prof J H Lu, Mathematics",,"Major in Mathematics (2022,2021,2020,2019,2018,2017,2016,2015)
Major in Mathematics (Intensive) (2022,2021,2020,2019,2018,2017,2016)
Major in Mathematics/Physics (2017,2016,2015)
Minor in Mathematics (2022,2021,2020,2019,2018,2017,2016,2015)",,,"(Prof J H Lu,Mathematics)"
188,189,MATH3600,Discrete mathematics,6,Pass in (MATH1013 and any 1 of Level 2 MATH courses) or (MATH1851 and MATH1853 and any 1 of level 2 MATH courses) or MATH2014 or (MATH1821 and MATH2822),Y,Y,1,Dec,---,"Dr K H Law, Mathematics","Major in Mathematics (Intensive) (2022,2021,2020,2019,2018,2017,2016)","Major in Decision Analytics (2021,2020,2019,2018,2017,2016,2015)
Major in Mathematics (2022,2021,2020,2019,2018,2017,2016,2015)
Major in Mathematics/Physics (2017,2016,2015)
Minor in Mathematics (2022,2021,2020,2019,2018,2017,2016,2015)
Minor in Operations Research & Mathematical Programming (2022,2021,2020,2019,2018,2017,2016,2015)",,,"(Dr K H Law,Mathematics)"
189,190,MATH3601,Numerical analysis,6,Pass in (MATH2101 and MATH2211) or MATH2014 or (MATH1821 and MATH2822),Y,Y,1,Dec,---,"Dr Z Zhang, Mathematics","Minor in Computational & Financial Mathematics (2022,2021,2020,2019,2018,2017,2016,2015)","Bachelor of Arts and Sciences in Applied Artificial Intelligence (2022,2021,2020,2019)
Major in Decision Analytics (2021,2020,2019,2018,2017,2016,2015)
Major in Mathematics (2022,2021,2020,2019,2018,2017,2016,2015)
Major in Mathematics (Intensive) (2022,2021,2020,2019,2018,2017,2016)
Major in Mathematics/Physics (2017,2016,2015)
Minor in Mathematics (2022,2021,2020,2019,2018,2017,2016,2015)",,,"(Dr Z Zhang,Mathematics)"
190,191,MATH3603,Probability theory,6,Pass in (MATH2101 and MATH2211) or MATH2014 or (MATH1821 and MATH2822),Y,Y,1,Dec,---,"Dr Z Qu, Mathematics","Major in Mathematics (Intensive) (2022,2021,2020,2019,2018,2017,2016)","Major in Mathematics (2022,2021,2020,2019,2018,2017,2016,2015)
Major in Mathematics/Physics (2017,2016,2015)
Minor in Computational & Financial Mathematics (2022,2021,2020,2019,2018,2017,2016,2015)
Minor in Mathematics (2022,2021,2020,2019,2018,2017,2016,2015)",,,"(Dr Z Qu,Mathematics)"
