,user_email,user_level_index,user_query,result,rating,precision_count,chatbox_sex,recommender_rec_type,actual_string,overall_rating
0,sudairi,1,courses computer AI,COMP2396B: Object-oriented Programming and Java,3,5,male,course,courses computer AI; ; ,5
45,53,1,systematics and evolution,BIOL3109: Environmental and molecular ecology,5,3,female,course,systematics and evolution; ; ,4
45,53,1,systematics and evolution,SCNC1112: Fundamentals of modern science,3,3,female,course,systematics and evolution; ; ,4
45,53,1,systematics and evolution,BIOL3508: Microbial physiology and biotechnology,4,3,female,course,systematics and evolution; ; ,4
45,53,1,systematics and evolution,ENVS3020: Global change ecology,3,3,female,course,systematics and evolution; ; ,4
46,54,1,give me some plant related course. Dump ass,CHEM3999: Directed studies in chemistry,1,0,male,course,give me some plant related course. Dump ass; ; ,1
46,54,1,give me some plant related course. Dump ass,BIOL4964: Biological sciences internship,1,0,male,course,give me some plant related course. Dump ass; ; ,1
46,54,1,give me some plant related course. Dump ass,BIOL4861: Ecology & biodiversity internship,1,0,male,course,give me some plant related course. Dump ass; ; ,1
46,54,1,give me some plant related course. Dump ass,BIOL4962: Food & nutritional science internship,1,0,male,course,give me some plant related course. Dump ass; ; ,1
46,54,1,give me some plant related course. Dump ass,CHEM4966: Chemistry internship,1,0,male,course,give me some plant related course. Dump ass; ; ,1
47,55,1,policies about environmental preservation,BIOL3303: Conservation biology,5,4,female,course,policies about environmental preservation; ; ,5
47,55,1,policies about environmental preservation,ENVS1301: Environmental life science,5,4,female,course,policies about environmental preservation; ; ,5
47,55,1,policies about environmental preservation,ENVS1401: Introduction to environmental science,5,4,female,course,policies about environmental preservation; ; ,5
47,55,1,policies about environmental preservation,ENVS3010: Sustainable energy and environment,5,4,female,course,policies about environmental preservation; ; ,5
47,55,1,policies about environmental preservation,BIOL3109: Environmental and molecular ecology,3,4,female,course,policies about environmental preservation; ; ,5
48,56,1,hydrogeology,EASC3410: Hydrogeology,4,3,male,course,hydrogeology; ; ,4
48,56,1,hydrogeology,EASC2409: Regional field studies,3,3,male,course,hydrogeology; ; ,4
48,56,1,hydrogeology,EASC1403: Geological heritage of Hong Kong,2,3,male,course,hydrogeology; ; ,4
48,56,1,hydrogeology,BIOL3994: Directed studies in biological sciences,4,3,male,course,hydrogeology; ; ,4
48,56,1,hydrogeology,BIOL3109: Environmental and molecular ecology,4,3,male,course,hydrogeology; ; ,4
49,57,1,marine and fish ecology,BIOL3303: Conservation biology,4,3,female,course,marine and fish ecology; ; ,4
49,57,1,marine and fish ecology,ENVS1301: Environmental life science,4,3,female,course,marine and fish ecology; ; ,4
49,57,1,marine and fish ecology,ENVS3313: Environmental oceanography,4,3,female,course,marine and fish ecology; ; ,4
49,57,1,marine and fish ecology,BIOL3109: Environmental and molecular ecology,4,3,female,course,marine and fish ecology; ; ,4
49,57,1,marine and fish ecology,ENVS3020: Global change ecology,4,3,female,course,marine and fish ecology; ; ,4
50,58,1,capstone course for earth system science,SCNC1112: Fundamentals of modern science,1,0,male,course,capstone course for earth system science; ; ,1
50,58,1,capstone course for earth system science,EASC1401: Blue Planet,1,0,male,course,capstone course for earth system science; ; ,1
50,58,1,capstone course for earth system science,ENVS1301: Environmental life science,2,0,male,course,capstone course for earth system science; ; ,1
50,58,1,capstone course for earth system science,BIOL3994: Directed studies in biological sciences,5,0,male,course,capstone course for earth system science; ; ,1
50,58,1,capstone course for earth system science,EASC2404: Introduction to atmosphere and hydrosphere,2,0,male,course,capstone course for earth system science; ; ,1
51,59,1,I am a year one want to take biology major in future. Any introduction course of biology?,BIOL4963: Molecular biology & biotechnology internship,1,0,female,course,I am a year one want to take biology major in future. Any introduction course of biology?; ; ,1
51,59,1,I am a year one want to take biology major in future. Any introduction course of biology?,ENVS1301: Environmental life science,3,0,female,course,I am a year one want to take biology major in future. Any introduction course of biology?; ; ,1
51,59,1,I am a year one want to take biology major in future. Any introduction course of biology?,BIOL4964: Biological sciences internship,1,0,female,course,I am a year one want to take biology major in future. Any introduction course of biology?; ; ,1
51,59,1,I am a year one want to take biology major in future. Any introduction course of biology?,BIOL4861: Ecology & biodiversity internship,1,0,female,course,I am a year one want to take biology major in future. Any introduction course of biology?; ; ,1
51,59,1,I am a year one want to take biology major in future. Any introduction course of biology?,BIOL4962: Food & nutritional science internship,1,0,female,course,I am a year one want to take biology major in future. Any introduction course of biology?; ; ,1
52,60,1,Machine learning,PHYS3151: Machine learning in physics,4,4,male,course,Machine learning; ; ,4
52,60,1,Machine learning,COMP3314B: Machine Learning,4,4,male,course,Machine learning; ; ,4
52,60,1,Machine learning,COMP3314C: Machine Learning,4,4,male,course,Machine learning; ; ,4
52,60,1,Machine learning,COMP3314A: Machine Learning,4,4,male,course,Machine learning; ; ,4
52,60,1,Machine learning,"COMP2120B: Computer Organization (IS, 2nd Major)",3,4,male,course,Machine learning; ; ,4
53,61,1,i want some courses on writing proofs,MATH3999: Directed studies in mathematics,4,3,female,course,i want some courses on writing proofs; ; ,4
53,61,1,i want some courses on writing proofs,MATH2012: Fundamental concepts of mathematics,5,3,female,course,i want some courses on writing proofs; ; ,4
53,61,1,i want some courses on writing proofs,STAT4767: Actuarial science internship,1,3,female,course,i want some courses on writing proofs; ; ,4
53,61,1,i want some courses on writing proofs,COMP4804: Computing and Data Analytics Project (CDA),2,3,female,course,i want some courses on writing proofs; ; ,4
53,61,1,i want some courses on writing proofs,MATH3541: Introduction to topology,2,3,female,course,i want some courses on writing proofs; ; ,4
54,62,1,I wanna know how food affects our body and how to build a healthy body,BIOL1201: Introduction to food and nutrition,5,4,male,course,I wanna know how food affects our body and how to build a healthy body; ; ,5
54,62,1,I wanna know how food affects our body and how to build a healthy body,BIOL3205: Human physiology,5,4,male,course,I wanna know how food affects our body and how to build a healthy body; ; ,5
54,62,1,I wanna know how food affects our body and how to build a healthy body,BIOL3204: Nutrition and the life cycle,5,4,male,course,I wanna know how food affects our body and how to build a healthy body; ; ,5
54,62,1,I wanna know how food affects our body and how to build a healthy body,BIOL4209: Functional foods,5,4,male,course,I wanna know how food affects our body and how to build a healthy body; ; ,5
54,62,1,I wanna know how food affects our body and how to build a healthy body,ENVS3028: Coastal Sustainability,1,4,male,course,I wanna know how food affects our body and how to build a healthy body; ; ,5
55,63,1,I am interested in earth and planet ,EASC1401: Blue Planet,5,4,female,course,I am interested in earth and planet ; ; ,5
55,63,1,I am interested in earth and planet ,EASC2404: Introduction to atmosphere and hydrosphere,5,4,female,course,I am interested in earth and planet ; ; ,5
55,63,1,I am interested in earth and planet ,PHYS4655: Interstellar medium,3,4,female,course,I am interested in earth and planet ; ; ,5
55,63,1,I am interested in earth and planet ,EASC1020: Introduction to climate science,4,4,female,course,I am interested in earth and planet ; ; ,5
55,63,1,I am interested in earth and planet ,ENVS3020: Global change ecology,4,4,female,course,I am interested in earth and planet ; ; ,5
56,64,1,Physical chemistry,CHEM2442: Fundamentals of organic chemistry,2,0,male,course,Physical chemistry; ; ,1
56,64,1,Physical chemistry,CHEM4341: Advanced inorganic chemistry,1,0,male,course,Physical chemistry; ; ,1
56,64,1,Physical chemistry,CHEM4444: Chemical biology,1,0,male,course,Physical chemistry; ; ,1
56,64,1,Physical chemistry,PHYS1240: Physics by inquiry,1,0,male,course,Physical chemistry; ; ,1
56,64,1,Physical chemistry,"CHEM4142: Symmetry, group theory and applications",1,0,male,course,Physical chemistry; ; ,1
57,65,1,Climate change and sustainability,ENVS3020: Global change ecology,4,4,female,course,Climate change and sustainability; ; ,4
57,65,1,Climate change and sustainability,EASC1020: Introduction to climate science,4,4,female,course,Climate change and sustainability; ; ,4
57,65,1,Climate change and sustainability,ENVS1301: Environmental life science,4,4,female,course,Climate change and sustainability; ; ,4
57,65,1,Climate change and sustainability,ENVS1401: Introduction to environmental science,4,4,female,course,Climate change and sustainability; ; ,4
57,65,1,Climate change and sustainability,BIOL3303: Conservation biology,3,4,female,course,Climate change and sustainability; ; ,4
58,66,1,game theory and statistics like counting and distributions,"COMP2121C: Discrete Mathematics (CS, CE, IS, 2nd Major)",3,1,male,course,game theory and statistics like counting and distributions; ; ,1
58,66,1,game theory and statistics like counting and distributions,"COMP2121B: Discrete Mathematics (CS, CE, IS)",3,1,male,course,game theory and statistics like counting and distributions; ; ,1
58,66,1,game theory and statistics like counting and distributions,COMP2121A: Discrete Mathematics (CS),3,1,male,course,game theory and statistics like counting and distributions; ; ,1
58,66,1,game theory and statistics like counting and distributions,PHYS2150: Methods in physics I,1,1,male,course,game theory and statistics like counting and distributions; ; ,1
58,66,1,game theory and statistics like counting and distributions,STAT2604: Introduction to R/Python programming and elementary data analysis,1,1,male,course,game theory and statistics like counting and distributions; ; ,1
59,67,1,I hate exam. Give me some Biochemistry courses that without exam.,STAT4767: Actuarial science internship,1,3,male,course,I hate exam. Give me some Biochemistry courses that without exam.; ; ,4
59,67,1,I hate exam. Give me some Biochemistry courses that without exam.,BIOL4963: Molecular biology & biotechnology internship,5,3,male,course,I hate exam. Give me some Biochemistry courses that without exam.; ; ,4
59,67,1,I hate exam. Give me some Biochemistry courses that without exam.,MATH3999: Directed studies in mathematics,1,3,male,course,I hate exam. Give me some Biochemistry courses that without exam.; ; ,4
59,67,1,I hate exam. Give me some Biochemistry courses that without exam.,BIOL4962: Food & nutritional science internship,5,3,male,course,I hate exam. Give me some Biochemistry courses that without exam.; ; ,4
59,67,1,I hate exam. Give me some Biochemistry courses that without exam.,BIOL4964: Biological sciences internship,5,3,male,course,I hate exam. Give me some Biochemistry courses that without exam.; ; ,4
60,68,1,want to learn how environment affects the society,ENVS1301: Environmental life science,3,5,female,course,want to learn how environment affects the society; ; ,5
60,68,1,want to learn how environment affects the society,ENVS1401: Introduction to environmental science,3,5,female,course,want to learn how environment affects the society; ; ,5
60,68,1,want to learn how environment affects the society,ENVS3028: Coastal Sustainability,5,5,female,course,want to learn how environment affects the society; ; ,5
60,68,1,want to learn how environment affects the society,ENVS3020: Global change ecology,5,5,female,course,want to learn how environment affects the society; ; ,5
60,68,1,want to learn how environment affects the society,EASC1401: Blue Planet,3,5,female,course,want to learn how environment affects the society; ; ,5
61,69,1,"environment conservation, marine life",BIOL3303: Conservation biology,5,5,female,course,"environment conservation, marine life; ; ",5
61,69,1,"environment conservation, marine life",ENVS1301: Environmental life science,5,5,female,course,"environment conservation, marine life; ; ",5
61,69,1,"environment conservation, marine life",ENVS3313: Environmental oceanography,5,5,female,course,"environment conservation, marine life; ; ",5
61,69,1,"environment conservation, marine life",ENVS1401: Introduction to environmental science,4,5,female,course,"environment conservation, marine life; ; ",5
61,69,1,"environment conservation, marine life",ENVS3020: Global change ecology,5,5,female,course,"environment conservation, marine life; ; ",5
62,70,1,algorithms and data structure,COMP2119A: Introduction to Data Structures and Algorithms (CS),5,4,male,course,algorithms and data structure; ; ,4
62,70,1,algorithms and data structure,"COMP2119C: Introduction to Data Structures and Algorithms (CS, CE, IS, DA, Minor, 2nd Major)",5,4,male,course,algorithms and data structure; ; ,4
62,70,1,algorithms and data structure,"COMP2119B: Introduction to Data Structures and Algorithms  (CE, IS, DA, Minor, 2nd Major)",5,4,male,course,algorithms and data structure; ; ,4
62,70,1,algorithms and data structure,MATH3943: Network models in operations research,1,4,male,course,algorithms and data structure; ; ,4
62,70,1,algorithms and data structure,STAT2604: Introduction to R/Python programming and elementary data analysis,3,4,male,course,algorithms and data structure; ; ,4
63,71,1,ocean and coastal ,ENVS3313: Environmental oceanography,4,4,male,course,ocean and coastal ; ; ,4
63,71,1,ocean and coastal ,EASC2404: Introduction to atmosphere and hydrosphere,4,4,male,course,ocean and coastal ; ; ,4
63,71,1,ocean and coastal ,BIOL3303: Conservation biology,2,4,male,course,ocean and coastal ; ; ,4
63,71,1,ocean and coastal ,ENVS3028: Coastal Sustainability,4,4,male,course,ocean and coastal ; ; ,4
63,71,1,ocean and coastal ,EASC3410: Hydrogeology,4,4,male,course,ocean and coastal ; ; ,4
64,72,1,Some math course for completing my decision analytics degree,MATH1009: Basic mathematics for business and economics,2,1,male,course,Some math course for completing my decision analytics degree; ; ,2
64,72,1,Some math course for completing my decision analytics degree,"COMP2121B: Discrete Mathematics (CS, CE, IS)",1,1,male,course,Some math course for completing my decision analytics degree; ; ,2
64,72,1,Some math course for completing my decision analytics degree,"COMP2121C: Discrete Mathematics (CS, CE, IS, 2nd Major)",1,1,male,course,Some math course for completing my decision analytics degree; ; ,2
64,72,1,Some math course for completing my decision analytics degree,COMP2121A: Discrete Mathematics (CS),1,1,male,course,Some math course for completing my decision analytics degree; ; ,2
64,72,1,Some math course for completing my decision analytics degree,MATH7502: Topics in applied discrete mathematics,11,1,male,course,Some math course for completing my decision analytics degree; ; ,2
65,73,1,inorganic and organic chemistry,CHEM2442: Fundamentals of organic chemistry,4,4,female,course,inorganic and organic chemistry; ; ,4
65,73,1,inorganic and organic chemistry,CHEM4341: Advanced inorganic chemistry,4,4,female,course,inorganic and organic chemistry; ; ,4
65,73,1,inorganic and organic chemistry,"CHEM4142: Symmetry, group theory and applications",4,4,female,course,inorganic and organic chemistry; ; ,4
65,73,1,inorganic and organic chemistry,CHEM4444: Chemical biology,2,4,female,course,inorganic and organic chemistry; ; ,4
65,73,1,inorganic and organic chemistry,CHEM3445: Integrated laboratory,3,4,female,course,inorganic and organic chemistry; ; ,4
66,74,1,how does the earth work? ,EASC1401: Blue Planet,5,4,female,course,how does the earth work? ; ; ,4
66,74,1,how does the earth work? ,EASC2404: Introduction to atmosphere and hydrosphere,4,4,female,course,how does the earth work? ; ; ,4
66,74,1,how does the earth work? ,EASC1020: Introduction to climate science,4,4,female,course,how does the earth work? ; ; ,4
66,74,1,how does the earth work? ,ENVS3313: Environmental oceanography,4,4,female,course,how does the earth work? ; ; ,4
66,74,1,how does the earth work? ,BIOL4861: Ecology & biodiversity internship,3,4,female,course,how does the earth work? ; ; ,4
67,75,1,some theoretical maths maybe,MATH1009: Basic mathematics for business and economics,1,1,female,course,some theoretical maths maybe; ; ,2
67,75,1,some theoretical maths maybe,"COMP2121C: Discrete Mathematics (CS, CE, IS, 2nd Major)",2,1,female,course,some theoretical maths maybe; ; ,2
67,75,1,some theoretical maths maybe,"COMP2121B: Discrete Mathematics (CS, CE, IS)",2,1,female,course,some theoretical maths maybe; ; ,2
67,75,1,some theoretical maths maybe,COMP2121A: Discrete Mathematics (CS),2,1,female,course,some theoretical maths maybe; ; ,2
67,75,1,some theoretical maths maybe,PHYS2155: Methods in physics II,3,1,female,course,some theoretical maths maybe; ; ,2
68,76,1,Give me information about bioinformatics course,BIOL4963: Molecular biology & biotechnology internship,5,3,female,course,Give me information about bioinformatics course; ; ,3
68,76,1,Give me information about bioinformatics course,BIOL3994: Directed studies in biological sciences,3,3,female,course,Give me information about bioinformatics course; ; ,3
68,76,1,Give me information about bioinformatics course,BIOL4415: Healthcare biotechnology,4,3,female,course,Give me information about bioinformatics course; ; ,3
68,76,1,Give me information about bioinformatics course,BIOC4613: Advanced techniques in biochemistry & molecular biology,3,3,female,course,Give me information about bioinformatics course; ; ,3
68,76,1,Give me information about bioinformatics course,FITE3010: Big Data and Data Mining,3,3,female,course,Give me information about bioinformatics course; ; ,3
69,77,1,bioinformatics course,BIOL4963: Molecular biology & biotechnology internship,4,4,female,course,bioinformatics course; ; ,4
69,77,1,bioinformatics course,BIOC4613: Advanced techniques in biochemistry & molecular biology,2,4,female,course,bioinformatics course; ; ,4
69,77,1,bioinformatics course,BIOL3508: Microbial physiology and biotechnology,4,4,female,course,bioinformatics course; ; ,4
69,77,1,bioinformatics course,CHEM4542: Computational chemistry,4,4,female,course,bioinformatics course; ; ,4
69,77,1,bioinformatics course,BIOL4415: Healthcare biotechnology,4,4,female,course,bioinformatics course; ; ,4
70,78,1,introduction to differential calculus and optimization,"COMP1117A: Computer Programming (ActSc, AppAI, DA, IS, Minor & 2nd Major)",1,0,male,course,introduction to differential calculus and optimization; ; ,1
70,78,1,introduction to differential calculus and optimization,PHYS1650: Nature of the universe,1,0,male,course,introduction to differential calculus and optimization; ; ,1
70,78,1,introduction to differential calculus and optimization,PHYS1240: Physics by inquiry,1,0,male,course,introduction to differential calculus and optimization; ; ,1
70,78,1,introduction to differential calculus and optimization,PHYS1150: Problem solving in physics,1,0,male,course,introduction to differential calculus and optimization; ; ,1
70,78,1,introduction to differential calculus and optimization,"PHYS1056: Weather, climate and climate change",1,0,male,course,introduction to differential calculus and optimization; ; ,1
71,79,1,some practical courses on geology? i want to go on field trips,BIOL4861: Ecology & biodiversity internship,3,2,male,course,some practical courses on geology? i want to go on field trips; ; ,3
71,79,1,some practical courses on geology? i want to go on field trips,BIOL4962: Food & nutritional science internship,1,2,male,course,some practical courses on geology? i want to go on field trips; ; ,3
71,79,1,some practical courses on geology? i want to go on field trips,BIOL4964: Biological sciences internship,1,2,male,course,some practical courses on geology? i want to go on field trips; ; ,3
71,79,1,some practical courses on geology? i want to go on field trips,EASC2409: Regional field studies,4,2,male,course,some practical courses on geology? i want to go on field trips; ; ,3
71,79,1,some practical courses on geology? i want to go on field trips,BIOL4963: Molecular biology & biotechnology internship,3,2,male,course,some practical courses on geology? i want to go on field trips; ; ,3
72,80,1,courses that will discuss about the time series,MATH3999: Directed studies in mathematics,2,0,female,course,courses that will discuss about the time series; ; ,1
72,80,1,courses that will discuss about the time series,STAT4767: Actuarial science internship,1,0,female,course,courses that will discuss about the time series; ; ,1
72,80,1,courses that will discuss about the time series,MATH4999: Mathematics project,1,0,female,course,courses that will discuss about the time series; ; ,1
72,80,1,courses that will discuss about the time series,COMP4804: Computing and Data Analytics Project (CDA),1,0,female,course,courses that will discuss about the time series; ; ,1
72,80,1,courses that will discuss about the time series,MATH3002: Mathematics seminar,1,0,female,course,courses that will discuss about the time series; ; ,1
73,81,1,"introduction to nutrition, biology, chemistry",CHEM4444: Chemical biology,1,2,female,course,"introduction to nutrition, biology, chemistry; ; ",3
73,81,1,"introduction to nutrition, biology, chemistry",CHEM2442: Fundamentals of organic chemistry,3,2,female,course,"introduction to nutrition, biology, chemistry; ; ",3
73,81,1,"introduction to nutrition, biology, chemistry",BIOL3508: Microbial physiology and biotechnology,2,2,female,course,"introduction to nutrition, biology, chemistry; ; ",3
73,81,1,"introduction to nutrition, biology, chemistry",BIOL4963: Molecular biology & biotechnology internship,1,2,female,course,"introduction to nutrition, biology, chemistry; ; ",3
73,81,1,"introduction to nutrition, biology, chemistry",SCNC1112: Fundamentals of modern science,2,2,female,course,"introduction to nutrition, biology, chemistry; ; ",3
74,82,1,environment and chemistry,CHEM2442: Fundamentals of organic chemistry,3,3,male,course,environment and chemistry; ; ,3
74,82,1,environment and chemistry,ENVS1301: Environmental life science,3,3,male,course,environment and chemistry; ; ,3
74,82,1,environment and chemistry,CHEM4341: Advanced inorganic chemistry,1,3,male,course,environment and chemistry; ; ,3
74,82,1,environment and chemistry,BIOL3508: Microbial physiology and biotechnology,2,3,male,course,environment and chemistry; ; ,3
74,82,1,environment and chemistry,EASC1401: Blue Planet,3,3,male,course,environment and chemistry; ; ,3
75,83,1,cell biology,BIOL4416: Stem cells and regenerative biology,5,3,male,course,cell biology; ; ,5
75,83,1,cell biology,CHEM4444: Chemical biology,2,3,male,course,cell biology; ; ,5
75,83,1,cell biology,BIOL1110: From molecules to cells,5,3,male,course,cell biology; ; ,5
75,83,1,cell biology,BIOC2600: Basic biochemistry,2,3,male,course,cell biology; ; ,5
75,83,1,cell biology,BIOC4613: Advanced techniques in biochemistry & molecular biology,5,3,male,course,cell biology; ; ,5
76,84,1,Biology courses with laboratory session.,BIOC4613: Advanced techniques in biochemistry & molecular biology,4,2,male,course,Biology courses with laboratory session.; ; ,3
76,84,1,Biology courses with laboratory session.,BIOL4963: Molecular biology & biotechnology internship,3,2,male,course,Biology courses with laboratory session.; ; ,3
76,84,1,Biology courses with laboratory session.,BIOL3994: Directed studies in biological sciences,4,2,male,course,Biology courses with laboratory session.; ; ,3
76,84,1,Biology courses with laboratory session.,ENVS4999: Environmental science project,3,2,male,course,Biology courses with laboratory session.; ; ,3
76,84,1,Biology courses with laboratory session.,CHEM4444: Chemical biology,3,2,male,course,Biology courses with laboratory session.; ; ,3
77,85,1,"I am majoring in biological science. I want to have some working experience in this field, which course should I take?","COMP1117A: Computer Programming (ActSc, AppAI, DA, IS, Minor & 2nd Major)",1,0,female,course,"I am majoring in biological science. I want to have some working experience in this field, which course should I take?; ; ",1
77,85,1,"I am majoring in biological science. I want to have some working experience in this field, which course should I take?",PHYS1650: Nature of the universe,1,0,female,course,"I am majoring in biological science. I want to have some working experience in this field, which course should I take?; ; ",1
77,85,1,"I am majoring in biological science. I want to have some working experience in this field, which course should I take?",PHYS1240: Physics by inquiry,1,0,female,course,"I am majoring in biological science. I want to have some working experience in this field, which course should I take?; ; ",1
77,85,1,"I am majoring in biological science. I want to have some working experience in this field, which course should I take?",PHYS1150: Problem solving in physics,1,0,female,course,"I am majoring in biological science. I want to have some working experience in this field, which course should I take?; ; ",1
77,85,1,"I am majoring in biological science. I want to have some working experience in this field, which course should I take?","PHYS1056: Weather, climate and climate change",1,0,female,course,"I am majoring in biological science. I want to have some working experience in this field, which course should I take?; ; ",1
78,86,1,Fundamentals science and fundamentals chemistry courses,MATH1009: Basic mathematics for business and economics,1,2,female,course,Fundamentals science and fundamentals chemistry courses; ; ,5
78,86,1,Fundamentals science and fundamentals chemistry courses,SCNC1112: Fundamentals of modern science,5,2,female,course,Fundamentals science and fundamentals chemistry courses; ; ,5
78,86,1,Fundamentals science and fundamentals chemistry courses,PHYS1240: Physics by inquiry,1,2,female,course,Fundamentals science and fundamentals chemistry courses; ; ,5
78,86,1,Fundamentals science and fundamentals chemistry courses,ENVS1301: Environmental life science,2,2,female,course,Fundamentals science and fundamentals chemistry courses; ; ,5
78,86,1,Fundamentals science and fundamentals chemistry courses,CHEM2442: Fundamentals of organic chemistry,5,2,female,course,Fundamentals science and fundamentals chemistry courses; ; ,5
79,87,1,environmental chemistry,ENVS1301: Environmental life science,2,2,female,course,environmental chemistry; ; ,3
79,87,1,environmental chemistry,CHEM4444: Chemical biology,3,2,female,course,environmental chemistry; ; ,3
79,87,1,environmental chemistry,CHEM2442: Fundamentals of organic chemistry,3,2,female,course,environmental chemistry; ; ,3
79,87,1,environmental chemistry,BIOL3109: Environmental and molecular ecology,4,2,female,course,environmental chemistry; ; ,3
79,87,1,environmental chemistry,CHEM4341: Advanced inorganic chemistry,3,2,female,course,environmental chemistry; ; ,3
80,88,2,Computational chemistry,PHYS3151: Machine learning in physics,1,0,female,course,learn chemistry with computer; ; ,1
80,88,2,Computational chemistry,BIOL4963: Molecular biology & biotechnology internship,1,0,female,course,learn chemistry with computer; ; ,1
80,88,2,Computational chemistry,"COMP2120B: Computer Organization (IS, 2nd Major)",1,0,female,course,learn chemistry with computer; ; ,1
80,88,2,Computational chemistry,COMP2120A: Computer Organization (CS),1,0,female,course,learn chemistry with computer; ; ,1
80,88,2,Computational chemistry,CHEM4444: Chemical biology,3,0,female,course,learn chemistry with computer; ; ,1
81,89,1,I want to learn some programming skills for my Decision Analytics degree.,ENTR2001: Professional and leadership development,1,3,female,course,I want to learn some programming skills for my Decision Analytics degree.; ; ,4
81,89,1,I want to learn some programming skills for my Decision Analytics degree.,STAT4609: Big data analytics,3,3,female,course,I want to learn some programming skills for my Decision Analytics degree.; ; ,4
81,89,1,I want to learn some programming skills for my Decision Analytics degree.,PHYS3151: Machine learning in physics,1,3,female,course,I want to learn some programming skills for my Decision Analytics degree.; ; ,4
81,89,1,I want to learn some programming skills for my Decision Analytics degree.,COMP2396B: Object-oriented Programming and Java,3,3,female,course,I want to learn some programming skills for my Decision Analytics degree.; ; ,4
81,89,1,I want to learn some programming skills for my Decision Analytics degree.,COMP2396A: Object-oriented Programming and Java (CS),3,3,female,course,I want to learn some programming skills for my Decision Analytics degree.; ; ,4
82,90,1,courses related to computer graphic and data visualization,STAT3622: Data visualization,5,5,male,course,courses related to computer graphic and data visualization; ; ,5
82,90,1,courses related to computer graphic and data visualization,STAT2604: Introduction to R/Python programming and elementary data analysis,3,5,male,course,courses related to computer graphic and data visualization; ; ,5
82,90,1,courses related to computer graphic and data visualization,FITE3010: Big Data and Data Mining,3,5,male,course,courses related to computer graphic and data visualization; ; ,5
82,90,1,courses related to computer graphic and data visualization,STAT4609: Big data analytics,3,5,male,course,courses related to computer graphic and data visualization; ; ,5
82,90,1,courses related to computer graphic and data visualization,COMP3314C: Machine Learning,3,5,male,course,courses related to computer graphic and data visualization; ; ,5
83,91,1,Earth system science major student want to take courses related to data analysis and modeling,ENVS2001: Methods in environmental science,1,0,male,course,Earth system science major student want to take courses related to data analysis and modeling; ; ,2
83,91,1,Earth system science major student want to take courses related to data analysis and modeling,FITE3010: Big Data and Data Mining,1,0,male,course,Earth system science major student want to take courses related to data analysis and modeling; ; ,2
83,91,1,Earth system science major student want to take courses related to data analysis and modeling,BIOL4964: Biological sciences internship,1,0,male,course,Earth system science major student want to take courses related to data analysis and modeling; ; ,2
83,91,1,Earth system science major student want to take courses related to data analysis and modeling,ENVS4999: Environmental science project,1,0,male,course,Earth system science major student want to take courses related to data analysis and modeling; ; ,2
83,91,1,Earth system science major student want to take courses related to data analysis and modeling,STAT4609: Big data analytics,1,0,male,course,Earth system science major student want to take courses related to data analysis and modeling; ; ,2
84,92,1,atmosphere,EASC2404: Introduction to atmosphere and hydrosphere,5,4,female,course,atmosphere; ; ,4
84,92,1,atmosphere,EASC1401: Blue Planet,5,4,female,course,atmosphere; ; ,4
84,92,1,atmosphere,PHYS4655: Interstellar medium,1,4,female,course,atmosphere; ; ,4
84,92,1,atmosphere,EASC1020: Introduction to climate science,5,4,female,course,atmosphere; ; ,4
84,92,1,atmosphere,ENVS3313: Environmental oceanography,3,4,female,course,atmosphere; ; ,4
85,93,1,interested in biodiversity and animals,BIOL3303: Conservation biology,3,1,female,course,interested in biodiversity and animals; ; ,3
85,93,1,interested in biodiversity and animals,ENVS1301: Environmental life science,3,1,female,course,interested in biodiversity and animals; ; ,3
85,93,1,interested in biodiversity and animals,BIOL4861: Ecology & biodiversity internship,5,1,female,course,interested in biodiversity and animals; ; ,3
85,93,1,interested in biodiversity and animals,ENVS3020: Global change ecology,3,1,female,course,interested in biodiversity and animals; ; ,3
85,93,1,interested in biodiversity and animals,BIOL3109: Environmental and molecular ecology,3,1,female,course,interested in biodiversity and animals; ; ,3
86,94,1,"i want to learn about minerals and natural resources, also quite interested in rocks and the chemistry behind.",EASC1401: Blue Planet,1,1,female,course,"i want to learn about minerals and natural resources, also quite interested in rocks and the chemistry behind.; ; ",1
86,94,1,"i want to learn about minerals and natural resources, also quite interested in rocks and the chemistry behind.",CHEM4341: Advanced inorganic chemistry,1,1,female,course,"i want to learn about minerals and natural resources, also quite interested in rocks and the chemistry behind.; ; ",1
86,94,1,"i want to learn about minerals and natural resources, also quite interested in rocks and the chemistry behind.",ENVS1401: Introduction to environmental science,1,1,female,course,"i want to learn about minerals and natural resources, also quite interested in rocks and the chemistry behind.; ; ",1
86,94,1,"i want to learn about minerals and natural resources, also quite interested in rocks and the chemistry behind.",ENVS1301: Environmental life science,1,1,female,course,"i want to learn about minerals and natural resources, also quite interested in rocks and the chemistry behind.; ; ",1
86,94,1,"i want to learn about minerals and natural resources, also quite interested in rocks and the chemistry behind.",EASC2404: Introduction to atmosphere and hydrosphere,2,1,female,course,"i want to learn about minerals and natural resources, also quite interested in rocks and the chemistry behind.; ; ",1
87,95,1,I want to learn environmental toxicology and protection.,ENVS1301: Environmental life science,1,0,male,course,I want to learn environmental toxicology and protection.; ; ,1
87,95,1,I want to learn environmental toxicology and protection.,BIOL3303: Conservation biology,1,0,male,course,I want to learn environmental toxicology and protection.; ; ,1
