,Course Code,Course Title,Course Description,Learning Outcomes
52,COMP3270A,Artificial Intelligence,This is an introduction course on the subject of artificial intelligence. Topics include: intelligent agents; search techniques for problem solving; knowledge representation; logical inference; reasoning under uncertainty; statistical models and machine learning. ,[1] understand the basic principles and technologies of intelligent computer systems; [2] explain the algorithms to achieve AI; [3] develop some AI programs
53,COMP3270B,Artificial Intelligence,This is an introduction course on the subject of artificial intelligence. Topics include: intelligent agents; search techniques for problem solving; knowledge representation; logical inference; reasoning under uncertainty; statistical models and machine learning. ,[1] understand the basic principles and technologies of intelligent computer systems; [2] explain the algorithms to achieve AI; [3] develop some AI programs
54,COMP3271,Computer Graphics,"Overview of graphics hardware, basic drawing algorithms, 2-D transformations, windowing and clipping, interactive input devices, curves and surfaces, 3-D transformations and viewing, hidden-surface and hidden-line removal, shading and colour models, modelling, illumination models, image synthesis, computer animation.","[Computer graphics concepts] Be able to understand the basic concepts and apply them in analyzing and solving problems.; [Computer graphics models] Be able to understand the meaning and purpose of mathematical models in computer graphics, derive parameters for such models, implement such models in software systems, and apply such models to explain real-world phenomena.; [Computer graphics algorithms] Be able to disseminate and implement computer graphics algorithms, and understand their computing requirements.; [Computer graphics tools] Be able to use 2D and 3D graphics libraries, such as OpenGL, in software development."
55,COMP3314A,Machine Learning,"This course introduces algorithms, tools, practices, and applications of machine learning. Topics include core methods such as supervised learning (classification and regression), unsupervised learning (clustering, principal component analysis), Bayesian estimation, neural networks; common practices in data pre-processing, hyper-parameter tuning, and model evaluation; tools/libraries/APIs such as scikit-learn, Theano/Keras, and multi/many-core CPU/GPU programming. ","[1] understand the motivations and principles for building adaptive systems based on empirical data, and how machine learning relates to the broader field of artificial intelligence; [2] formulate problems associated with domain specific data (e.g., image classification, document clustering) in terms of abstract models of machine learning; [3] implement solutions to machine learning problems using tools such as Matlab or Octave, apply numerical optimization algorithms"
56,COMP3314B,Machine Learning,"This course introduces algorithms, tools, practices, and applications of machine learning. Topics include core methods such as supervised learning (classification and regression), unsupervised learning (clustering, principal component analysis), Bayesian estimation, neural networks; common practices in data pre-processing, hyper-parameter tuning, and model evaluation; tools/libraries/APIs such as scikit-learn, Theano/Keras, and multi/many-core CPU/GPU programming. ","[1] understand the motivations and principles for building adaptive systems based on empirical data, and how machine learning relates to the broader field of artificial intelligence; [2] formulate problems associated with domain specific data (e.g., image classification, document clustering) in terms of abstract models of machine learning; [3] implement solutions to machine learning problems using tools such as Matlab or Octave, apply numerical optimization algorithms"
57,COMP3314C,Machine Learning,"This course introduces algorithms, tools, practices, and applications of machine learning. Topics include core methods such as supervised learning (classification and regression), unsupervised learning (clustering, principal component analysis), Bayesian estimation, neural networks; common practices in data pre-processing, hyper-parameter tuning, and model evaluation; tools/libraries/APIs such as scikit-learn, Theano/Keras, and multi/many-core CPU/GPU programming. ","[1] understand the motivations and principles for building adaptive systems based on empirical data, and how machine learning relates to the broader field of artificial intelligence; [2] formulate problems associated with domain specific data (e.g., image classification, document clustering) in terms of abstract models of machine learning; [3] implement solutions to machine learning problems using tools such as Matlab or Octave, apply numerical optimization algorithms"
58,COMP3316,Quantum Information and Computation,"This course offers an introduction to the interdisciplinary field of quantum information and computation. We will start from the basic rules of quantum theory and become familiar with the counterintuitive notions of quantum superposition and entanglement. In particular, we will see how quantum systems could be used to detect an object without directly interacting with it (Elitzur-Vaidman bomb tester), to increase the amount of bits that can be sent through a transmission line (dense coding), and to increase the chance to win certain games (CHSH game and GHZ game). Once the basics have been covered, we will provide an overview of quantum computation and of major quantum algorithms such as Grover's search algorithm and Shor's factoring algorithm for prime factorization. Finally, we will introduce the upgraded framework of quantum theory, and use it to explore applications to quantum error correction, quantum state discrimination, quantum cryptography, and quantum teleportation. ","[Basic Working knowledge] Able to use the basic rules of quantum theory: states, measurements, gates, composite systems.; [Modeling] Able to model basic information-theoretic tasks in the quantum domain: quantum communication, quantum games, quantum computation.; [Higher-level reasoning] Able to deduce new results from the basic knowledge provided in the course.; [Self-learning] Able to self-learn a new topic and/or to approach a mini research problem."
59,COMP3317,Computer Vision,"This course introduces the principles, mathematical models and applications of computer vision. Topics include: image processing techniques, feature extraction techniques, imaging models and camera calibration techniques, stereo vision, and motion analysis.","[Image processing] Students understand how images are digitally represented and learn how to perform image processing, e.g. logic and arithmetic operations, convolution, and filtering.; [Feature extraction] Students are able to implement low-level edge and corner detection algorithms to discard redundant and preserve useful information.; [Camera model and calibration] Students are able to model a projective pinhole camera by applying techniques such as perspective projection, rigid body motion and homogeneous coordinates. Students are able to discover the intrinsic and extrinsic camera parameters using linear least squares on a set of equations.; [Stereo vision] Students are able to extract 3D information from images and recover world positions through triangulation. They understand fundamental concepts in multiple view geometry, such as the correspondence problem, the essential/fundamental matrix, and the epipolar geometry."
60,COMP3322A,Modern Technologies on World Wide Web,"Selected network protocols relevant to the World Wide Web (e.g., HTTP, DNS, IP); World Wide Web; technologies for programming the Web (e.g, HTML, XML, style sheets, PHP, JavaScript, Node.js.; other topics of current interest (AJAX, HTML5, web services, cloud computing).",[Web technologies] Able to master the key technologies about the World Wide Web and be able to contrast similar technologies.; [Application Development] Able to implement web based systems to solving real-life problems
61,COMP3322B,Modern Technologies on World Wide Web,"Selected network protocols relevant to the World Wide Web (e.g., HTTP, DNS, IP); World Wide Web; technologies for programming the Web (e.g, HTML, XML, style sheets, PHP, JavaScript, Node.js.; other topics of current interest (AJAX, HTML5, web services, cloud computing).",[Web technologies] Able to master the key technologies about the World Wide Web and be able to contrast similar technologies.; [Application Development] Able to implement web based systems to solving real-life problems
62,COMP3329,Computer Game Design and Programming,"This course introduces the concepts and techniques for computer game design and development. Topics include: game history and genres, game design process, game engine, audio and visual design, 2D and 3D graphics, physics, optimization, camera, network, artificial intelligence and user interface design. Students participate in group projects to gain hands-on experience in using common game engine in the market. ","[implement a workable game in particular platform] Be able to implement a workable game in particular platform; [understand different aspects of game design] Be able to understand different aspects of game design including UI, programming, marketing, etc.; [present the game idea in both written and oral form] Be able to present the game idea in both written and oral form; [learn new development environment] Be able to learn new development environment; [learn from other source codes and projects] Be able to learn from other source codes and projects"
63,COMP3330,Interactive Mobile Application Design and Programming,"This course aims at introducing the design and development issues of mobile apps. Students will learn the basic principles, constraints and lifecycle of mobile apps. Then they will learn how to use modern object-oriented languages for the development and different design patterns. Next they will learn various development issues such as graphics, touch events, handling of concurrency, sensors, location services and server connection. Students will also participate in both individual assignments and group project to practice ideation, reading, writing, coding and presentation throughout this course.","[1] Understand the basics about mobile apps development, including features of mobile devices, types and lifecycle of applications, and markets; [2] Be able to develop mobile applications using common IDEs in the community; [3] Understand various components for interactive mobile application development, including user interface design, graphics, handling of concurrency, local database, network, multimedia, use of sensors and location services, testing and publication of mobile apps; [4]   Exercise project management skills including ideation, reading, writing, coding, and presentation; [5] Possess the mentality to deal with the fast-changing future mobile application development world"
64,COMP3340,Applied Deep Learning,"An introduction to algorithms and applications of deep learning.  The course helps students get hands-on experience of building deep learning models to solve practical tasks including image recognition, image generation, reinforcement learning, and language translation. Topics include: machine learning theory; optimization in deep learning; convolutional neural networks; recurrent neural networks; generative adversarial networks; reinforcement learning; self-driving vehicle.","[1] understand the motivations and principles for building deep learning systems based on empirical data, and how deep learning relates to the broader field of artificial intelligence.; [2] formulate problems associated with domain specific data (e.g., image recognition, image generation, reinforcement learning, and language translation) in terms of deep learning models.; [3] implement solutions to computer vision, natural language processing, and robotic problems using deep learning toolboxes such as PyTorch or Tensorflow, apply numerical optimization algorithms."
65,COMP3353,Bioinformatics,"The goal of the course is for students to be grounded in basic bioinformatics concepts, algorithms, tools, and databases. Students will be leaving the course with hands-on bioinformatics analysis experience and empowered to conduct independent bioinformatics analyses. We will study: 1) algorithms, especially those for sequence alignment and assembly, which comprise the foundation of the rapid development of bioinformatics and DNA sequencing; 2) the leading bioinformatics tools for comparing and analyzing genomes starting from raw sequencing data; 3) the functions and organization of a few essential bioinformatics databases and learn how they support various types of bioinformatics analysis. ","[Bioinformatics Algorithms] Be able to understand the important algorithms used in bioinformatics.; [Bioinformatics Tools] Be able to understand the theoretical foundations and applications for several leading bioinformatics tools.; [Bioinformatics Database] Be able to understand the function and organization of a few essential bioinformatics databases, and how do they support various types of bioinformatics analysis.; [Bioinformatics Analysis] Be able to perform a few basic bioinformatics analyses using both existing and self-written tools.; [Bioinformatics Self-learning] Be able to utilize the learnt knowledge to understand a bioinformatics new topic."
66,COMP3355,Cyber Security,"This course introduces the principles, mechanisms and implementation of cyber security and data protection. Knowledge about the attack and defense are included. Topics include notion and terms of cyber security; network and Internet security, introduction to encryption: classic and modern encryption technologies; authentication methods; access control methods; cyber attacks and defenses (e.g. malware, DDoS).","[Foundation] Be able to understand the principles and objectives of information security, encryption, cyber-attacks and defense.; [Model] Be able to understand security models and to apply the model to achieve the security objectives.; [Design] Be able to understand the basic principles of security design and to apply the principles.; [Application] Be able to understand the security issues of a real-life Internet applications.; [Application development] Be able to implement a practical Internet application in a secure manner."
67,COMP3356,Robotics ,"This course provides an introduction to mathematics and algorithms underneath state-of-the-art robotic systems. The majority of these techniques are heavily based on probabilistic reasoning and optimization – two areas with wide applicability in modern AI. We will also cover some basic knowledge about robotics, namely geometry, kinematics, dynamics, control of a robot, as well as the mathematical tools required to describe the spatial motion of a robot will be presented. In addition, we will cover perception, planning, and learning for a robotic system, with the obstacle avoidance and robotic arm manipulation as typical examples. Note: The focus of the course is on mathematics and algorithms; we will not study mechanical or electrical design of robots.","[1] Understand the motivations and principles for building autonomous robotic system based on sensory perception, control principles, and AI algorithms; and how robotics relates to the broader field of artificial intelligence; [2] Formulate problems associated with domain specific data (e.g., obstacle avoidance and robotic arm manipulation) in terms of abstract models of robotics and AI algorithms; [3] Implement solutions to robotics problems using tools such as Matlab, apply numerical optimization and machine learning algorithms"
68,COMP3357,Cryptography,"This course offers a gentle introduction to the field of cryptography. We will start from the basic principles of confidentiality, integrity and authentication.  After that, we will go through some fundamental cryptographic primitives like hash function, symmetric key encryption, public key encryption and digital signatures.  Finally, we will introduce the basics of quantum cryptography including quantum key distribution and random number generation. ","[Basic working knowledge] Understand the basic elementary knowledge of one-way function, such as discrete logarithm and RSA. Learn the elementary tools of pseudorandom number generator.  Be familiar with tools of quantum information theory.   Understand the basics of modern quantum cryptography including quantum key distribution and quantum random number generation.; [Problem modeling] Model the security requirements of confidentiality, integrity and authentication, such as the Chosen Ciphertext Attack (CCA) model. Model cryptographic tasks in quantum theory.; [Problem solving] Understand the difference between cryptographic primitives like hash function, symmetric key encryption, public key encryption and digital signatures.  Apply different cryptographic primitives in practical applications.  Establish the security of simple protocols for quantum key distribution and random bit generation.; [Self-learning] Able to self-learn basic topics in cryptography come up with creative solutions to simple problems"
69,COMP3358,Distributed and Parallel Computing,"This course introduces the basic concepts and modern software architectures on distributed and parallel computing. Topics include: computer network primitives, distributed transactions and two-phase commits, webservices, parallelism and scalability models, distributed consistency models, distributed fault-tolerance, actor and monads, Facebook photo cache, Amazon key-value stores, Google Map-reduce, Spark, and TensorFlow.","[Distributed and Parallel Computing Concepts] Students are able to apply distributed and parallel computing concepts, to make correct conceptual choices, and to design software architectures for solving real-world problems.; [Distributed Fault-tolerant Architectures] Students are able to design and implement distributed software architectures that are efficient and fault-tolerant, and to deploy them on modern clouds.; [Parallel Computing Architectures] Students are able to design and implement parallel software architectures to process the drastically increasing amount of data in an efficient, scalable, and fault-tolerant manner."
70,COMP3360,Data-driven Computer Animation,"Basics of character animation, keyframe animation, motion capture, inverse kinematics, physically based character animation, Basics of physically-based animation, rigid body dynamics, point-based dynamics, hair animation, cloth simulation, facial animation, crowd simulation, mesh-shape editing, performance capture, skinning, data-driven character control, data-driven cloth animation, data-driven facial animation, data-driven skinning.","[1] understand the motivation and principles for character animation, as well as the skills for implementing such techniques; [2] understand the motivation and principles of physical simulation; [3] understand the motivation and techniques for learning character animation and physical simulation, implement solutions to learn from character motion data or physical animation data"
71,COMP3361,Natural Language Processing,"Natural language processing (NLP) is the study of human language from a computational perspective. The course will be focusing on machine learning and corpus-based methods and algorithms. We will cover syntactic, semantic and discourse processing models. We will describe the use of these methods and models in applications including syntactic parsing, information extraction, statistical machine translation, dialogue systems, and summarization. This course starts with language models (LMs), which are both front and center in natural language processing (NLP), and then introduces key machine learning (ML) ideas that students should grasp (e.g. feature-based models, log-linear models and then the neural models). We will land on modern generic meaning representation methods (e.g. BERT/GPT-3) and the idea of pretraining / finetuning.","1.       able to understand the motivations and principles for building natural language processing systems; 2.       able to master a set of key machine learning / statistical methods which are widely used in and beyond NLP; 3.       able to implement practical applications of NLP using tools such as NLTK, Pytorch and Dynet"
72,COMP3362,Hands-on AI: Experimentation & Applications,"This course allows students to experience a complete AI experimentation and evaluation cycle with a hands-on project.  The course comprises two main components: students first acquire the basic know-how of the state-of-the-art AI technologies, platforms and tools (e.g., TensorFlow, PyTorch, scikit-learn) via example-based modules in a self-paced learning mode.  Students will then identify a creative or practical data-driven application and implement an AI-powered solution for the application as the course project.","1.       understand the basics and general frameworks of the common AI approaches (e.g., search, machine learning, deep learning) for problem solving; 2.       understand the workflow, the capabilities and the limitations of some state-of-the-art AI technologies, platforms and tools for solving data intensive problems with AI approaches; 3.       identify potential AI-oriented tasks in a problem; design and implement AI pipelines properly in solving the corresponding tasks; 4.       carry out AI experimentation with justifiable processes and evaluation; analyze and address potential issues arising from the experimentation"
73,COMP3366,Quantum Algorithms and Computer Architecture,"Quantum computing can perform hard computational tasks that are far beyond the reach of conventional computers. This course will focus on quantum computing and its realization, offering a tour through the most important concepts and the most recent progresses. The course consists of four major parts: basics of quantum computing, quantum algorithms, quantum machine learning, and quantum error correction. The course starts with an introduction to the essential ingredients of quantum circuits. We will get familiar with quantum computing by going through representative quantum algorithms and visiting more advanced topics in quantum machine learning. We will then discuss how to build a quantum computer: various ways of implementing quantum computations and coping with noises will be discussed. Finally, we will conclude the course with an overview of recent progresses and with a perspective on the future of quantum computing. Tutorials will also be offered on quantum programming, where we will design our own quantum algorithms that address practical problems.","[Concepts] Familiar with the quantum circuit model, rules of quantum computation as well as basic elements of quantum computing architecture.; [Problem solving] Able to solve basic problems in quantum computing and quantum error correction, such as evaluating the outcome and the efficiency of an algorithm or determining the distance of a quantum code.; [Algorithm design] Proficient in one quantum programming language.     Able to identify the right quantum algorithm for a specific task.    Able to work as a team in designing a quantum algorithm and presenting the algorithm to the audience."
74,COMP3516,Data Analytics for IoT,"This course introduces basic concepts, technologies, and applications of the Internet of Things (IoT), with a focus on data analytics. The course covers a range of enabling techniques in sensing, computing, analytics, learning for IoT and connects them to exciting applications in smart homes, healthcare, security, etc. The lectures cover the pipeline of data generation, data acquisition, data transportation, data analysis and learning, and data applications, with various topics from the fundamentals (e.g., signal processing, statistical analysis, machine learning) to real-world systems. Billions of things are connected today, and this course helps students to understand how IoT will evolve into AIoT (Artificial Intelligence of Things).","1.       Be able to understand the concepts and applications of IoT, and understand the core problems (e.g., networking, sensing) for building IoT systems; 2.       Be able to understand and manage the knowledge of models and principles and compare the performance of key techniques for IoT data analytics.; 3.       Be able to identify and implement practical IoT applications with data analytics techniques"
75,FITE3010,Big Data and Data Mining,"To study some important topics and techniques in big data and data mining. The teaching and learning will focus on the algorithmic and system aspects of these topics. Survey on recent development and progress in selected areas will also be included.The course will study some advanced topics and techniques in big data, with a focus on the algorithmic and system aspects. It will also survey the recent development and progress in selected areas. Topics include: spatial-spatiotemporal data management, textual big data, uncertain data management, indexing, query evaluation and optimization, and data mining.","[Recent Development in Big Data] Able to understand the background and knowledge of some contemporary topics in Big Data; typical topics are spatial big data, spatial networks, textual big data, and uncertain data management.; [Recent Development in Data Mining] Able to understand the background and knowledge of some contemporary topics in data mining, typical topics are association rule mining, clustering, information ranking, data integration.; [Advanced Topics in Database Systems] Able to understand the background and knowledge of some advanced topics in large database systems; typical topics are indexing, query evaluation, and query optimization.; [Application Development] Able to implement some practical application modules based on selected advanced Big Data techniques"
76,FITE3012,E-payment and Crypto-currency,"The course covers banking systems, e-payment security, foreign exchange, Internet banking, wireless payments, stored-value cards, micropayments, peer-to-peer payments, electronic and crypto-currencies such as Bitcoin, large-scale B2B payments and the future of money.","[Technical foundation] Acquire a fundamental understanding of crypto-currency and e-payment, including basic principles, technical and business aspects. Identify key components behind the design of crypto-currency and e-payment systems.; [Applications and programming] Design and implement crypto-currency and e-payment systems / applications; and evaluate different designs/solutions for such systems, applications and protocols.; [Cryptocurrency and related issues] Understand the technologies behind different crypto-currencies and different e-payment systems, and related issues such as legal and regulatory requirements; [Limitations and extensions] Follow trends of e-payment and crypto-currencies, understand the impact, limitations, pros and cons of different e-payment and crypto-currencies."
77,COMP7310,Artificial intelligence of things,,
78,COMP7607,Natural language processing,,
79,BIOC1600,Perspectives in biochemistry,"A Biochemical Perspective on the Basic SciencesA. Chemistry for BiochemistryThe elements and bonding (from carbon to Coenzyme A); Resonance and orbital theory (a focus on the electron); Structure and conformation (thinking in 3 dimensions); Isomerism (from mirrors to thalidomide); Water (the universal biochemical solvent) & buffer; Quantitation in chemistry (who was Avogadro anyway?).B. Biology for BiochemistryThe basic building blocks of life (proteins, DNA, lipids, carbohydrate); The Central Dogma of Molecular Biology; Evolution (considering molecular evolution); Origins of life (the chicken-egg paradox of proteins and DNA)C. Physics and Mathematics for BiochemistryThermodynamics from a Biological Perspective; Introduction to molecular recognition and binding (DNA melting); Statistics for biochemistry (applied statistics for what you really need to know); Thinking numbers (exponentials, logs and the limits of life).D. Inspiring BiochemistryThe protein; The gene; Vitamins and disease;  Synthetic biology; The challenges of modern-day genetics Drugs-successes and failures. - Teach students a biochemical perspective on each of the Basic Sciences focusing on concepts fundamental to the learning of Biochemistry. - Promote deep learning of course material through an integrated programme of practical and collaborative tasks.- Inspire students with a view of the great discoveries and future challenges for Biochemistry.- Help students make the transition from school to university by developing their teamwork, independent study skills and confidence to communicate within a Biochemistry learning environment.","describe the basics of biomolecular structure from a chemical perspective, using texts and diagrams, thereby integrating the basic sciences of biology, chemistry and physics into a biochemical perspective; apply knowledge of biomolecular structure to review major discoveries and contemporary issues in molecular biology; interpret scientific data and discuss major issues in biochemistry, using the scientific literature; demonstrate communication skills and the ability to collaborate with colleagues in practicals and in presentation of scientific ideas via written and oral proficiencies; relate how biochemistry intersects with the three basic sciences of biology, chemistry and physics, and recognize the transition from school to university level study"
80,BIOC2600,Basic biochemistry,"Structure and functions of carbohydrates, lipids, nucleic acids, amino acids and proteins; enzymes and co-enzymes; basic bioenergetics; key metabolic processes in a living cell; signaling across cell membranes; flow of genetic information This course is designed to present an overview of biochemistry of fundamental importance to the life process. We aim to develop appreciation of the basics in biochemistry as a common ground for science and non-science students to progress into their areas of specialization. Students intending to pursue further studies in Biochemistry and Molecular Biology will find this course particularly helpful.","relate the structures to functions of major biomolecules including carbohydrates, amino acids and lipids; explain the fundamentals and significance of bioenergetics, metabolism and intracellular signaling; explain the fundamentals and importance of the flow of genetic information; explain the molecular mechanisms of disorders related to metabolism of carbohydrates, amino acids and/or lipids; demonstrate skills in working and collaborating together with colleagues in group assignments"
81,BIOC3601,Basic metabolism,"This course focuses on the central metabolic pathways involved in the provision of energy needed by living organisms. Major metabolic pathways covered in this course include those that are involved in the synthesis and breakdown of glucose, glycogen, triacylglycerol, and amino acids.  The metabolism of purines and pyrimidines will also be considered. Emphasis is on the understanding of the metabolic reactions involved and how they are regulated in relation to environmental cues. Metabolic derangements as a basis of diseases will also be discussed. This course aims to provide foundation concepts of metabolism. It will enable students of this course to see how some of the basic concepts in biochemistry (specifically those learned in BIOC1600 and BIOC2600) could be applied to explain one of the most important and cardinal issues of biological life: the acquisition of metabolic energy. The course will lay the foundation for the more advanced courses offered in the Biochemistry Major and will also serve as a useful complement to courses on nutrition and dietetics.",achieve a vigorous intellectual appreciation of basic principles of functional organization of metabolic networks; identify one's own gaps of basic knowledge in metabolism and to fill up those gaps from literature resources through effective means or approaches; develop the communication and social skills essential for the acquisition and dissemination of knowledge
82,BIOC3604,Essential techniques in biochemistry and molecular biology,"Basic concepts in experimental science; writing of lab notebooks; experimental approaches - genetic, biochemical, molecular, genomic and others; methods for isolation and analysis of carbohydrates, proteins, lipids and nucleic acids; subcellular fractionation; enzyme assays and spectrophotometry; basic nucleic acid manipulation - PCR, site-directed mutagenesis, blotting and hybridization, cloning strategies, restriction mapping. To give students a general overview of different experimental approaches and model systems, and to provide students with hands-on experience in basic biochemical and molecular techniques.","describe and explain the principles underlying various biochemical and molecular techniques; apply different techniques to isolate and characterize carbohydrates, lipids, proteins and nucleic acids in hands-on laboratory sessions; interpret and discuss scientific data using appropriate scientific language; collaborate effectively with team members in laboratory sessions"
83,BIOC3605,Sequence bioinformatics,"This course will introduce and discuss the following topics:DNA and protein sequence database, protein family databases; information searching and retrieval; Simple sequence analysis; sequence alignment: pair-wise alignment, multiple sequence alignment, substitution matrices; sequence database searching: algorithm and parameters; sequence patterns and motifs, and profiles; phylogenetic analysis; gene prediction; analysis of next generation sequencing data This course will examine existing bioinformatics tools for DNA and protein sequence analysis. Theunderlying principles of these analysis programs and services will be presented. Students will learn how to retrieve, analyze, and compare protein and DNA sequences using bioinformatics tools available on the internet. A basic introduction to the principles and tools for the analysis of next generation sequencing data will also be presented.","search and retrieve sequence data from biological databases; describe the algorithms of commonly used methods for pairwise and multiple alignments, BLAST database search, phylogenetic trees construction, and gene prediction; apply the techniques of sequence analysis in various biological context; interpret results from sequence alignments, BLAST database searches, and phylogenetic trees construction; carry out basic analysis of next generation sequencing data"
84,BIOC3606,Molecular medicine,"This course covers cell signaling in relation to human diseases, molecular basis of cancer and viral diseases, and molecular therapeutics. Specific topics may include cell signaling, mouse model of human diseases, oncogenes and tumour suppressor genes, genome instability, HIV science, genetics and pathogenesis of influenza viruses, molecular approaches to vaccine development, immune checkpoint therapy, stem cells and stem cell therapy, gene therapy, and nucleic acid therapeutics. Basic knowledge of biochemistry and molecular cell biology is assumed for students taking this course. To provide up-to-date knowledge of the molecular and cellular basis of selected human diseases including cancer and infection with HIV and influenza viruses, thereby preparing the students for a career in biomedical, biotechnological, pharmaceutical and genomic research.","explain the molecular mechanisms underlying selected human diseases including cancer and emerging infections; illustrate the application of molecular biology in medicine with examples; apply biochemical, molecular and cell biological, genetic, immunological as well as microbiological principles and methods to solve new medical problems; interpret and communicate new results about molecular aspects of medicine in the literature to a wider audience in the community; integrate and translate knowledge in molecular biology to new approaches in disease prevention and intervention"
85,BIOC3999,Directed studies in biochemistry,The student undertakes a self-managed study on a topic in biochemistry under the supervision of a staff member.  The topic is preferably one not sufficiently covered in the regular curriculum.  The directed study can be a critical review or a synthesis of published work on the subject.  A laboratory or field study may also be involved that would enhance the student's understanding of the subject. To enhance students knowledge of a particular topic and the students self-directed learning and critical thinking skills.,critically appraise research literature in a specific area of biochemistry and molecular biology; examine the theoretical or experimental basis for existing concepts; identify questions and evaluate issues for further research development; interpret scientific data in original research articles and communicate using appropriate scientific language
86,BIOC4610,Advanced biochemistry,"A. Inter and intracellular signal transduction mechanismsCell-surface receptors and signal transduction proteins; G-Protein-coupled receptors: structure and mechanism; signaling pathways that control gene expression: receptors that activate protein tyrosine kinases, the Ras/MAP kinase pathway, phosphoinositide signaling pathways and receptor serine kinases that activate SmadsB. Cytoskeleton as target of signal transductionThe microtubule cytoskeleton; kinesin and dynein motor; the actin cytoskeleton; myosin; the intermediate filament; cytoskeletion and cell behavior; cytoskeleton and intracellular transport in neuron C. Protein trafficking and sorting pathwaysTranslocation of secretory proteins - insertion into the ER; major protein sorting pathways; protein modification, folding and quality control in the ER; molecular mechanism of vesicular traffic; protein sorting and processingD. Cell-cell and cell-matrix adhesionCell-cell and cell-extracellular matrix (ECM) junctions and their adhesion molecules; cadherins and integrins; collagens and proteoglycans; when cell meets the matrix; regulation of signaling molecules by ECM This course aims at providing students an in-depth understanding of molecular and cellular signaling in multicellular organisms. This course is particularly useful for students interested in research or intending to develop a career in biomedical sciences.",describe and explain the molecular and cellular signal transduction mechanisms that mediate cellular communication to achieve a plethora of cellular responses in multicellular organisms; apply knowledge in molecular cell biology to analyze new findings and to design further experiments; interpret data in research articles/problem-solving questions and communicate using appropriate scientific language; work effectively with classmates in tutorial classes
87,BIOC4612,Molecular biology of the gene,"This is a comprehensive course covering many detailed molecular aspects of gene regulation and gene function.  Through this course an understanding of how gene expression can be regulated at levels of transcription and post transcription will be gained. To provide an up-to-date knowledge of molecular biology, especially with respect to the regulation of eukaryotic gene expression.","describe the mechanisms for regulation of transcription, RNA processing and translation in eukaryotes; explain how cellular homeostasis can be maintained by a combination of controls of gene expression at multiple levels; illustrate the hierarchy of gene expression regulation in stem cells and developmental processes; interpret experimental results in gene regulation studies; work effectively with classmates in tutorial classes"
88,BIOC4613,Advanced techniques in biochemistry & molecular biology,"Hands-on experiments using advanced techniques in biochemistry, molecular and cell biology, and bioinformatics.  Students will also have the opportunity to familiarize themselves with modern instruments used in life sciences. This is an advanced experimental-based course for students majoring in Biochemistry and related disciplines.  The aim is to provide the necessary training for students to pursuit postgraduate research education and potential employment in a scientific laboratory/industry environment.",explain the basic principles of current advanced techniques commonly used in biochemistry and molecular biology; apply and perform these techniques in other novel experimental settings; critically evaluate experimental data and design alternative approaches to test or validate hypotheses; collaborate with team members to complete laboratory experiments; document laboratory work and data using a laboratory notebook following standard practices in research laboratories
89,BIOC4966,Biochemistry internship,"1. Within the university: The student will be supervised by a staff member (Supervisor), working on a project or various tasks as instructed by the Supervisor.2. Outside the university: The student will work in an external agency related to the major of study. The student will be supervised under a staff member of the external agency (the External Supervisor) and a staff member of the Department/School of the student (the Internal Supervisor). This course aims to offer students the opportunities to gain work experience in the industry related to their major of study.  The workplace learning experience would be of great benefit to the students to apply their knowledge gained in the study to the real work environments.  Students have to take on at least 160 hours of internship work either within the University or outside the University arranged by the School/Departments.",recognize the strengths and limitations of their area of training or expertise; acquire problem-solving skills to solve novel and ill-defined problems; work effectively with colleagues in laboratories or other real world environments; examine the role of science in our society
90,BIOC4999,Biochemistry project,"Project-related topics in biochemistry, cell, molecular and developmental biology.Experimental methods in protein and nucleic acid biochemistry; bioinformatics and cell biology.Critical appraisal of current science literatureFormulation of research questionsDesign of experiments.Data analysis and interpretation.Scientific writing To enable students to acquire the basic skills in scientific research emphasizing on critical and analytical reasoning, free and creative thinking, scholarly communication (both orally and in writing), research integrity, teamwork and time management.  The course is particularly useful for those students who intend to pursue a career in life science either in research or industry.",describe recent research development in a defined area of biochemistry and molecular biology; formulate research questions and design experiments to address these questions; apply appropriate experimental techniques to solve research problems; manage and interpret experimental results; develop scientific writing skills and logically report their research findings
91,BIOL3404,Protein structure and function,"Elements of macromolecular structure: sequencing, prediction and determination of secondary, tertiary and quaternary structures;The relationship of protein structure and function: molecular motifs,binding and recognition, enzyme catalysis and specificity;Methods for protein structure determination: X-ray crystallography, nuclear magnetic resonance and cryo electron microscopy;How protein works: protein flexibility and dynamics, protein interaction, protein complex, and control of protein function;Protein purification and characterization: various liquid chromatographical methods and their uses in combination, separation techniques, methods of determination of molecular mass, activity and purity, optical methods in protein determination, ultracentrifugation, protein polishing, stability and storage, methods and devices for protein delivery. To provide students with a good understanding of protein structure, how structure subserves function, and the methods for study of both. This course provides a strong foundation for advanced courses in biochemistry and biotechnology.",fundamental understanding of principles of protein structure; demonstrate a basic understanding of the relationship between protein structure and function; have a basic understanding of major methods for macromolecular structure determination; understand the principles regulating protein function in vivo; learn about the ways to purify protein and the many industrial uses of proteins
