,user_email,user_level_index,user_query,result,rating,precision_count,chatbox_sex,recommender_rec_type,actual_string
0,sudairi,1,courses computer AI,"['COMP2396B: Object-oriented Programming and Java', 'COMP2396A: Object-oriented Programming and Java (CS)', 'COMP3270A: Artificial Intelligence', 'COMP3270B: Artificial Intelligence', 'COMP2120A: Computer Organization (CS)']",5.0,5.0,male,course,courses computer AI; ; 
92,0100,1,physiology,"['BIOL1110: From molecules to cells', 'BIOL3508: Microbial physiology and biotechnology', 'BIOC2600: Basic biochemistry', 'CHEM4444: Chemical biology', 'BIOL3506: Evolutionary biology']",4.0,3.0,female,course,physiology; ; 
93,0101,1,I want to make biotechnological applications,"['BIOL4415: Healthcare biotechnology', 'ENTR3001: Science-based innovation development', 'BIOL3508: Microbial physiology and biotechnology', 'BIOL4205: Food technology', 'ENTR3002: Customer analysis and strategic marketing']",4.0,3.0,male,course,I want to make biotechnological applications; ; 
94,0102,1,want to be a quantitative analyst,"['EASC4999: Earth sciences project', 'ENTR3002: Customer analysis and strategic marketing', 'CHEM4242: Analytical chemistry', 'BIOL3209: Food and nutrient analysis', 'EASC3999: Directed studies in earth sciences']",1.0,0.0,female,course,want to be a quantitative analyst; ; 
95,0103,1,time series analysis,"['STAT3617: Sample survey methods', 'APAI3021: Modern biostatistics', 'STAT3021: Modern biostatistics', 'STAT4609: Big data analytics', 'STAT2604: Introduction to R/Python programming and elementary data analysis']",1.0,0.0,female,course,time series analysis; ; 
96,0104,1,credit analyst ,"['STAT4903: Actuarial techniques for general insurance', 'STAT3618: Derivatives and risk management', 'STAT3615: Practical mathematics for investment', 'STAT2902: Financial mathematics', 'STAT4603: Current topics in risk management']",4.0,3.0,male,course,credit analyst ; ; 
97,0106,1,I want to learn fundamental physics,"['PHYS1240: Physics by inquiry', 'SCNC1112: Fundamentals of modern science', 'ENVS1301: Environmental life science', 'PHYS2150: Methods in physics I', 'MATH3541: Introduction to topology']",5.0,3.0,female,course,I want to learn fundamental physics; ; 
98,0107,1,I want to do physics research and project,"['EASC4999: Earth sciences project', 'CHEM4910: Chemistry literacy and research', 'ENVS4999: Environmental science project', 'CHEM4999: Chemistry project', 'SCNC1112: Fundamentals of modern science']",1.0,0.0,female,course,I want to do physics research and project; ; 
99,0108,1,knowledge of statistics,"['STAT4609: Big data analytics', 'APAI3021: Modern biostatistics', 'STAT3021: Modern biostatistics', 'STAT4798: Statistics and actuarial science project', 'FITE3010: Big Data and Data Mining']",3.0,3.0,male,course,knowledge of statistics; ; 
100,0109,1,I want to learn applied statistical concepts and models,"['APAI3021: Modern biostatistics', 'STAT3021: Modern biostatistics', 'COMP2121A: Discrete Mathematics (CS)', 'COMP2121C: Discrete Mathematics (CS, CE, IS, 2nd Major)', 'COMP2121B: Discrete Mathematics (CS, CE, IS)']",1.0,0.0,female,course,I want to learn applied statistical concepts and models; ; 
101,0110,1,small scale particle physics,"['PHYS4655: Interstellar medium', 'CHEM4542: Computational chemistry', 'PHYS3850: Physical Optics', 'CHEM4142: Symmetry, group theory and applications', 'CHEM4241: Modern chemical instrumentation and applications']",4.0,2.0,male,course,small scale particle physics; ; 
102,0111,1,I’m interested in biological sciences. Which course should I take?,"['BIOL4964: Biological sciences internship', 'BIOL3994: Directed studies in biological sciences', 'BIOL4963: Molecular biology & biotechnology internship', 'ENVS1301: Environmental life science', 'SCNC1112: Fundamentals of modern science']",4.0,3.0,female,course,I’m interested in biological sciences. Which course should I take?; ; 
103,0112,1,life science,"['SCNC1112: Fundamentals of modern science', 'ENVS1301: Environmental life science', 'BIOL3994: Directed studies in biological sciences', 'PHYS1055: How things work', 'BIOL4962: Food & nutritional science internship']",3.0,2.0,male,course,life science; ; 
104,0113,1,learn things related to risk identification,"['STAT4603: Current topics in risk management', 'ENTR3001: Science-based innovation development', 'STAT4798: Statistics and actuarial science project', 'BIOL3204: Nutrition and the life cycle', 'ENVS2001: Methods in environmental science']",4.0,2.0,female,course,learn things related to risk identification; ; 
105,0114,1,I like to learn biofuels as alternative energy sources!,"['ENVS3010: Sustainable energy and environment', 'ENVS1401: Introduction to environmental science', 'ENVS1301: Environmental life science', 'BIOL3303: Conservation biology', 'ENTR3001: Science-based innovation development']",5.0,4.0,female,course,I like to learn biofuels as alternative energy sources!; ; 
106,0115,1,I’m interested in risk management,"['STAT4603: Current topics in risk management', 'ENTR3001: Science-based innovation development', 'STAT3906: Risk theory I', 'STAT4798: Statistics and actuarial science project', 'STAT3615: Practical mathematics for investment']",4.0,3.0,female,course,I’m interested in risk management; ; 
107,0116,1,cosmology,"['SCNC1112: Fundamentals of modern science', 'PHYS4655: Interstellar medium', 'CHEM4142: Symmetry, group theory and applications', 'CHEM4542: Computational chemistry', 'PHYS1240: Physics by inquiry']",2.0,2.0,male,course,cosmology; ; 
108,0117,1,curious about astrophysics,"['SCNC1112: Fundamentals of modern science', 'PHYS4655: Interstellar medium', 'CHEM4542: Computational chemistry', 'PHYS1240: Physics by inquiry', 'PHYS3850: Physical Optics']",4.0,4.0,male,course,curious about astrophysics; ; 
109,0119,1,risk analytics skills,"['STAT4609: Big data analytics', 'STAT4603: Current topics in risk management', 'COMP3314A: Machine Learning', 'COMP3314B: Machine Learning', 'COMP3314C: Machine Learning']",2.0,1.0,male,course,risk analytics skills; ; 
110,0120,1,molecular and cell biology,"['CHEM4444: Chemical biology', 'BIOL4416: Stem cells and regenerative biology', 'BIOC2600: Basic biochemistry', 'BIOL1110: From molecules to cells', 'BIOL2220: Principles of biochemistry']",4.0,3.0,male,course,molecular and cell biology; ; 
111,0121,1,"I want to learn about agriculture production, fisheries and aquaculture, biomedical research and pharmaceutical purposes","['BIOL4415: Healthcare biotechnology', 'BIOL3303: Conservation biology', 'BIOL3508: Microbial physiology and biotechnology', 'BIOL3608: Food commodities', 'BIOL4205: Food technology']",3.0,2.0,female,course,"I want to learn about agriculture production, fisheries and aquaculture, biomedical research and pharmaceutical purposes; ; "
