,user_email,actual_string,result,rating
386,85,"I am majoring in biological science. I want to have some working experience in this field, which course should I take?",PHYS1650: Nature of the universe,1
387,85,"I am majoring in biological science. I want to have some working experience in this field, which course should I take?",PHYS1240: Physics by inquiry,1
388,85,"I am majoring in biological science. I want to have some working experience in this field, which course should I take?",PHYS1150: Problem solving in physics,1
389,85,"I am majoring in biological science. I want to have some working experience in this field, which course should I take?","PHYS1056: Weather, climate and climate change",1
390,86,Fundamentals science and fundamentals chemistry courses,MATH1009: Basic mathematics for business and economics,1
391,86,Fundamentals science and fundamentals chemistry courses,SCNC1112: Fundamentals of modern science,5
392,86,Fundamentals science and fundamentals chemistry courses,PHYS1240: Physics by inquiry,1
393,86,Fundamentals science and fundamentals chemistry courses,ENVS1301: Environmental life science,2
394,86,Fundamentals science and fundamentals chemistry courses,CHEM2442: Fundamentals of organic chemistry,5
395,87,environmental chemistry,ENVS1301: Environmental life science,2
396,87,environmental chemistry,CHEM4444: Chemical biology,3
397,87,environmental chemistry,CHEM2442: Fundamentals of organic chemistry,3
398,87,environmental chemistry,BIOL3109: Environmental and molecular ecology,4
399,87,environmental chemistry,CHEM4341: Advanced inorganic chemistry,3
400,88,learn chemistry with computer,PHYS3151: Machine learning in physics,1
401,88,learn chemistry with computer,BIOL4963: Molecular biology & biotechnology internship,1
402,88,learn chemistry with computer,"COMP2120B: Computer Organization (IS, 2nd Major)",1
403,88,learn chemistry with computer,COMP2120A: Computer Organization (CS),1
404,88,learn chemistry with computer,CHEM4444: Chemical biology,3
405,89,I want to learn some programming skills for my Decision Analytics degree.,ENTR2001: Professional and leadership development,1
406,89,I want to learn some programming skills for my Decision Analytics degree.,STAT4609: Big data analytics,3
407,89,I want to learn some programming skills for my Decision Analytics degree.,PHYS3151: Machine learning in physics,1
408,89,I want to learn some programming skills for my Decision Analytics degree.,COMP2396B: Object-oriented Programming and Java,3
409,89,I want to learn some programming skills for my Decision Analytics degree.,COMP2396A: Object-oriented Programming and Java (CS),3
410,90,courses related to computer graphic and data visualization,STAT3622: Data visualization,5
411,90,courses related to computer graphic and data visualization,STAT2604: Introduction to R/Python programming and elementary data analysis,3
412,90,courses related to computer graphic and data visualization,FITE3010: Big Data and Data Mining,3
413,90,courses related to computer graphic and data visualization,STAT4609: Big data analytics,3
414,90,courses related to computer graphic and data visualization,COMP3314C: Machine Learning,3
415,91,Earth system science major student want to take courses related to data analysis and modeling,ENVS2001: Methods in environmental science,1
416,91,Earth system science major student want to take courses related to data analysis and modeling,FITE3010: Big Data and Data Mining,1
417,91,Earth system science major student want to take courses related to data analysis and modeling,BIOL4964: Biological sciences internship,1
418,91,Earth system science major student want to take courses related to data analysis and modeling,ENVS4999: Environmental science project,1
419,91,Earth system science major student want to take courses related to data analysis and modeling,STAT4609: Big data analytics,1
420,92,atmosphere,EASC2404: Introduction to atmosphere and hydrosphere,5
421,92,atmosphere,EASC1401: Blue Planet,5
422,92,atmosphere,PHYS4655: Interstellar medium,1
423,92,atmosphere,EASC1020: Introduction to climate science,5
424,92,atmosphere,ENVS3313: Environmental oceanography,3
425,93,interested in biodiversity and animals,BIOL3303: Conservation biology,3
426,93,interested in biodiversity and animals,ENVS1301: Environmental life science,3
427,93,interested in biodiversity and animals,BIOL4861: Ecology & biodiversity internship,5
428,93,interested in biodiversity and animals,ENVS3020: Global change ecology,3
429,93,interested in biodiversity and animals,BIOL3109: Environmental and molecular ecology,3
430,94,"i want to learn about minerals and natural resources, also quite interested in rocks and the chemistry behind.",EASC1401: Blue Planet,1
431,94,"i want to learn about minerals and natural resources, also quite interested in rocks and the chemistry behind.",CHEM4341: Advanced inorganic chemistry,1
432,94,"i want to learn about minerals and natural resources, also quite interested in rocks and the chemistry behind.",ENVS1401: Introduction to environmental science,1
433,94,"i want to learn about minerals and natural resources, also quite interested in rocks and the chemistry behind.",ENVS1301: Environmental life science,1
434,94,"i want to learn about minerals and natural resources, also quite interested in rocks and the chemistry behind.",EASC2404: Introduction to atmosphere and hydrosphere,2
435,95,I want to learn environmental toxicology and protection.,ENVS1301: Environmental life science,1
436,95,I want to learn environmental toxicology and protection.,BIOL3303: Conservation biology,1
437,95,I want to learn environmental toxicology and protection.,ENVS1401: Introduction to environmental science,1
438,95,I want to learn environmental toxicology and protection.,CHEM3242: Food and water analysis,1
439,95,I want to learn environmental toxicology and protection.,BIOL4861: Ecology & biodiversity internship,1
440,96,"climate change, air pollution, ecology",ENVS3020: Global change ecology,5
441,96,"climate change, air pollution, ecology",EASC1020: Introduction to climate science,5
442,96,"climate change, air pollution, ecology",ENVS1301: Environmental life science,3
443,96,"climate change, air pollution, ecology",BIOL3303: Conservation biology,5
444,96,"climate change, air pollution, ecology",ENVS3313: Environmental oceanography,5
445,97,learn about living organisms and the environment,ENVS1301: Environmental life science,5
446,97,learn about living organisms and the environment,BIOL3508: Microbial physiology and biotechnology,2
447,97,learn about living organisms and the environment,BIOL3109: Environmental and molecular ecology,4
448,97,learn about living organisms and the environment,ENVS3020: Global change ecology,5
449,97,learn about living organisms and the environment,EASC1401: Blue Planet,4
450,98,"carbohydrates, protein , fat, how do they affect the body?",BIOL2220: Principles of biochemistry,3
451,98,"carbohydrates, protein , fat, how do they affect the body?",BIOC2600: Basic biochemistry,3
452,98,"carbohydrates, protein , fat, how do they affect the body?",BIOL1110: From molecules to cells,3
453,98,"carbohydrates, protein , fat, how do they affect the body?",BIOL4416: Stem cells and regenerative biology,2
454,98,"carbohydrates, protein , fat, how do they affect the body?",BIOL4209: Functional foods,5
455,99,"quality control over food, waste management",CHEM3242: Food and water analysis,5
456,99,"quality control over food, waste management",BIOL4205: Food technology,3
457,99,"quality control over food, waste management",BIOL1201: Introduction to food and nutrition,3
458,99,"quality control over food, waste management",BIOL3608: Food commodities,4
459,99,"quality control over food, waste management",BIOL3203: Food microbiology,3
460,100,physiology,BIOL1110: From molecules to cells,4
461,100,physiology,BIOL3508: Microbial physiology and biotechnology,5
462,100,physiology,BIOC2600: Basic biochemistry,3
463,100,physiology,CHEM4444: Chemical biology,3
464,100,physiology,BIOL3506: Evolutionary biology,2
465,101,I want to make biotechnological applications,BIOL4415: Healthcare biotechnology,3
466,101,I want to make biotechnological applications,ENTR3001: Science-based innovation development,5
467,101,I want to make biotechnological applications,BIOL3508: Microbial physiology and biotechnology,5
468,101,I want to make biotechnological applications,BIOL4205: Food technology,2
469,101,I want to make biotechnological applications,ENTR3002: Customer analysis and strategic marketing,4
470,102,want to be a quantitative analyst,EASC4999: Earth sciences project,1
471,102,want to be a quantitative analyst,ENTR3002: Customer analysis and strategic marketing,1
472,102,want to be a quantitative analyst,CHEM4242: Analytical chemistry,1
473,102,want to be a quantitative analyst,BIOL3209: Food and nutrient analysis,1
474,102,want to be a quantitative analyst,EASC3999: Directed studies in earth sciences,1
475,103,time series analysis,STAT3617: Sample survey methods,1
476,103,time series analysis,APAI3021: Modern biostatistics,1
477,103,time series analysis,STAT3021: Modern biostatistics,1
478,103,time series analysis,STAT4609: Big data analytics,2
479,103,time series analysis,STAT2604: Introduction to R/Python programming and elementary data analysis,3
480,104,credit analyst,STAT4903: Actuarial techniques for general insurance,2
481,104,credit analyst,STAT3618: Derivatives and risk management,5
482,104,credit analyst,STAT3615: Practical mathematics for investment,5
483,104,credit analyst,STAT2902: Financial mathematics,2
484,104,credit analyst,STAT4603: Current topics in risk management,3
485,106,I want to learn fundamental physics,PHYS1240: Physics by inquiry,4
486,106,I want to learn fundamental physics,SCNC1112: Fundamentals of modern science,5
487,106,I want to learn fundamental physics,ENVS1301: Environmental life science,1
488,106,I want to learn fundamental physics,PHYS2150: Methods in physics I,5
489,106,I want to learn fundamental physics,MATH3541: Introduction to topology,3
490,107,I want to do physics research and project,EASC4999: Earth sciences project,1
491,107,I want to do physics research and project,CHEM4910: Chemistry literacy and research,1
492,107,I want to do physics research and project,ENVS4999: Environmental science project,1
493,107,I want to do physics research and project,CHEM4999: Chemistry project,1
494,107,I want to do physics research and project,SCNC1112: Fundamentals of modern science,2
495,108,knowledge of statistics,STAT4609: Big data analytics,4
496,108,knowledge of statistics,APAI3021: Modern biostatistics,3
497,108,knowledge of statistics,STAT3021: Modern biostatistics,3
498,108,knowledge of statistics,STAT4798: Statistics and actuarial science project,4
499,108,knowledge of statistics,FITE3010: Big Data and Data Mining,2
500,109,I want to learn applied statistical concepts and models,APAI3021: Modern biostatistics,1
501,109,I want to learn applied statistical concepts and models,STAT3021: Modern biostatistics,1
502,109,I want to learn applied statistical concepts and models,COMP2121A: Discrete Mathematics (CS),1
503,109,I want to learn applied statistical concepts and models,"COMP2121C: Discrete Mathematics (CS, CE, IS, 2nd Major)",1
504,109,I want to learn applied statistical concepts and models,"COMP2121B: Discrete Mathematics (CS, CE, IS)",1
505,110,small scale particle physics,PHYS4655: Interstellar medium,3
506,110,small scale particle physics,CHEM4542: Computational chemistry,1
507,110,small scale particle physics,PHYS3850: Physical Optics,2
508,110,small scale particle physics,"CHEM4142: Symmetry, group theory and applications",1
509,110,small scale particle physics,CHEM4241: Modern chemical instrumentation and applications,1
510,111,I’m interested in biological sciences. Which course should I take?,BIOL4964: Biological sciences internship,4
511,111,I’m interested in biological sciences. Which course should I take?,BIOL3994: Directed studies in biological sciences,4
512,111,I’m interested in biological sciences. Which course should I take?,BIOL4963: Molecular biology & biotechnology internship,3
513,111,I’m interested in biological sciences. Which course should I take?,ENVS1301: Environmental life science,2
514,111,I’m interested in biological sciences. Which course should I take?,SCNC1112: Fundamentals of modern science,4
515,112,life science,SCNC1112: Fundamentals of modern science,3
516,112,life science,ENVS1301: Environmental life science,5
517,112,life science,BIOL3994: Directed studies in biological sciences,3
518,112,life science,PHYS1055: How things work,3
519,112,life science,BIOL4962: Food & nutritional science internship,3
520,113,learn things related to risk identification,STAT4603: Current topics in risk management,4
521,113,learn things related to risk identification,ENTR3001: Science-based innovation development,1
522,113,learn things related to risk identification,STAT4798: Statistics and actuarial science project,3
523,113,learn things related to risk identification,BIOL3204: Nutrition and the life cycle,1
524,113,learn things related to risk identification,ENVS2001: Methods in environmental science,1
525,114,I like to learn biofuels as alternative energy sources!,ENVS3010: Sustainable energy and environment,5
526,114,I like to learn biofuels as alternative energy sources!,ENVS1401: Introduction to environmental science,5
527,114,I like to learn biofuels as alternative energy sources!,ENVS1301: Environmental life science,5
528,114,I like to learn biofuels as alternative energy sources!,BIOL3303: Conservation biology,5
529,114,I like to learn biofuels as alternative energy sources!,ENTR3001: Science-based innovation development,3
530,115,I’m interested in risk management,STAT4603: Current topics in risk management,5
531,115,I’m interested in risk management,ENTR3001: Science-based innovation development,3
532,115,I’m interested in risk management,STAT3906: Risk theory I,5
533,115,I’m interested in risk management,STAT4798: Statistics and actuarial science project,4
534,115,I’m interested in risk management,STAT3615: Practical mathematics for investment,5
535,116,cosmology,SCNC1112: Fundamentals of modern science,3
536,116,cosmology,PHYS4655: Interstellar medium,5
537,116,cosmology,"CHEM4142: Symmetry, group theory and applications",3
538,116,cosmology,CHEM4542: Computational chemistry,2
539,116,cosmology,PHYS1240: Physics by inquiry,2
540,117,curious about astrophysics,SCNC1112: Fundamentals of modern science,4
541,117,curious about astrophysics,PHYS4655: Interstellar medium,5
542,117,curious about astrophysics,CHEM4542: Computational chemistry,4
543,117,curious about astrophysics,PHYS1240: Physics by inquiry,4
544,117,curious about astrophysics,PHYS3850: Physical Optics,1
545,119,risk analytics skills,STAT4609: Big data analytics,4
546,119,risk analytics skills,STAT4603: Current topics in risk management,5
547,119,risk analytics skills,COMP3314A: Machine Learning,2
548,119,risk analytics skills,COMP3314B: Machine Learning,2
549,119,risk analytics skills,COMP3314C: Machine Learning,2
550,120,molecular and cell biology,CHEM4444: Chemical biology,2
551,120,molecular and cell biology,BIOL4416: Stem cells and regenerative biology,5
552,120,molecular and cell biology,BIOC2600: Basic biochemistry,5
553,120,molecular and cell biology,BIOL1110: From molecules to cells,5
554,120,molecular and cell biology,BIOL2220: Principles of biochemistry,2
555,121,"I want to learn about agriculture production, fisheries and aquaculture, biomedical research and pharmaceutical purposes",BIOL4415: Healthcare biotechnology,4
556,121,"I want to learn about agriculture production, fisheries and aquaculture, biomedical research and pharmaceutical purposes",BIOL3303: Conservation biology,2
557,121,"I want to learn about agriculture production, fisheries and aquaculture, biomedical research and pharmaceutical purposes",BIOL3508: Microbial physiology and biotechnology,2
558,121,"I want to learn about agriculture production, fisheries and aquaculture, biomedical research and pharmaceutical purposes",BIOL3608: Food commodities,4
559,121,"I want to learn about agriculture production, fisheries and aquaculture, biomedical research and pharmaceutical purposes",BIOL4205: Food technology,4
