,Course Title,Course Description,Subject Domain,Course Code
133,Physical Chemistry I,"Lectures and problems focusing on microscopic properties. CHEM 442 and CHEM 444 constitute a year-long study of chemical principles. CHEM 442 focuses on quantum chemistry, atomic and molecular structure, spectroscopy and dynamics. 4 undergraduate hours. 4 graduate hours. Credit is not given for both CHEM 442 and PHYS 485. Prerequisite: CHEM 204 or CHEM 222; MATH 225, 257, or 415, and a minimal knowledge of differential equations, or equivalent; and PHYS 211, PHYS 212, and PHYS 214 or equivalent.",Chemistry,CHEM442
134,Physical Chemistry II,"Continuation of CHEM 442, focusing on thermodynamics, statistical mechanics and kinetics from single molecules to the bulk, in gases and in the condensed phase. 4 undergraduate hours. 4 graduate hours. Credit is not given for CHEM 444 and MSE 401 or PHYS 427. Prerequisite: CHEM 442.",Chemistry,CHEM444
135,Physical Principles Lab I,"Laboratory course featuring experiments of interest to chemists and biochemists. Examples of experiments may include, but are not limited to, electron paramagnetic resonance (EPR) spectroscopy; Fourier-transform infrared (FT-IR) spectroscopy; X-ray diffraction; differential scanning calorimetry (DSC); 1D and 2D Fourier-transform nuclear magnetic resonance (FT-NMR) spectroscopy; and computational quantum chemistry (QM). This course provides hands-on experience with instrumental and computational techniques that are frequently used in both industrial and academic research and will be of interest to students proposing to carry out work in any area of chemistry and in related disciplines. 2 undergraduate hours. 2 graduate hours. Prerequisite: Credit for or concurrent registration in CHEM 440, CHEM 442 or CHEM 472 (same as BIOC 446 or MCB 446) or consent of instructor.",Chemistry,CHEM445
136,Physical Principles Lab II,"Laboratory course featuring experiments of interest to chemists and biochemists. Examples of experiments may include, but are not limited to, molecular mechanics/molecular dynamics (MM/MD) simulations of proteins; Raman spectroscopy; low-energy electron diffraction (LEED); bomb calorimetry; nuclear magnetic resonance imaging (MRI), and enzyme kinetics and inhibition. This course provides hands-on experience with instrumental and computational techniques that are frequently used in both industrial and academic research and will be of interest to students proposing to carry out work in any area of chemistry and in related disciplines. 2 undergraduate hours. 2 graduate hours. Prerequisite: Credit for or concurrent registration in CHEM 440 or CHEM 442 or consent of instructor.",Chemistry,CHEM447
137,Physical Biochemistry,Same as MCB 446 and BIOC 446. See BIOC 446.,Chemistry,CHEM472
138,Drug Discovery &amp; Development,"Lecture course on fundamentals of drug discovery and development. Topics include case studies of top-selling, mechanistically diverse drugs, chemistry of drug contraindications, structural biology of drug targets, mechanisms of drug resistance, and drug metabolism and toxicity. 3 undergraduate hours. 3 graduate hours. Prerequisite: CHEM 332 or CHEM 436; and MCB 354 or MCB 450, or consent of instructor.",Chemistry,CHEM474
139,Polymer Physics,Same as MSE 458. See MSE 458.,Chemistry,CHEM482
140,Special Topics in Chemistry,Open to advanced undergraduates and graduate students. Deals with subjects not ordinarily covered by regularly scheduled courses. 1 to 3 undergraduate hours. 1 to 3 graduate hours. Approved for letter and S/U grading. Prerequisite: Credit or concurrent registration in any 400-level course in chemistry.,Chemistry,CHEM492
141,Lab Safety Fundamentals,Same as MSE 492. See MSE 492.,Chemistry,CHEM494
142,Individual Study Senior,"Individual study of problems related to chemistry or research not necessarily leading to a senior thesis.  to 3 undergraduate hours. No graduate credit. May be repeated in separate terms. A maximum of 6 hours may be used toward the major. A maximum of 18 hours of CHEM 197, CHEM 297, CHEM 397, CHEM 497 and/or CHEM 499 may be used toward the degree. Prerequisite: Chemistry faculty approval required to register.",Chemistry,CHEM497
143,Senior Thesis,"Research with thesis, under the direction of a senior staff member in chemistry. Normally the student takes two terms of CHEM 499 in the senior year. 2 to 6 undergraduate hours. No graduate credit. May be repeated up to 10 hours in separate terms. CHEM 499 is recommended for all those who plan to do research and graduate study and it is a prerequisite for graduation with distinction in chemistry. In the term preceding their initial enrollment, those interested in taking the course should consult with their advisers and with the graduate adviser for the area of interest in which they plan to work. A maximum of 10 hours may be counted toward graduation and a thesis must be presented for credit to be received.",Chemistry,CHEM499
144,Inorganic Chemistry Seminar,Required of all Chemistry graduate students whose area is inorganic chemistry. Prerequisite: Enrollment is allowed only by second-year graduate students who are presenting their Ph.D. literature seminar during that semester. Undergraduate students are not eligible to enroll in this course.,Chemistry,CHEM515
145,Physical Inorganic Chemistry,"Includes group theory and use of physical methods to provide information about the geometry, electronic structures, and reactivity of inorganic compounds in solution; emphasizes NMR and ESR. Prerequisite: CHEM 444.",Chemistry,CHEM516
146,Advanced Inorganic Chem Lab,Specialized laboratory techniques; more difficult inorganic syntheses. Prerequisite: Credit or concurrent registration in one of the lecture courses in inorganic chemistry in the  500 series.,Chemistry,CHEM517
147,Electrochemical Methods,Structure of the metal solution interface. Electrochemical and physical methods for probing metal/solution interface. Electroanalysis. Principles of electrochemical instrumentation for electroanalysis. Electrode materials. Electrochemical surface science and electrocatalysis. Prerequisite: General physics and chemistry equivalent to a major for a bachelor's degree.,Chemistry,CHEM524
148,Analytical Chemistry Seminar,Required of all Chemistry graduate students whose area is analytical chemistry. Prerequisite: Enrollment is allowed only by second-year graduate students who are presenting their Ph.D. literature seminar during that semester. Undergraduate students are not eligible to enroll in this course.,Chemistry,CHEM525
149,Structure and Spectroscopy,"Advanced survey of structure determination in organic chemistry with emphasis on NMR, IR, UV and mass spectroscopy. Prerequisite: CHEM 332 or CHEM 436.",Chemistry,CHEM530
150,Organic Chemistry Seminar,Required of all Chemistry graduate students whose area is organic chemistry. Prerequisite: Enrollment is allowed only by second-year graduate students who are presenting their Ph.D. literature seminar during that semester. Undergraduate students are not eligible to enroll in this course.,Chemistry,CHEM535
151,Topics in Organic Chemistry,"Advanced course dealing with subject matter not ordinarily covered by regularly scheduled courses, such as natural product synthesis and biosynthesis, organic photochemistry, chemistry of special families of organic compounds, etc. May be repeated. Prerequisite: CHEM 532 and CHEM 534, both of which may be taken concurrently.",Chemistry,CHEM538
152,Quantum Mech and Spectroscopy,"Continuation of CHEM 540. Focusing on molecular spectroscopy, nonlinear spectroscopy, kinetics and application of quantum mechanics to dissipative systems. Prerequisite: CHEM 540.",Chemistry,CHEM542
153,Physical Chemistry Seminar,Required of all Chemistry graduate students whose area is physical chemistry. Prerequisite: Enrollment is allowed only by second-year graduate students who are presenting their Ph.D. literature seminar during that semester. Undergraduate students are not eligible to enroll in this course.,Chemistry,CHEM545
154,Advanced Quantum Dynamics,"The quantum mechanical and semi-classical description of time-dependent processes, including discussions of the time-dependent Schrodinger equation, approximations, interaction of matter with radiation, wave packets, elastic and inelastic scattering, and relaxation phenomena. Prerequisite: Concurrent registration in CHEM 540 or consent of instructor.",Chemistry,CHEM550
155,Chemical Biology Seminar,Required of all Chemistry graduate students whose area is chemical biology. Prerequisite: Enrollment is allowed only by second-year graduate students who are presenting their Ph.D. literature seminar during that semester. Undergraduate students are not eligible to enroll in this course.,Chemistry,CHEM575
156,Chemical Kinetics &amp; Catalysis,Same as CHBE 551. See CHBE 551.,Chemistry,CHEM582
157,Materials Chemistry Seminar,Required of all Chemistry graduate students whose area is materials chemistry. Prerequisite: Enrollment is allowed only by second-year graduate students who are presenting their Ph.D. literature seminar during that semester. Undergraduate students are not eligible to enroll in this course.,Chemistry,CHEM585
158,Physical Methods Mat Chem,"Includes physical techniques for characterization in materials chemistry, including thermal analysis, electron microscopy, microprobe analysis and electron spectroscopies, adsorption and surface area measurements, and X-ray powder diffraction.",Chemistry,CHEM588
159,Special Topics in Chemistry,Designed for students majoring or minoring in chemistry who wish to undertake individual studies of a non-research nature under the direction of a faculty member of the department. Approved for both letter and S/U grading. Prerequisite: Consent of instructor and written approval of department head. Staff for the course is the same as for CHEM 599.,Chemistry,CHEM590
160,Advanced Professional Development for Chemists,"Follows up on CHEM 591 and covers advanced non-technical topics to prepare graduate students for their last years of graduate study as well as their careers beyond graduate school. Topics include professional development plans, resilience in graduate school, mental health, professional behavior in a diverse work environment, recognizing strengths and weaknesses, all forms of harassment, and implicit bias. This course also continues setting the departmental expectations for appropriate professional conduct. The course is required for all Chemistry graduate students in the Spring of their third year. 1 graduate hour. No professional credit. Approved for S/U grading only. Credit does not count towards the required 20 hours of course credit required for obtaining a Ph.D. in Chemistry. Credit does not count towards earning 32 hours of course credit for the Master of Science in Chemistry without Thesis option, or the 20 hours of course credit for the Master of Science in Chemistry with Thesis option. Prerequisite: Restricted to third-year graduate students in Chemistry.",Chemistry,CHEM593
161,Thesis Research,"Candidates for the master's degree who elect research are required to present a thesis. A thesis is always required of students working toward the degree of Doctor of Philosophy. Not all candidates for thesis work necessarily are accepted. Any student whose major is in a department other than chemistry or chemical engineering must receive permission from the head of the Department of Chemistry to register in this course. Approved for S/U grading only. May be repeated in separate terms. During Summer terms, this course can only be taken for 0 to 8 hours.",Chemistry,CHEM599
162,Intro Computing: Engrg &amp; Sci,"Fundamental principles, concepts, and methods of computing, with emphasis on applications in the physical sciences and engineering. Basic problem solving and programming techniques; fundamental algorithms and data structures; use of computers in solving engineering and scientific problems. Intended for engineering and science majors. Prerequisite: One of MATH 220 or MATH 221 or MATH 231 or MATH 241.",Computer Science,CS101
163,Little Bits to Big Ideas,Same as INFO 102. See INFO 102.,Computer Science,CS102
164,Intro Computing: Non-Tech,"Computing as an essential tool of academic and professional activities. Functions and interrelationships of computer system components: hardware, systems and applications software, and networks. Widely used application packages such as spreadsheets and databases. Concepts and practice of programming for the solution of simple problems in different application areas. Intended for non-science and non-engineering majors. Prerequisite: MATH 112.",Computer Science,CS105
165,Data Science Discovery,Same as IS 107 and STAT 107. See STAT 107.,Computer Science,CS107
166,Introduction to Computer Science I,Basic concepts in computing and fundamental techniques for solving computational problems. Intended as a first course for computer science majors and others with a deep interest in computing. Credit is not given for both CS 124 and CS 125. Prerequisite: Three years of high school mathematics or MATH 112.,Computer Science,CS124
167,Software Design Studio,"Fundamental principles and techniques of software development. Design, documentation, testing, and debugging software, with a significant emphasis on code review. Credit is not given for both CS 242 and CS 126. Prerequisite: CS 125. For majors only.",Computer Science,CS126
168,Introduction to Computer Science II,Continuation of CS 124. More advanced concepts in computing and techniques and approaches for solving computational problems. Prerequisite: CS 124 or CS 125.,Computer Science,CS128
169,Discrete Structures,"Discrete mathematical structures frequently encountered in the study of Computer Science. Sets, propositions, Boolean algebra, induction, recursion, relations, functions, and graphs. Credit is not given for both CS 173 and MATH 213. Prerequisite: One of CS 124, CS 125, ECE 220; one of MATH 220, MATH 221.",Computer Science,CS173
170,Undergraduate Open Seminar in Computer Science,Topics vary. Approved for Letter and S/U grading. May be repeated.,Computer Science,CS199
171,Ethical &amp; Professional Issues,"Ethics for the computing profession. Ethical decision-making; licensing; intellectual property, freedom of information, and privacy. Credit is not given for both CS 210 and either CS 211 or ECE 316. Prerequisite: CS 225. Junior standing required.",Computer Science,CS210
172,Ethical and Professional Conduct,"Navigating the complex ethical and professional landscape of the computing professional: privacy, intellectual property, cybersecurity, and freedom of speech. Hands-on exercises, assignments, and discussions in which students analyze current events from perspectives in both philosophical and professional ethics. Writing professionally and technically in several writing assignments requiring peer review, workshops, and multiple rounds of editing and revising. Credit is not given for both CS 211 and CS 210 or ECE 316. Prerequisite: CS 225.",Computer Science,CS211
173,Software Design Lab,"Design and implementation of novel software solutions. Problem identification and definition; idea generation and evaluation; and software implementation, testing, and deployment. Emphasizes software development best practices—including framework selection, code review, documentation, appropriate library usage, project management, continuous integration and testing, and teamwork. Prerequisite: CS 128; credit or concurrent registration in CS 225. Restricted to majors in Computer Science undergraduate curricula only.",Computer Science,CS222
174,Data Structures,"Data abstractions: elementary data structures (lists, stacks, queues, and trees) and their implementation using an object-oriented programming language. Solutions to a variety of computational problems such as search on graphs and trees. Elementary analysis of algorithms. Credit is not given for CS 277 if credit for CS 225 has been earned. Prerequisite: CS 126 or CS 128 or ECE 220; One of CS 173, MATH 213, MATH 347, MATH 412 or MATH 413.",Computer Science,CS225
175,Computer Architecture,"Fundamentals of computer architecture: digital logic design, working up from the logic gate level to understand the function of a simple computer; machine-level programming to understand implementation of high-level languages; performance models of modern computer architectures to enable performance optimization of software; hardware primitives for parallelism and security. Prerequisite: CS 125 or CS 128; CS 173 or MATH 213; credit or concurrent enrollment in CS 225.",Computer Science,CS233
176,Introduction to Computer Systems,"Basics of computer systems. Number representations, assembly/machine language, abstract models of processors (fetch/execute, memory hierarchy), processes/process control, simple memory management, file I/O and directories, network programming, usage of cloud services. Prerequisite: CS 225.",Computer Science,CS240
177,System Programming,"Basics of system programming, including POSIX processes, process control, inter-process communication, synchronization, signals, simple memory management, file I/O and directories, shell programming, socket network programming, RPC programming in distributed systems, basic security mechanisms, and standard tools for systems programming such as debugging tools. Credit is not given for both CS 241 and ECE 391. Prerequisite: CS 225 and CS 233.",Computer Science,CS241
178,Modeling and Learning in Data Science,"Introduction to the use of classical approaches in data modeling and machine learning in the context of solving data-centric problems. A broad coverage of fundamental models is presented, including linear models, unsupervised learning, supervised learning, and deep learning. A significant emphasis is placed on the application of the models in Python and the interpretability of the results. Prerequisite: STAT 207; one of MATH 225, MATH 257, MATH 415, MATH 416, ASRM 406.",Computer Science,CS307
179,Numerical Methods I,"Fundamentals of numerical methods for students in science and engineering; floating-point computation, systems of linear equations, approximation of functions and integrals, the single nonlinear equation, and the numerical solution of ordinary differential equations; various applications in science and engineering; programming exercises and use of high quality mathematical library routines. Same as MATH 357. Credit is not given for CS 357 if credit for CS 450 has been earned. (Counts for advanced hours in LAS). Prerequisite: One of CS 101, CS 105, CS 124, CS 125 or ECE 220; MATH 241; one of MATH 225, MATH 257, MATH 415, MATH 416 or ASRM 406.",Computer Science,CS357
180,Probability &amp; Statistics for Computer Science,"Introduction to probability theory and statistics with applications to computer science. Topics include: visualizing datasets, summarizing data, basic descriptive statistics, conditional probability, independence, Bayes theorem, random variables, joint and conditional distributions, expectation, variance and covariance, central limit theorem. Markov inequality, Chebyshev inequality, law of large numbers, Markov chains, simulation, the PageRank algorithm, populations and sampling, sample mean, standard error, maximum likelihood estimation, Bayes estimation, hypothesis testing, confidence intervals, linear regression, principal component analysis, classification, and decision trees. Same as STAT 361. Credit is not given for both CS 361 and ECE 313. Prerequisite: MATH 220 or MATH 221; credit or concurrent registration in one of MATH 225, MATH 257, MATH 415, MATH 416 or ASRM 406. For majors only.",Computer Science,CS361
181,Introduction to Algorithms &amp; Models of Computation,"Analysis of algorithms, major paradigms of algorithm design including recursive algorithms, divide-and-conquer algorithms, dynamic programming, greedy algorithms, and graph algorithms. Formal models of computation including finite automata and Turing machines. Limitations of computation arising from fundamental notions of algorithm and from complexity-theoretic constraints. Reductions, undecidability and NP-completeness. Same as ECE 374. Prerequisite: One of CS 173, MATH 213; CS 225.",Computer Science,CS374
182,Individual Study,May be repeated. Prerequisite: Consent of instructor.,Computer Science,CS397
183,Accelerated Fundamentals of Computing II,"Provides an accelerated introduction to class-based program design and the design of abstractions that support the design of reusable software and libraries. It reviews typical object-oriented concepts such as information hiding, encapsulation, polymorphism, inheritance, composition, and common design patterns. The course will also covers exception handling, database programming, and concurrent programming. No undergraduate credit. 3 graduate hours. Prerequisite: CS 400 or consent of instructor. Current enrollment in the Illinois Computing Accelerator for Non-specialists (iCAN) program or consent of instructor. Restricted to post-baccalaureate students with a non-computing background.",Computer Science,CS402
184,Accelerated Fundamentals of Algorithms II,"The second class in a sequence of two classes that introduces students to the theoretical foundations of computer science. Topics include major paradigms of algorithm design divide and conquer, greedy, recursive, and dynamic programming; solving recurrences and analysis of divide and conquer algorithms; graph algorithms; formal models of computations like finite state automata and Turing machines; reductions. No undergraduate credit. 3 graduate hours. Prerequisite: CS 401 or consent of instructor. Current enrollment in the Illinois Computing Accelerator for Non-specialists (iCAN) program or consent of instructor. Restricted to post-baccalaureate students with a non-computing background.",Computer Science,CS403
185,Database Systems,"Examination of the logical organization of databases: the entity-relationship model; the hierarchical, network, and relational data models and their languages. Functional dependencies and normal forms. Design, implementation, and optimization of query languages; security and integrity; concurrency control, and distributed database systems. 3 undergraduate hours. 3 or 4 graduate hours. Prerequisite: CS 225.",Computer Science,CS411
186,Introduction to Data Mining,"Concepts, techniques, and systems of data warehousing and data mining. Design and implementation of data warehouse and on-line analytical processing (OLAP) systems; data mining concepts, methods, systems, implementations, and applications. 3 undergraduate hours. 3 or 4 graduate hours. Prerequisite: CS 225.",Computer Science,CS412
187,Intro to Combinatorics,Same as MATH 413. See MATH 413.,Computer Science,CS413
188,Interactive Computer Graphics,"Basic mathematical tools and computational techniques for modeling, rendering, and animating 3-D scenes. Same as CSE 427. 3 undergraduate hours. 3 or 4 graduate hours. Prerequisite: CS 225; One of MATH 225, MATH 257, MATH 415, MATH 416 or ASRM 406; MATH 241.",Computer Science,CS418
189,Parallel Progrmg: Sci &amp; Engrg,"Fundamental issues in design and development of parallel programs for various types of parallel computers. Various programming models according to both machine type and application area. Cost models, debugging, and performance evaluation of parallel programs with actual application examples. Same as CSE 402 and ECE 492. 3 undergraduate hours. 3 or 4 graduate hours. Prerequisite: CS 225.",Computer Science,CS420
190,Programming Languages &amp; Compilers,"Structure of programming languages and their implementation. Basic language design principles; abstract data types; functional languages; type systems; object-oriented languages. Basics of lexing, parsing, syntax-directed translation, semantic analysis, and code generation. 3 undergraduate hours. 3 or 4 graduate hours. Prerequisite: CS 233 or CS 240; CS 374; one of MATH 225, MATH 257, MATH 415, MATH 416, ASRM 406.",Computer Science,CS421
191,Programming Language Design,Exploration of major language design paradigms using imperative and functional programming as unifying themes. Tools include both practical language processor construction and theoretical models. 3 undergraduate hours. 3 or 4 graduate hours. Prerequisite: CS 421.,Computer Science,CS422
192,Distributed Systems,"Protocols, specification techniques, global states and their determination, reliable broadcast, transactions and commitment, security, and real-time systems. Same as ECE 428. 3 or 4 undergraduate hours. 3 or 4 graduate hours. Prerequisite: CS 241 or ECE 391.",Computer Science,CS425
193,Embedded Systems,A survey of sampled data systems and embedded architecture; key concepts in common embedded system applications; signal processing and control; embedded microprocessor and device interface; time-critical I/O handling; data communications; real-time operating systems and techniques for the development and analysis of embedded real-time software; hands-on laboratory projects. 3 undergraduate hours. 3 or 4 graduate hours. Prerequisite: CS 241 or ECE 391.,Computer Science,CS431
194,Computer System Organization,"Computer hardware design and analysis and interface with software. Advanced processor design, including superscalar, out-of-order issue, branch prediction, and speculation. Memory hierarchy design, including advanced cache optimizations, main memory, and virtual memory. Principles of multiprocessor design, including shared-memory, cache coherence, synchronization, and consistency. Other advanced topics depending on time; e.g., GPUs and accelerators, warehouse computers and data centers, security. Same as CSE 422. 3 undergraduate hours. 4 graduate hours. Prerequisite: CS 233.",Computer Science,CS433
195,Topics in Internet of Things,"Topics of networked embedded computing technology, known as the Internet of Things, in application, distributed, human-centric, or social contexts. The tight coupling between people, networking protocols, computing elements, and physical things in IoT systems presents unique challenges for data collection, processing in constrained computation and communication environments. Introduces general principles of IoT systems and protocol, offers broad foundations for IoT services, and allows specialization to pursue an in-depth understanding of selected IoT aspects or subtopics. 3 undergraduate hours. 4 graduate hours. May be repeated if topics vary. Credit towards a degree from multiple offerings of this course is not given if those offerings have significant overlap, as determined by the CS department. Prerequisite: CS 241. Additional prerequisites may be specified each term. See section information.",Computer Science,CS437
196,Communication Networks,"Layered architectures and the OSI Reference Model; design issues and protocols in the transport, network, and data link layers; architectures and control algorithms of local-area, point-to-point, and satellite networks; standards in networks access protocols; models of network interconnection; overview of networking and communication software. Same as ECE 438. 3 undergraduate hours. 3 or 4 graduate hours. Prerequisite: CS 241 or ECE 391; one of ECE 313, MATH 461, MATH 463.",Computer Science,CS438
197,Wireless Networks,Same as ECE 439. See ECE 439.,Computer Science,CS439
198,Artificial Intelligence,"Major topics in and directions of research in artificial intelligence: basic problem solving techniques, knowledge representation and computer inference, machine learning, natural language understanding, computer vision, robotics, and societal impacts. Same as ECE 448. 3 undergraduate hours. 3 or 4 graduate hours. Prerequisite: CS 225.",Computer Science,CS440
199,Applied Machine Learning,"Techniques of machine learning to various signal problems: regression, including linear regression, multiple regression, regression forest and nearest neighbors regression; classification with various methods, including logistic regression, support vector machines, nearest neighbors, simple boosting and decision forests; clustering with various methods, including basic agglomerative clustering and k-means; resampling methods, including cross-validation and the bootstrap; model selection methods, including AIC, stepwise selection and the lasso; hidden Markov models; model estimation in the presence of missing variables; and neural networks, including deep networks. The course will focus on tool-oriented and problem-oriented exposition. Application areas include computer vision, natural language, interpreting accelerometer data, and understanding audio data. 3 undergraduate hours. 3 or 4 graduate hours. Prerequisite: CS 225 and CS 361.",Computer Science,CS441
200,Trustworthy Machine Learning,"Prepares students to understand the security and privacy problems in machine learning and educates students to propose different attack strategies to identify the vulnerabilities of a range of learning algorithms and understand different defense approaches towards trustworthy machine learning systems. Students will explore topics including basic machine learning foundations (e.g., linear regression and PCA), adversarial attacks against different learning algorithms, differential privacy, data valuation, and different categories of defenses. The lessons are reinforced via a series of topic-driven lectures, coding assignments, related paper readings, exams and in-class discussions. Students will learn to analyze current interactions between attackers and defenders on machine learning and therefore develop an understanding of the principles on trustworthy machine learning which is an emerging and important topic. Students will be required to finish three related homework projects, including 1) developing a machine learning classifier, 2) designing adversarial attacks against the built classifier, and 3) developing defenses to improve the robustness of the trained classifier against designed attacks. Students registered for 4 credit hours will also finish a final project based on the class topics, demonstrating their ability to propose related new algorithms based on the class subjects. 3 undergraduate hours. 4 graduate hours. Prerequisite: CS 225; one of CS 440, CS 441 or CS 446; one of MATH 225, MATH 257, MATH 415, MATH 416 or ASRM 406.",Computer Science,CS442
201,Deep Learning for Computer Vision,"Provides an elementary hands-on introduction to neural networks and deep learning with an emphasis on computer vision applications. Topics include: linear classifiers; multi-layer neural networks; back-propagation and stochastic gradient descent; convolutional neural networks and their applications to object detection and dense image labeling; recurrent neural networks and state-of-the-art sequence models like transformers; generative adversarial networks and variational autoencoders for image generation; and deep reinforcement learning. Coursework will consist of programming assignments in a common deep learning framework. Those registered for 4 credit hours will have to complete a project. 3 undergraduate hours. 4 graduate hours. Prerequisite: Multi-variable calculus, linear algebra (MATH 225 or MATH 257 or MATH 415 or MATH 416 or ASRM 406), data structures (CS 225 or equivalent), CS 361 or STAT 400. No previous exposure to machine learning is required.",Computer Science,CS444
202,Computational Photography,"Computer vision techniques to enhance, manipulate, and create media from photo collections, such as panoramic stitching, face morphing, texture synthesis, blending, and 3D reconstruction. 3 undergraduate hours. 3 or 4 graduate hours. Prerequisite: CS 225, MATH 225, and MATH 231.",Computer Science,CS445
203,Machine Learning,"Principles and applications of machine learning. Main paradigms and techniques, including discriminative and generative methods, reinforcement learning: linear regression, logistic regression, support vector machines, deep nets, structured methods, dimensionality reduction, k-means, Gaussian mixtures, expectation maximization, Markov decision processes, and Q-learning. Application areas such as natural language and text understanding, speech recognition, computer vision, data mining, and adaptive computer systems, among others. Same as ECE 449. 3 undergraduate hours. 3 or 4 graduate hours. Prerequisite: CS 225; One of MATH 225, MATH 257, MATH 415, MATH 416 or ASRM 406; One of CS 361, ECE 313, MATH 461 or STAT 400.",Computer Science,CS446
204,Numerical Analysis,"Linear system solvers, optimization techniques, interpolation and approximation of functions, solving systems of nonlinear equations, eigenvalue problems, least squares, and quadrature; numerical handling of ordinary and partial differential equations. Same as CSE 401, ECE 491, and MATH 450. 3 undergraduate hours. 3 or 4 graduate hours. Credit is not given for both CS 450 and CS 457. Prerequisite: One of CS 101 or CS 125; one of CS 357, MATH 257, MATH 415, or MATH 416; MATH 285.",Computer Science,CS450
205,Computer Security I,"Fundamental principles of computer and communications security and information assurance: ethics, privacy, notions of threat, vulnerabilities, and risk in systems, information warfare, malicious software, data secrecy and integrity issues, network security, trusted computing, mandatory and discretionary access controls, certification and accreditation of systems against security standards. Security mechanisms: authentication, auditing, intrusion detection, access control, cryptography, security protocols, key distribution. Same as ECE 422. 4 undergraduate hours. 4 graduate hours. Prerequisite: CS 241 or ECE 391.",Computer Science,CS461
206,Topics in Societal and Ethical Impacts of Computer Technology,"Topics selected from key current areas of impact of computer technology on aspects of society and ethics such as: freedom versus the rule of law in cyberspace; social discourse; privacy; livelihoods and automation; fairness; security; political change; business models; technology divide. 3 undergraduate hours. No graduate credit. May be repeated if topics vary. Credit is not given towards a degree from multiple offerings of this course, if those offerings have significant overlap, as determined by the CS department. Prerequisite: CS 225. One of CS 210 or CS 211 or ECE 316 or PHIL 316. One of CS 361 or STAT 400 or STAT 200. Restricted to students with senior standing.",Computer Science,CS464
207,Introduction to Bioinformatics,"Algorithmic approaches in bioinformatics: (i) biological problems that can be solved computationally (e.g., discovering genes, and interactions among different genes and proteins); (ii) algorithmic techniques with wide applicability in solving these problems (e.g., dynamic programming and probabilistic methods); (iii) practical issues in translating the basic algorithmic ideas into accurate and efficient tools that biologists may use. 3 undergraduate hours. 3 or 4 graduate hours. Prerequisite: CS 225.",Computer Science,CS466
208,Tech and Advertising Campaigns,Same as ADV 492. See ADV 492.,Computer Science,CS468
209,Algorithms,"Design and analysis techniques, approximation algorithms, randomized algorithms and amortized analysis, and advanced topics such as network flow, linear programming, and dynamic data structures, among others. Same as CSE 414 and MATH 473. 4 undergraduate hours. 4 graduate hours. Prerequisite: CS 374, and one of CS 361, MATH 461, or STAT 400.",Computer Science,CS473
210,Formal Models of Computation,Finite automata and regular languages; pushdown automata and context-free languages; Turing machines and recursively enumerable sets; linear-bounded automata and context-sensitive languages; computability and the halting problem; undecidable problems; recursive functions; Chomsky hierarchy; computational complexity. Same as MATH 475. 3 undergraduate hours. 3 or 4 graduate hours. Prerequisite: CS 374.,Computer Science,CS475
211,Simulation,Same as IE 413. See IE 413.,Computer Science,CS482
212,Parallel Programming,"Techniques for the programming of all classes of parallel computers and devices including shared memory and distributed memory multiprocessors, SIMD processors and co-processors, and special purpose devices. Key concepts in parallel programming such as reactive and transformational programming, speculation, speedup, isoefficiency, and load balancing. Synchronization primitives, libraries and languages for parallel programming such as OpenMP and MPI, performance monitoring, program tuning, analysis and programming of numerical and symbolic parallel algorithms. 3 undergraduate hours. 3 or 4 graduate hours. Prerequisite: CS 241.",Computer Science,CS484
213,Seminar,"Seminar on topics of current interest as announced in the Class Schedule. 0 to 4 undergraduate hours. 0 to 4 graduate hours. Approved for S/U grading only. May be repeated in the same or separate terms if topics vary to a maximum of 4 hours. Prerequisite: As specified for each topic offering, see Class Schedule or departmental course description.",Computer Science,CS491
214,"Senior Project II, ACP",Continuation of CS 492. Identical to CS 494 except for an additional writing component. See CS 494. 3 undergraduate hours. No graduate credit. Credit is not given for both CS 493 and a project course in another engineering department for the same project. Prerequisite: CS 492.,Computer Science,CS493
215,Senior Project II,Continuation of CS 492. 3 undergraduate hours. No graduate credit. Credit is not given for both CS 494 and a project course in another engineering department for the same project. Prerequisite: CS 492.,Computer Science,CS494
216,CS Team Project,"Student teams work with CS faculty to complete a significant project requiring advanced knowledge of CS principles. Project topics vary. 1 to 3 undergraduate hours. No graduate credit. May be repeated in the same term up to 6 hours, if topics vary; may be repeated in separate terms. Prerequisite: For majors only; junior or senior standing required.",Computer Science,CS497
217,Special Topics,Subject offerings of new and developing areas of knowledge in computer science intended to augment the existing curriculum. See Class Schedule or departmental course information for topics and prerequisites. 1 to 4 undergraduate hours. 1 to 4 graduate hours. May be repeated in the same or separate terms if topics vary.,Computer Science,CS498
218,Senior Thesis,"Research and thesis development experience in computer science under guidance of a faculty member. Literature search, oral presentation, analysis and implementation, paper preparation, and completion of a written thesis. 3 undergraduate hours. No graduate credit. May be repeated to a maximum of 6 hours. Prerequisite: Consent of instructor.",Computer Science,CS499
