,Course Description,Subject Domain
83,"The first part of this course describes shores of the marine to brackish water continuum and the communities found on them.  Lectures will cover the physical environment of the intertidal (e.g. tides; waves; geological and hydrological processes) the resultant variations in exposure and shore types and consequent distribution of animals and algae on these shores (vertical and horizontal zonation patterns) with specific Hong Kong examples.  The second part of the course uses an experimental approach (e.g. sampling methodology; manipulative techniques; experimental design and data analysis) to investigate the factors (e.g. predation; herbivory; competition; disturbance; succession; patchiness and recruitment; supply side ecology) that structure these shores, with particular focus on rocky intertidal shores. To examine the communities of coastal systems: their distribution, composition and the factors which regulate them.  This course will examine, using an experimental approach, patterns exhibited by a range of shores and the deterministic and stochastic processes that create and sustain them.  Hong Kong shores will be used as examples but comparisons will be drawn from the coastlines of the world.",Biological Sciences
84,"This course focuses on the ecology of terrestrial habitats providing an overview of patterns and processes at global and regional scale. Students will learn about the evolution of climate and topography over geological times and their roles in shaping current biodiversity and ecosystems distribution. The course also focuses on the taxonomic, functional and ecological composition of organisms within terrestrial ecosystems of Tropical East Asia with emphasis on the major processes regulating communities. An introduction to several global major threats on terrestrial ecosystems and their mechanisms is provided. Finally, the study of habitats recovery through ecological succession using particular examples in Hong Kong is provided. The practical component of the course will introduce students to basic field techniques used in ecology. Students will participate to a group project, collecting and analysing their own data involving both field and laboratory work, and write a short scientific paper. Particular emphasis will be given on how to efficiently read and write scientific literature and present data efficiently. Attendance and participation in class are encouraged through series of discussions to stimulate critical thinking on chosen topics in terrestrial ecology. Assessment includes problem-based learning exercise, group presentation, a final term paper and a final examination covering the content of the course. To enable motivated students to acquire the knowledge and skills needed to solve real problems in terrestrial ecology.",Biological Sciences
85,"Students will learn the abiotic and biotic factors that structure intertidal communities in Hong Kong and, during a residential fieldcamp, different South African intertidal communities.  In South Africa, specific topics will focus on(1) Intertidal biodiversity and species interactions(2) Species distribution patterns on intertidal shores(3) Species interactions and behaviour (4) Trophic interactions and connectivity between local terrestrial and marine communities.(5) Larger-scale connectivity from freshwaters to marine systemsHKU Students will work in groups with students from the University of Johannesburg and North West University, South Africa to collect data; design and carry out experiments; present their findings; and write up formal scientific reports on the different topics.Note individual topics may change in different years and are weather dependent. Using a comparative approach between Hong Kong and South African shores, students will learn to identify the relevant environmental gradients which define the intertidal zone, and the species interactions which mould these communities.   This will be achieved through an intensive field-based approach, visiting and working in different intertidal habitats in both Hong Kong and, during a residential fieldcamp, in South Africa.",Biological Sciences
86,"The course includes a detailed account of the molecular processes in eukaryotic and prokaryotic cells, from DNA replication, RNA transcription, protein translation, to post-translational modifications with special emphasis on the regulation of prokaryotic and eukaryotic gene expression. Recently developed biochemical techniques including oligonucleotide synthesis, DNA sequencing, complementary screening and DNA cloning, site-directed mutagenesis, polymerase chain reaction and transgenic technology will also be discussed. To provide students with recent knowledge in molecular biology with special emphasis on the study of gene structure and function at the molecular level.",Biological Sciences
87,"I. Cell BiologyCell membranes. Organelles. Cellular transport: ions transport and ions channels. Protein and RNA transport. Membrane potentials, Action potentials. Cell junctions. Extracellular Matrix. Cell-cell interactions. Cell-matrix interactions.II. Techniques in animal cell cultureMammalian cells in culture. Primary and continuous cell lines. Cell types and cell growth parameters. Media formulation, growth factors and design of serum-free media. Culture lab facilities and sterilization. Mechanism of cryopreservation.III. Techniques in plant cell cultureRoot and shoot cultures. Explant regeneration. Protoplasts. Secondary metabolites. To provide a coherent understanding of the structure and function of cells, and the principles and applications of cell culture and instrumentation in biology and biotechnology",Biological Sciences
88,"Cells and organs in the immune systems and their functions in vertebrates. Structures and biological properties of antibodies. Generation of diverse antibodies through somatic recombination. Innate and adaptive immunity. Humoral and cell-mediated immunity. T-cell receptor signalling.  Major histocompatibility complex and antigen presentation. Emergence and characteristics of lymphoid tissues.  Complement pathways.  Immunity against bacteria, viruses and parasites.  AIDS, COVID-19, Vaccination, hypersensitivity, and autoimmunity.  Immunological tests and immunochemical techniques using antibodies and their application to various biological problems in research and clinic. To provide a broad understanding of the animal immune system with a focus on the cells and molecules involved in immune reactions against pathogens. Topics will also include the application of a variety of immunological methods to research and disease diagnosis.",Biological Sciences
89,"-Basic concepts of reproduction, evolution of sex, human & animal reproductive strategies and sexual behavior.-Molecular mechanisms for sex determination, developmental aspects of gametogenesis and reproductive systems.-Neuroendocrinology of reproductive system and recent advances in kisspeptin & GnRH system and steroid feedback via KNDy neuronal circuit.-Environmental endocrine disruptors and recent advances in biotechnology for fertility control & assisted reproduction in human. -Recent advances in embryonic stem cells & induced pluripotent stem cells and their applications in regenerative medicine/therapeutic cloning.-New technology for genome editing by TALENT & CRISPR/Cas9 systems and gene therapy, animal cloning and primordial germ cell transplantation in animal models. To provide a comprehensive overview on modern concepts and recent advances in reproductive biology & reproductive biotechnology in human and animal models.",Biological Sciences
90,"Topics will include principles and chromosomal basis of Mendelian genetics, linkage analysis and mapping, concept and definition of the gene, molecular mechanisms of mutation, DNA repair and recombination, DNA transposition, extranuclear inheritance, genome editing, epigenetics, genomics, transcriptomics and proteomics, as well as population genetics. Basic knowledge and applications of bioinformatics will also be included. This course aims to provide students with fundamental knowledge on various topics in genetics (classical, molecular and population genetics) and genomics (genomics, transcriptomics, proteomics, epigenomics, and bioinformatics)",Biological Sciences
91,"History: discovery of blood borne factor or hormone. Chemical nature of hormones. Mechanisms of cell-cell signaling. Secondary messengers. Responsivity and hormonal effects.The hypothalamic pituitary axisThe GHRH-GH-IGF axis. The TRH-TSH-thyroid hormone axis. The CRH-ACTH-cortisol axis. Cortisol and stress. Catecholamine effects and their pathways.The gastrointestinal systemThe enteric nervous system. The cephalic phase, stomach phase and intestinal phase of food digestion. Regulation of acid secretion. Regulation of pancreatic exocrine and endocrine secretion. Gut hormones: gastrin, GIP, CCK, secretin, GLP-1, GLP-2 and motilin.  Regulation of feeding, energy balance and food intake. Insulin and glucagon.ReproductionThe GnRH-gonadotropin-sex hormone axis. Regulation of LH and FSH release. Male reproductive system. Interaction of hormones produced by various cells in the testis to regulate spermatogenesis. Biological actions of testosterone. The erection reflex. Female reproductive system. Development of ovarian follicles. The menstrual cycle: hormonal control: Ovulation, fertilization and implantation. The placenta as an endocrine organ. Endocrine regulation of parturition. Hormonal control of milk secretion. Prolactin and broodiness.OsmoregulationPosterior pituitary hormone, ADH.  Aldosterone and sodium balance.  Angiotensin's effect on blood pressure.  Atrial natriuretic peptide and its function in water and sodium balance. To provide an advanced course on hormones and how they regulate metabolism/growth, reproduction and water/salt homeostasis in our body.",Biological Sciences
92,"-  Introduction to Evolutionary Biology Theory-  Mechanisms of evolution-  Genetics Drift-  Gene Flow-  Natural Selection-  Sexual Selection-  Speciation-  Species concept-  Phenotypic evolution-  Evolution of genes and genomes-  Evolutionary Development (Evo-Devo)-  Co-Evolution 1. The course aims to introduce students to the major themes of contemporary evolutionary biology, including the history of evolutionary biology, evolutionary processes, adaptation, speciation, and evolution as an explanatory framework at all levels of biological organization.2. The course emphasizes the interplay between theory and empirical tests of hypotheses, thus acquainting students with the process of science.",Biological Sciences
93,"Serving as a course which blends fundamental knowledge about the world of microorganisms with applied Microbial Biotechnology, This course is organized and presented in three themes: 'Microbial Rules', 'Microbial Breath', and 'Microbial Biotechnology'. Under these three themes, a broad range of highly educational and interesting topics are presented including: 'Microorganisms and their position in the living world', 'Fundamental methodologies for the study of microbes', 'Microbial structures and functions', 'Microbial growth and control', 'Energy Generation', 'Central metabolism', and 'Microbial biotechnological applications in biodegradation, biofuels and synthetic biology '. Topics are taught in a coherent manner with a highly interactive tutorial session following each of the topics such that students will achieve a high quality, stimulating, and problem-based learning experiences. Microbes are amazing and important entities on earth. Knowledge of microbes is widely applied in food, pharmaceutics, biotechnologies, diseases control, and biogeochemical processes. Microbial Physiology and Biotechnology provides both molecular basis for understanding of these important processes and up-to-date applications in modern Biotechnology, and to serve as essential foundations for sub-disciplines of Microbiology, such as environmental, food, and medicinal Microbiology. Upon completion, students will acquire fundamental knowledge about microorganisms, gain laboratory skills on methodologies for microbial studies, and be able to apply the knowledge in Microbial Biotechnologies.",Biological Sciences
94,"The basics of nutrition for health, fitness and nutrition therapy. The role of diet in the development and prevention of chronic diseases such as cancer, diabetes, obesity and anorexia as well as bulimia nervosa, cardiovascular diseases, gut disorder, etc and malnutrition. Nutrition and immune function and medical nutrition therapy for food intolerance will be discussed. The relationship between these diseases and ageing in terms of oxidative stress will be integrated in the topics. This course aims to provide understanding and insight into diseases associated with diet and basic dietetics, specifically to:1. Explain the relationships between diet and disease.2. Describe the role of diet in the development and prevention of common chronic diseases such as diabetes,obesity and anorexia, cardiovascular disease, cancer, gut and immunity.3. Differentiate risk factors that influence dietary choice.4. Describe the rationales for postoperative nutritional support for hospitalized patients.",Biological Sciences
95,"Principles of animal nutrition and feed formulation; genetic selection and breeding of farm animals; slaughter and carcass inspection; meat preservation and safety; sensory quality of meat. Dairy processing emphasizing fermented products such as cheese and yogurt; probiotics and health effects. Grain production related to milling; dough rheology; the baking process and quality. Meat, dairy and grain product marketing. To give students a broad understanding of modern practice and technologies used in agriculture products including meat, dairy and grain production, processing and marketing.",Biological Sciences
96,"An appropriate dissertation topic will be selected from a predeterminted list and following discussion with a member of Ecology & Biodiversity staff, who will act as the student's supervisor.  Formal teaching will be limited and aimed at introducing students to the techniques necessary for successful completion of their dissertation. Students will undertake a dissertation on a topic related to the field of ecology and biodiversity.  The dissertation will not involve any practical research in terms of laboratory or fieldwork, but will take the form of a desk-top study.  Conducting a dissertation is an independent learning experience and will enable students to develop skills including the use of library and Web-based resources; the logical development of scientific arguments; written presentation skills; and personal time management.",Biological Sciences
97,"The directed study can be a review of literature on a specific topic, or a lab or field study that enhances the student's understanding of the topic in the field of food & nutritional science. The student should obtain the commitment of a supervisor in the area of the dissertation topic before submitting the registration form for the course (available from the General Office of School of Biological Sciences). Supervisor will introduce various methodologies/techniques and guide students to completion of the dissertation. Teaching will be informal and students will gain knowledge through discussion and feedback from their supervisors. This course aims to provide a stimulating capstone experience for all Food & Nutritional Science Major undergraduates to integrate and apply their knowledge and skills obtained from the Major.",Biological Sciences
98,"The directed study can be a review of literature on a specific topic, or a lab or field study that enhances the student's understanding of the topic in the field of molecular biology & biotechnology. The student should obtain the commitment of a supervisor in the area of the dissertation topic before submitting the registration form for the course (available from the General Office of School of Biological Sciences). Supervisor will introduce various methodologies/techniques and guide students to completion of the dissertation. Teaching will be informal and students will gain knowledge through discussion and feedback from their supervisors. This course aims to provide a stimulating capstone experience for all Molecular Biology & Biotechnology Major undergraduates to integrate and apply their knowledge and skills obtained from the Major.",Biological Sciences
99,"The directed study can be a review of literature on a specific topic, or a lab or field study that enhances the student's understanding of the topic in the field of biological sciences. The student should obtain the commitment of a supervisor in the area of the dissertation topic before submitting the registration form for the course (available from the General Office of School of Biological Sciences). Supervisor will introduce various methodologies/techniques and guide students to completion of the dissertation. Teaching will be informal and students will gain knowledge through discussion and feedback from their supervisors. This course aims to provide a stimulating capstone experience for all Biological Sciences Major undergraduates to integrate and apply their knowledge and skills obtained from the Major.",Biological Sciences
100,"Public health nutrition : overview, nature and identification of problems.Planning cycle of public health nutrition programs.Dietary assessment methods.Development of dietary guidelines and dietary reference standards The epidemiological study of diet : disease associations.Malnutrition : definitions, prevalence, public health consequences, and interventions. Food regulations and labelling.Food securityPublic health advocacy Public health nutrition unites social sciences and biomedical sciences in preventing disease and improving human health through programs aimed at enhancing good nutritional practices. This course presents a broad overview of the professional practice and essential skills required of a public health nutritionist.",Biological Sciences
101,"Food processing is a multidisciplinary field combining applied physical sciences with knowledge of product properties and requirements. This course introduces the technical knowledge required to implement cost-effective production and commercialization of food products and services. The design and development of processes, equipment and machinery used to convert raw agricultural materials and ingredients into safe, convenient, and nutritious consumer food products are covered. We will discuss the basic technological principles and applications of methods in food processing and preservation. Techniques discussed will include those for high and low temperature processing, fermentation, and general preservation. Marketing aspect of food products will be discussed. To provide students with basic principles and methodologies of food processing and preservation technology for product development. To cover key technological principles relevant to the food industry. Students will gain hands-on experience with selected food processing and preservation techniques for product development.",Biological Sciences
102,"Concept, history and global regulation of functional foods and nutraceuticals; classification of functional foods and nutraceuticals based on their chemical structures; unsaturated fatty acids, proteins, food pigments and dietary fibers as healthy food ingredients; health benefits of dietary phenolics, terpenes, phytosterols and sulphur-containing compounds; probiotics and prebiotics; small berries, spices, teas and herbs for health; quality control and assurance of functional foods and nutraceuticals. To provide a fundamental understanding of the rapidly emerging functional food/nutraceutical industry with an emphasis on the history, regulation, chemical basis and quality control of  healthy ingredients/products and their effects on human health.",Biological Sciences
103,"Background and history of EIA development. Concept of carrying capacity and precautionary principle. EIA legislation. Processes in conducting EIA. Risk assessment and management. Mitigatory measures and remediation. Cost benefit analysis. Socio-economic perspectives and analysis. Project monitoring and audit. Common techniques employed in EIA (e.g. matrix, sequence diagram, causal chain analysis, modeling). Modern EIA instruments (environmental liability, environmental insurance and environmental share). Application of EIA in environmental management. Case studies. Role play exercise. To introduce the general principles, processes, techniques, current practices and problems of environmental impact assessment (EIA).",Biological Sciences
104,"Fundamental Virology1. Classification and Nomenclature of Viruses2. Virus structure: Capsid symmetry, Icosahedral symmetry3. Virus structure: Genetic Materials, Nucleocapsid, Envelope4. Virus entry: Receptors, uncoating and fusion5. Virus-Cell interaction6. RNA viruses: Genome replication and mRNA production7. Baltimore Class IV (+) s.s. RNA viruses: Picornaviruses8. Baltimore Class V (-) s.s. RNA viruses: Myxoviruses9. Ambisense RNA viruses: Bunyaviruses and Arenaviruses10, 11. Baltimore Class VI (+) s.s. RNA viruses: Retroviruses12. Baltimore Class III d.s. RNA viruses: Reoviruses13, 14. Baltimore Class I d.s. DNA viruses: Adenoviruses, Herpesviruses15. Baltimore Class II s.s. (+) DNA viruses: Parvoviruses16. Mechanisms of Viral Oncogenesis17. Anti-viral treatments18. Viruses as Tools in Medicine and BiotechnologyPractical Virology19. Specimen Collection, Transportation and Processing,Quality Assurance & Laboratory Safety20. Virus isolation, propagation and titration21, 22. Virus Identification: Immunocytochemical assays, ELISA,Complement Fixation Assay, Hemagglutination and HI assays23, 24. Neutralization assay and Antiviral assay This Course provides the fundamental principles of virology so that students can understand the pathogenesis of major viral diseases that affect animal health.  The course will prepare students for profession or graduate work in virology, medicine and biotechnology.",Biological Sciences
105,"- Genetic improvements in agriculture.  Transgenic crops in global food production.  - Tools in plant genetic engineering: promoters and marker genes.- Techniques in plant gene transfer: Agrobacterium-mediated transformation, biolistics and microinjection. - Nuclear and plastid transformation.- Gene silencing in plants.  Genetic manipulation of commercially useful biosynthetic pathways in crops.    Extending shelf-life of fruits.  Prevention of enzymatic browning of potato tubers.   Genetically-engineered biofortified foods: provitamin A-enriched rice, omega-3-enriched soy and high-anthocyanin tomatoes.- Biotechnology in plant pest and disease management:  Producing crops resistant to phytopathogens and pests. Genome editing.  Short-interfering RNAs in gene silencing to defend against plant viruses.  Protecting crops in the field using the Bt toxin.  Pest-resistant genetically-transformed seeds using the alpha-amylase inhibitor- Herbicide-resistant crops.- Plants as bioreactors for molecular farming: transgenic and transplastomic plants for producing recombinant biopharmaceutical proteins.  Biodegradable plastics. Biofuels.- Genetically-modified crops and food products: regulation, testing and labelling.- Status of GM food in North America, Europe and Hong Kong. This course covers the principles and key concepts of plant and food biotechnology and its applications in increasing global food supply.  The significances of biotechnology in agriculture and food production, and the emerging importance of plant biotechnology in molecular farming for the production of biopharmaceuticals and other high-value proteins will be discussed.  The course will also provide an insight on the real-life applications of plant and food biotechnology.",Biological Sciences
106,"Genetic biotechnology in animals (transgenics, knockouts and other related technologies): Transgenic animals as models in the study of human diseases, as bioreactors for the production of hormones, antibiotics and vaccines and organs for xenotransplantation.Advanced molecular biology techniques related to human and animal science basic research, disease diagnosis and development of new therapies. These include but not limited to: applications of DNA technologies in diagnostic medicine and forensic science; tissue engineering. An overview of the drug development process, with a focus on the early-stage, preclinical drug discovery, drug target identification, high-throughput assay development, and screening of chemical libraries (synthetic and natural products). The concept of individualized medicine will also be discussed. This course discusses the key concepts and principles involved in healthcare biotechnology, and their applications in molecular medicine.",Biological Sciences
107,"The course will discuss cutting-edge research in (i) regenerative and stem cell biology:- the basic characteristics of stem cells- the molecular and genetic control of cell fate specification and differentiation- embryonic and adult stem cells- experimental inducible pluripotent stem cells and tissue engineering- therapeutics potentials for stem cell technology- ethical issues in stem cell research(ii) aging and longevity:- model systems used for aging and life-span studies- cellular and molecular biology of aging - telomeres and cellular senescence - genomic stability, DNA mutations and repair - mitochondrial defects and oxidative stress- genetic aging diseases- genetic ,biochemical and metabolic pathways involved in longevity To introduce the current understanding in regenerative biology, aging and longevity at the cellular and molecular level, and to present the interconnection between these biological events.",Biological Sciences
108,"The course covers various OMICS techniques with special focus on sequence alignment, next generation sequencing, computational modeling, and statistic programming. This course will also provide students hands-on experience in large scale data analysis, and experiment methodologies involved in:Systems biology and functional genomics - the study of the interactome/network between components of a biological system, and modeling to discover the integrated function and emergent properties of that system;Synthetic biology- the design and building of synthetic protocells using basic biochemical building blocks from scratch. Recent progress in high-throughput omics technology has revolutionized the biological research. Genome-wide profiling of various biomolecules simultaneously by omics technology generates huge amounts of data, providing the potential to obtain a global and holistic view of the system. This course aims to introduce the technologies of Omics and Systems Biology, and overview of various applications of omics technology.Synthetic biology is set to be the heart of future economy, promising to create new drugs, industrial materials and energy sources similar to chemical synthesis. The significance of this field has been promoted by the worldwide synthetic biology competition organized by MIT, i.e., iGEM competition. In this course, we will introduce some innovative ideas in synthetic biology and practice the skills needed for iGEM competition.",Biological Sciences
109,"This experiential learning course is to enhance students' knowledge in one of the applied marine biology fields, i.e. hatchery technology and coastal aquaculture business that will enable them to design, construct, operate and maintain coastal aquaculture facilities and small-scale 'green and environmentally sustainable' business for shellfish production and restoration of wild benthic biodiversity in coastal habitats. This is an interdisciplinary endeavor encompassing larval hatchery technology, seafood quality, and economic dimensions of coastal aquaculture business. After reading about basic oyster biology and oyster aquaculture topics, we will focus on how marine larvae will be useful for human society through hatchery technology and aquaculture business. Environmental issues, legislation pertaining to coastal aquaculture business and community interaction will also be covered using oyster aquaculture in Hong Kong as an example. Students will be exposed to several aquaculture facilities in Hong Kong, Zhanjiang, and Qingdao to learn industrial and business skills of oyster aquaculture. This course is designed to meet the needs of an expanding sustainable aquaculture in Hong Kong and in mainland. Career and small scale business opportunities in aquaculture industry will be discussed. -Introduce oyster  biology and hatchery technology and aquaculture business;-Provide scientific basis for oyster aquaculture through field demonstrations and laboratory exercises;-Enable students to design, construct and maintain oyster hatchery for production of seeds for sustainable aquaculture and restoration of wild oysters;-Facilitate transfer of academic knowledge to oyster growers and aquaculture industry for sustainable, healthy and safe sea-food production;",Biological Sciences
110,"Students taking this course will work as an intern for at least 160 hours within the University or outside the University in a company, government department or NGO. The internship may be arranged by the School or obtained by students themselves. In the latter case, the internship must be in a relevant field to the Ecology & Biodiversity Major that the students are taking and prior approval by the course coordinator is required. To provide a stimulating experience for all Ecology & Biodiversity Major undergraduates to integrate and apply their knowledge and skills obtained from the Ecology & Biodiversity Major through gaining work experience in the field of Ecology & Biodiversity that are related to the major of study.",Biological Sciences
111,"Students taking this course will work as an intern for at least 160 hours in at least 20 working days within the University or outside the University in a company, government department or NGO. The internship may be arranged by the School or obtained by students themselves. In the latter case, the internship must be in a relevant field to the Food & Nutritional Science Major that the students are taking and prior approval by the course coordinator is required To provide a stimulating experience for all Food & Nutritional Science Major undergraduates to integrate and apply their knowledge and skills obtained from the Food & Nutritional Science Major through gaining work experience in the field of Food & Nutritional Science that are related to the major of study.",Biological Sciences
112,"Students taking this course will work as an intern for at least 160 hours in at least 20 working days within the University or outside the University in a company, government department or NGO. The internship may be arranged by the School or obtained by students themselves. In the latter case, the internship must be in a relevant field to the Molecular Biology & Biotechnology Major that the students are taking and prior approval by the course coordinator is required. To provide a stimulating experience for all Molecular Biology & Biotechnology Major undergraduates to integrate and apply their knowledge and skills obtained from the Molecular Biology & Biotechnology Major through gaining work experience in the field of Molecular Biology & Biotechnology that are related to the major of study.",Biological Sciences
113,"Students taking this course will work as an intern for at least 160 hours in at least 20 working days within the University or outside the University in a company, government department or NGO. The internship may be arranged by the School or obtained by students themselves. In the latter case, the internship must be in a relevant field to the Biological Sciences major that the students are taking and prior approval by the course coordinator is required To provide a stimulating experience for all Biological Sciences major undergraduates to integrate and apply their knowledge and skills obtained from the Biological Sciences Major through gaining work experience in the field of Biological Sciences that are related to the major of study.",Biological Sciences
114,"Students should seek approval from a prospective supervisor prior to selecting this course. Afteradmission to the course is approved by the course coordinator, students will complete their projectwork under the guidance of their supervisor. To provide a stimulating capstone experience for Ecology & Biodiversity Major / Ecology & Biodiversity Major (Intensive) undergraduates to integrate and apply their knowledge and skills obtained from the Ecology & Biodiversity Major / Ecology & Biodiversity (Intensive) through planning and carrying out a research project under the supervision of a member of staff.",Biological Sciences
115,"Students should seek approval from a prospective supervisor prior to selecting this course. Afteradmission to the course is approved by the course coordinator, students will complete their projectwork under the guidance of their supervisor. To provide a stimulating capstone experience for Food & Nutritional Science Major undergraduates to integrate and apply their knowledge and skills obtained from the Food & Nutritional Science Major through planning and carrying out a research project under the supervision of a member of staff.",Biological Sciences
116,"Students should seek approval from a prospective supervisor prior to selecting this course.  After admission to the course is approved by the course coordinator, students will complete their project work under the guidance of their supervisor. To provide a stimulating capstone experience for all Molecular Biology & Biotechnology Major / Molecular Biology & Biotechnology Major (Intensive) undergraduates to integrate and apply their knowledge and skills obtained from the Molecular Biology & Biotechnology Major / Molecular Biology & Biotechnology Major (Intensive) through planning and carrying out a research project under the supervision of a member of staff.",Biological Sciences
117,"Students should seek approval from a prospective supervisor prior to selecting this course.  After admission to the course is approved by the course coordinator, students will complete their project work under the guidance of their supervisor. To provide a stimulating capstone experience for all Biological Sciences Major undergraduates to integrate and apply their knowledge and skills obtained from the Biological Science Major through planning and carrying out a research project under the supervision of a member of staff.",Biological Sciences
118,"This course is a combination of lectures, group discussion/debate and field trips cum tutorials. We first explore the fundamental interactions between organisms and their environment. We then explore environmental constraints on life at various ecosystems (like marine, freshwater, and terrestrial). Students will also learn how factors such as urbanization, climate change, and anthropogenic impacts affect life at population and ecosystem levels.   Similarly, students will be exposed to the incredible interrelationships that are basic to ecological principles and the impact that human development has upon these interrelationships. After learning basics of environmental life science, students will be stimulated to think about current life science issues such as biodiversity loss, organisms adaptation to climate change, tragedy of commons (human ecology) and applied life science topics such as biomaterial science. This course intended for students who wish to understand the fundamentals of environmental biology/life science and importantly the relationship (connection) between environment and life. Here you will learn about the various biological/ecological principles and concepts of environmental science which are needed for critical discussion and evaluation of current global environmental issues including human ecology, urbanization, ecological economics, and climate change.",Biological Sciences
119,"This course will involve environmental data collection in both field and laboratory settings.  In-class lectures will cover basic principles of specific methodologies and relevant applications in preparation for laboratory and field-based experiential learning. Having an interdisciplinary focus, the course will cover topics relevant to the study of the biosphere, encompassing terrestrial, aquatic, and atmospheric systems. Students will gain hands-on experience with the operation of standard and advanced sampling and analytical equipment, quality control, basic data analysis and reporting. To introduce students to a broad spectrum of field and laboratory methods for data collection in environmental science. Through exposure to environmental data collection, experimental design, data analysis, interpretation and reporting, students will gain a deeper appreciation of the process that underlies environmental science research and it's relevancy to critical thinking and future careers in the sciences.",Biological Sciences
120,"The course will feature lectures on aspects of sampling, distributions, uncertainty, probability, and hypothesis testing in addition to lectures on advanced analysis topics. Special emphasis will be placed on qualities inherent to most environmental datasets such as large size, multivariate, and spatial. All material will be applied and practiced in environmental science contexts (e.g. chemistry, ecology, geology and oceanography) using a variety of datasets in a computer laboratory setting using the 'R Project for Statistical Computing' software and QGIS. To provide students with the ability to analyze data; especially data which are relevant to issues and questions in environmental science.  This course will enable students to accurately interpret, organize, display, test and analyze environmental data. The course will also introduce students to principles of a variety of important advanced approaches in analyzing environmental data including spatial analysis, geographic information systems, remote sensing, risk assessment, and time series analysis.",Biological Sciences
121,"Environmental change is a natural phenomenon, with ecosystems continually shifting, rearranging, emerging, and disappearing through geologic time with changes in climatic conditions. The activities of humans have added to this natural variation, increasing the magnitude and speed with which environmental change occurs. This course will focus principally on the effects of climate change on organisms and ecosystems but will also investigate other topics registering on a global scale including land use change, biological invasions, and pollution, as well as synergistic interactions between all of the environmental stressors. We will explore (1) what climate change is and how it is manifested including climate warming, sea level rise, and ocean acidification; (2) types and extents of land use change; (3) how globalization has contributed to the spread of alien species and disease. The course will investigate how these human-caused stressors affect the morphology, phenology, distribution, and evolution of organisms and their impacts on ecosystem functioning and biodiversity in freshwater, marine, and terrestrial ecosystems. The main goal of this course is to introduce students to the ways in which global environmental change affects biodiversity from organisms to ecosystems. This course will explore the contributions that human population growth and globalization have made to increases in greenhouse gases and associated climate change, biological invasions, land degradation, disease, and, ultimately, impacts on biological systems.",Biological Sciences
122,"The majority of the Earth's population now lives in coastal cities, where people not only depend on ocean resources, but are also experiencing ever increasing threats from the ocean environment. This program will explore the mechanisms by which coastal communities in the US and SE Asia are facing these expanding challenges, including their impacts on coastal ecosystems. Using a comparative approach, students will explore the diverse challenges facing coastal societies, and will gain an in-depth understanding of coupled human-natural systems on the coasts of New England and Southeast Asia (Hong Kong and Malaysia).By comparing and contrasting both ecosystems and societies, students will develop an appreciation for both the commonalities of challenges facing the world's coasts, as well as differences that occur due to local ecology. A major emphasis of the program will be on solutions, and how by taking a global perspective we can accelerate methods for climate change adaptation that span traditional cultural barriers. We will blend studies of threats facing both human and natural systems in Hong Kong, Malaysia and the Gulf of Maine with an in-depth exploration of how those societies have (or have not) enacted solutions to those challenges. - Understand the primary drivers of biodiversity and ecosystem function in rocky intertidal, mangrove and coral reef ecosystems in USA and SE Asia.-  Gain an appreciation for how urban ecosystems in this region are being affected by climate change, development and stress from pollution- Better understand how history and governance structures of Hong Kong, Malaysia and New England constrain and/or facilitate coastal adaptation strategies- Appreciate how cultural practices such as seafood preferences and traditional medicine affect harvesting of marine species, and how this impacts coastal biodiversity",Biological Sciences
123,"1. Overview of plant ecophysiology, with particular focus on the interactions between plants and climate.2. Fundamental biophysical principles that regulate the strengths of ecosystem metabolism (i.e. photosynthesis, transpiration and etc).3. Introduction to various remote sensing and modelling approaches to quantify the impacts of climate variability on plant metabolism (e.g. proximate and satellite remote sensing, ecosystem modelling, biological scaling processes, etc).4. Case studies introducing practical applications of cutting edge technology to current ecological and environmental issues. In this course students will learn different quantitative methods for measuring and evaluating climate change impacts on terrestrial ecosystems. This interdisciplinary course draws on aspects of plant physiology ecology and ecosystem ecology to describe impacts and patterns of global change. We will explore how the ""breathing"" of the biosphere impacts and is impacted by climate change by scaling plant physiology from leaf to canopy, and ultimately to global scales. Students will examine the biophysical processes that affect the exchange of material (e.g. CO2 flux and water vapor) and energy between terrestrial biosphere and the atmosphere. In addition, students will learn cutting-edge techniques to help monitor, model and diagnose these processes",Biological Sciences
